;MLP_Seco;MLP_S;MLP_NE;MLP_N;MLP_SIN;LSTM_Seco;LSTM_S;LSTM_NE;LSTM_N;LSTM_SIN;GRU_Seco;GRU_S;GRU_NE;GRU_N;GRU_SIN;Prev_ONS_Seco;Prev_ONS_S;Prev_ONS_NE;Prev_ONS_N;Prev ONS_SIN
0;40925,42;12795,85;13091,02;7170,06;73982,34;40341,26;13105,97;13130,23;7199,14;73776,59;40186,92;13000,62;13202,29;7111,05;73500,89;40655,27;11696,32;13645,97;6954,41;72951,97
1;39682,62;12378,21;12867,29;7111,18;72039,29;39365,25;12730,86;12925,86;7168,39;72190,36;39184,45;12613,79;12976,87;7085,63;71860,73;39024,02;11021,5;13191,85;6842,49;70079,86
2;38546,89;12002,33;12646,71;7048,6;70244,53;38412,14;12383,1;12733,54;7131,73;70660,51;38198,87;12239,6;12775,41;7042,47;70256,35;38247,29;11023,95;12899,53;6662,86;68833,63
3;37599,3;11697,05;12433,85;6980,69;68710,89;37516,9;12083,89;12563,58;7084,75;69249,11;37261,48;11894,76;12613,46;6970,96;68740,66;37998,39;10652,82;12757,3;6644,81;68053,33
4;36816,92;11439,63;12239,0;6913,96;67409,52;36762,76;11829,76;12419,22;7029,21;68040,96;36461,13;11612,15;12472,9;6888,99;67435,18;37357,8;10502,33;12594,11;6607,23;67061,46
5;36163,88;11206,85;12070,45;6853,7;66294,87;36214,06;11613,03;12298,71;6968,15;67093,94;35867,48;11413,76;12333,95;6815,99;66431,18;36828,4;10426,68;12425,1;6543,72;66223,89
6;35656,64;11025,04;11922,95;6791,88;65396,51;35811,23;11433,59;12187,25;6903,49;66335,56;35415,84;11261,72;12203,71;6749,12;65630,38;36545,59;10281,04;12311,25;6462,11;65599,98
7;35316,23;10919,89;11795,37;6720,95;64752,44;35490,6;11294,12;12075,92;6837,93;65698,57;35042,85;11120,22;12096,33;6682,03;64941,43;36071,06;10179,37;12246,64;6415,46;64912,53
8;35129,75;10864,69;11716,58;6648,28;64359,31;35296,09;11200,56;11992,17;6778,32;65267,14;34824,76;11021,63;12027,21;6616,56;64490,16;35917,16;10101,71;12200,49;6442,32;64661,68
9;35086,92;10834,12;11697,21;6584,14;64202,39;35271,91;11160,31;11945,64;6731,2;65109,06;34832,57;11001,02;11989,14;6556,51;64379,24;36281,67;10060,85;12193,11;6411,34;64946,98
10;35222,12;10860,64;11644,81;6535,35;64262,93;35355,91;11183,28;11838,18;6697,86;65075,23;34976,6;11035,95;11883,28;6505,55;64401,37;36468,38;10229,43;12006,3;6378,39;65082,49
11;35573,13;10980,92;11474,04;6500,23;64528,32;35496,64;11269,56;11589,64;6669,72;65025,56;35165,84;11096,57;11630,4;6462,25;64355,06;36645,4;10573,65;11629,12;6436,99;65285,16
12;36146,58;11190,45;11231,09;6446,41;65014,52;35791,7;11377,55;11299,63;6603,87;65072,76;35464,66;11180,78;11321,51;6404,99;64371,94;37793,19;10653,65;11415,99;6295,73;66158,57
13;36939,24;11486,6;11008,17;6348,21;65782,22;36367,04;11500,65;11104,28;6472,71;65444,68;35980,99;11317,55;11083,49;6314,91;64696,93;39473,23;10844,17;11346,15;6193,48;67857,03
