Patamares;MLP;LSTM;GRU;ONS
Leve SECO;40226,555448717954;39962,442435897436;39601,778910256406;41240,775961538464
Media SECO;47399,41329999999;47327,331999999995;46957,75320000001;48958,9256
Pesada SECO;49928,054625000004;49975,624375;49539,5075;51434,318375
Leve S;12801,863461538464;12708,642435897435;12391,756923076922;13038,513525641027
Media S;15794,2397;15421,8554;15155,201899999996;16369,7174
Pesada S;16860,034625;16264,9845;15974,16225;17228,882625
Leve NE;12323,373846153845;12325,622564102563;12349,971474358976;12318,776282051282
Media NE;13388,940399999998;13554,311699999998;13636,958700000001;13653,861799999999
Pesada NE;13633,47775;13749,683500000003;13836,868375000002;13743,511875000002
Leve N;7200,023846153845;7102,114102564103;7295,8543589743595;7076,300320512821
Media N;7342,5126;7280,402699999999;7370,078400000001;7406,793100000001
Pesada N;7575,541;7532,545625000001;7616,355374999999;7594,174875
