Patamares;MLP;LSTM;GRU
Leve SECO;40055,3049375;39886,894875;39514,9768125
Media SECO;47273,979583333334;46837,9440625;46603,22770833334
Pesada SECO;50779,719;51082,2295;50506,341
Leve S;12757,8383125;12691,195312499998;12381,5445
Media S;15490,869895833333;15031,614583333334;14815,965000000002
Pesada S;17461,7475;16903,828375;16539,843625
Leve NE;12175,403125;12212,039374999998;12221,1530625
Media NE;13401,154270833335;13499,002916666665;13582,81875
Pesada NE;13968,040875;14104,654874999998;14223,8225
Leve N;6990,9860625;6954,6115625;6984,3421875
Media N;7494,106041666666;7408,150624999999;7585,7590625
Pesada N;7818,828875000001;7683,167625;7984,274124999999
