Patamares;MLP;LSTM;GRU
Leve SECO;40762,36306250001;40694,047875000004;40303,75525
Media SECO;48178,92822916667;48222,28697916665;47917,19114583333
Pesada SECO;51843,392875;51927,45725;51108,710125
Leve S;12841,617499999998;13406,5713125;13187,465687499998
Media S;16163,835208333332;16071,258124999998;15787,744270833333
Pesada S;18444,795000000002;18113,791125;17500,210499999997
Leve NE;12218,117937500001;12399,9875625;12371,4626875
Media NE;13611,8565625;13661,5934375;13694,609166666667
Pesada NE;14280,024500000003;14313,414750000002;14327,684999999998
Leve N;6989,789124999998;7012,9036875;7173,93525
Media N;7562,3553125;7500,793958333333;7859,372083333335
Pesada N;8074,71175;7821,58925;8301,33525
