Patamares;MLP;LSTM;GRU;ONS
Leve SECO;40936,56551282052;40799,119487179494;40440,412435897444;40204,767948717956
Media SECO;48218,88830000001;48321,6346;47824,009699999995;47935,48269999999
Pesada SECO;51082,91975;51221,971125;50578,033625000004;50346,723875
Leve S;12980,706987179487;13433,789358974358;13222,075897435896;12923,957115384615
Media S;16393,2126;16429,154;16030,0494;16384,345999999998
Pesada S;17720,737875;17480,11175;16999,82525;17451,233625
Leve NE;12362,116025641024;12527,553974358974;12521,210128205128;12448,534551282051
Media NE;13605,891300000001;13700,046299999998;13694,509000000002;13835,981200000002
Pesada NE;13936,997875000001;13953,513875;13969,645374999998;14006,613625000002
Leve N;7182,7022435897425;7172,446987179487;7451,52576923077;6982,857243589743
Media N;7469,203200000001;7370,037500000001;7641,347000000001;7311,585400000002
Pesada N;7786,343000000001;7649,5308749999995;7998,293250000001;7490,022875000001
