Patamares;MLP;LSTM;GRU;ONS
Leve SECO;41191,67512820513;40655,433974358966;40218,23128205128;43392,438589743586
Media SECO;48134,061899999986;47411,72939999998;47036,276399999995;51162,426699999996
Pesada SECO;50627,646125;49772,8625;49341,310625;53695,229125
Leve S;12734,10692307692;13366,504551282049;12673,034423076922;13200,672179487181
Media S;15954,550199999998;16244,411100000001;15395,0901;16519,821200000002
Pesada S;17083,586;17206,58125;16262,795374999998;17505,62525
Leve NE;12267,753141025643;12398,333205128205;12451,052692307694;12367,992243589744
Media NE;13411,2667;13577,1172;13649,2754;13678,5152
Pesada NE;13715,254125000001;13772,429125;13852,380874999999;13737,765125
Leve N;6952,324743589745;7060,691923076923;7127,697628205128;7004,693076923078
Media N;7244,840800000001;7265,465;7237,124599999999;7347,5097
Pesada N;7581,264999999999;7493,847;7505,028;7543,014124999999
