Patamares;MLP;LSTM;GRU
Leve SECO;40753,62275;40306,6085;39953,2154375
Media SECO;47327,278958333336;47012,676354166666;46581,84166666667
Pesada SECO;52819,00974999999;51287,191875000004;50757,566249999996
Leve S;12677,576187499999;13281,3884375;12579,2405625
Media S;15651,1696875;16034,770208333333;15218,340625000003
Pesada S;17721,72625;17772,277875;16798,585249999996
Leve NE;12100,8509375;12273,816687499999;12304,314999999999
Media NE;13398,258124999998;13532,975312499999;13633,093854166664
Pesada NE;14121,844500000001;14133,371625;14225,185249999999
Leve N;6748,994875000001;6902,457625;6814,827375000001
Media N;7375,296145833334;7366,275729166667;7458,6814583333335
Pesada N;7846,0041249999995;7699,581375;7870,371625
