Patamares;MLP;LSTM;GRU;ONS
Leve SECO;40047,24653846154;39791,22653846154;39435,898782051285;38188,062115384615
Media SECO;47431,227600000006;47208,6257;46712,263000000006;45818,10949999999
Pesada SECO;50253,81124999999;50280,6565;49634,238375;48331,92175
Leve S;12322,512692307691;12309,273076923078;12103,399166666666;11650,349679487179
Media S;15425,170699999999;15019,283300000001;14979,775700000004;14619,995699999998
Pesada S;16557,969875;15833,798750000002;15827,275749999997;15498,165875
Leve NE;12527,78108974359;12542,781346153846;12513,219102564102;12369,257884615385
Media NE;13602,7013;13711,869;13692,0028;13605,673799999999
Pesada NE;13844,688624999999;13920,512624999998;13893,075625000001;13702,73425
Leve N;6807,76262820513;6868,540897435898;6580,714423076924;6811,155961538462
Media N;7018,068500000001;7109,654100000002;6729,200500000001;7086,348300000001
Pesada N;7278,222750000001;7296,9058749999995;6913,82475;7226,23775
