Patamares;MLP;LSTM;GRU
Leve SECO;39963,566125;39675,90475;39301,08837500001
Media SECO;47305,05885416667;47161,3740625;46778,27906249999
Pesada SECO;50941,773625;50938,871999999996;50188,458125000005
Leve S;12230,539874999999;12250,8860625;12041,602625
Media S;15177,262499999999;14709,876875;14703,656770833333
Pesada S;17194,53825;16457,360999999997;16426,030375000002
Leve NE;12386,393187500002;12427,5833125;12374,113375
Media NE;13653,3125;13669,099895833335;13669,914375000002
Pesada NE;14120,476999999999;14260,685999999998;14256,732374999998
Leve N;6646,991187499999;6711,503812499999;6332,8624375
Media N;7151,275208333333;7216,182291666667;6898,7278125
Pesada N;7450,432875;7495,201875000002;7213,52025
