Patamares;MLP;LSTM;GRU;ONS
Leve SECO;39712,372435897436;39415,792564102565;39171,23038461538;38888,49615384616
Media SECO;47664,4841;47251,2921;46768,0579;46791,471399999995
Pesada SECO;50780,122875;50503,4515;49840,5095;49365,359875
Leve S;12264,403333333334;12068,195897435899;12096,66032051282;12274,229743589744
Media S;15647,365199999995;15086,221199999998;15127,054900000003;15522,445999999998
Pesada S;16919,989;16053,160124999999;16092,052000000001;16511,909
Leve NE;12349,025;12366,071602564101;12332,246282051283;12324,104038461539
Media NE;13577,888199999998;13562,2561;13544,872800000003;13645,2048
Pesada NE;13906,126874999998;13784,246875;13779,091250000001;13778,322625
Leve N;6981,512948717949;6933,4393589743595;6913,471538461539;6751,571794871795
Media N;7248,327699999999;7258,4387;7222,775900000002;7069,957
Pesada N;7539,721374999999;7530,935624999998;7483,1052500000005;7232,295749999999
