Patamares;MLP;LSTM;GRU
Leve SECO;39508,098125000004;39195,4289375;38943,69825
Media SECO;47645,61854166666;47292,19843750001;46893,00052083333
Pesada SECO;51608,91575;51286,866125;50525,484
Leve S;12130,642;12000,3083125;12022,4273125
Media S;15418,019166666667;14737,987916666667;14876,302708333335
Pesada S;17631,875;16757,7165;16692,940375
Leve NE;12215,1545625;12247,8595;12187,652124999999
Media NE;13592,798750000002;13511,797187499998;13524,985833333334
Pesada NE;14217,418249999999;14141,030999999999;14152,77525
Leve N;6825,6638125;6778,89625;6715,138062499999
Media N;7379,579062500001;7375,613437499999;7351,741770833333
Pesada N;7707,258749999999;7715,662125;7740,478375000001
