;MLP_Seco;MLP_S;MLP_NE;MLP_N;MLP_SIN;LSTM_Seco;LSTM_S;LSTM_NE;LSTM_N;LSTM_SIN;GRU_Seco;GRU_S;GRU_NE;GRU_N;GRU_SIN;Prev_ONS_Seco;Prev_ONS_S;Prev_ONS_NE;Prev_ONS_N;Prev ONS_SIN
0;43109,86;13841,56;13347,23;7286,68;77585,33;42254,12;14519,8;13348,14;7315,69;77437,75;42500,33;14129,13;13417,59;7437,35;77484,4;42297,15;13377,58;13333,46;7283,65;76291,84
1;41908,72;13435,25;13134,14;7230,42;75708,54;41132,86;14042,87;13125,27;7267,77;75568,77;41406,26;13746,94;13178,88;7367,81;75699,88;40691,14;13085,98;13003,15;7338,65;74118,92
2;40778,73;13064,15;12917,07;7170,88;73930,83;40111,64;13622,72;12916,33;7218,25;73868,94;40397,09;13389,66;12961,17;7289,22;74037,14;39655,56;12834,5;12746,11;7323,54;72559,72
3;39784,91;12754,8;12696,53;7105,46;72341,7;39264,08;13300,68;12732,93;7166,22;72463,92;39535,31;13077,66;12778,56;7197,62;72589,15;38912,9;12564,65;12550,1;7223,03;71250,69
4;38967,76;12499,0;12491,0;7034,51;70992,27;38558,12;13056,2;12577,47;7113,46;71305,26;38793,77;12813,21;12617,44;7109,32;71333,73;38238,52;12307,7;12387,75;7158,33;70092,3
5;38342,42;12283,19;12317,27;6959,72;69902,61;37951,21;12857,11;12446,43;7060,34;70315,1;38139,62;12592,79;12462,45;7038,34;70233,2;37751,37;12080,04;12267,06;7061,31;69159,78
6;37847,05;12107,26;12167,35;6885,4;69007,06;37464,75;12686,41;12321,88;6998,96;69471,99;37606,84;12408,04;12318,89;6969,14;69302,91;37274,49;11893,26;12159,83;6981,08;68308,67
7;37428,44;11973,91;12036,26;6815,07;68253,69;37129,26;12536,34;12194,39;6924,36;68784,35;37239,33;12252,91;12199,23;6886,36;68577,82;36978,87;11759,88;12060,68;6917,09;67716,53
8;37144,75;11883,94;11956,0;6746,54;67731,24;36947,93;12420,97;12103,05;6851,66;68323,61;37053,75;12135,53;12123,92;6804,88;68118,08;36894,36;11670,24;11991,09;6838,71;67394,4
9;37061,33;11841,89;11939,48;6680,12;67522,82;36911,87;12361,8;12066,32;6798,5;68138,5;37043,89;12073,09;12089,98;6743,36;67950,33;36898,8;11632,12;11971,58;6803,02;67305,53
10;37160,82;11869,25;11886,38;6631,87;67548,31;36991,23;12388,34;11971,89;6772,39;68123,85;37139,25;12104,58;11992,72;6705,48;67942,03;37286,51;11690,72;11781,93;6744,63;67503,78
11;37409,45;11983,48;11705,0;6607,38;67705,31;37174,92;12514,26;11726,89;6765,23;68181,3;37280,64;12245,12;11747,81;6680,89;67954,46;38170,72;11842,1;11422,7;6744,67;68180,2
12;37790,56;12168,93;11451,39;6554,76;67965,64;37547,79;12682,06;11447,08;6716,45;68393,37;37518,65;12392,33;11454,16;6618,21;67983,34;38855,77;11987,14;11238,96;6627,85;68709,72
13;38329,97;12426,87;11228,28;6433,3;68418,42;38221,07;12872,42;11284,52;6585,08;68963,09;37968,56;12487,21;11251,78;6481,66;68189,21;39267,87;12056,26;11186,84;6482,95;68993,92
14;39206,21;12859,58;11177,38;6304,69;69547,85;39315,53;13290,2;11327,55;6461,07;70394,34;38894,89;12761,84;11262,04;6338,77;69257,55;40433,8;12593,34;11429,84;6401,04;70858,02
15;40550,87;13547,76;11404,19;6246,86;71749,68;40887,42;14101,87;11620,46;6446,31;73056,06;40480,69;13429,28;11560,11;6273,65;71743,73;42200,95;13580,88;11989,13;6409,3;74180,26
16;42154,93;14384,89;11830,61;6300,23;74670,66;42725,54;15096,27;12094,93;6559,63;76476,37;42433,88;14335,32;12055,0;6333,34;75157,55;43980,91;14541,37;12493,26;6535,09;77550,62
17;43754,91;15214,75;12333,44;6473,02;77776,12;44562,81;16004,56;12644,13;6780,94;79992,44;44378,8;15247,47;12612,35;6528,71;78767,33;45822,1;15528,81;12975,2;6795,14;81121,26
18;45209,95;15869,72;12792,83;6681,97;80554,48;46176,16;16704,76;13119,76;7017,69;83018,38;46080,47;15987,32;13090,28;6762,86;81920,93;47369,16;16237,14;13322,9;6983,99;83913,19
19;46431,44;16243,46;13123,08;6843,89;82641,86;47420,05;17154,44;13410,44;7183,18;85168,11;47394,89;16447,95;13387,4;6937,48;84167,73;48424,46;16576,95;13516,62;7094,65;85612,68
20;47416,9;16486,39;13371,56;6967,23;84242,08;48414,95;17482,51;13593,8;7286,69;86777,95;48401,34;16754,15;13571,86;7056,32;85783,67;49258,0;16955,81;13718,88;7200,61;87133,3
21;48203,35;16772,81;13596,55;7074,81;85647,52;49293,83;17830,32;13767,63;7356,82;88248,61;49200,79;17056,42;13729,86;7143,48;87130,54;49963,25;17408,08;13918,12;7311,46;88600,9
22;48899,54;17115,7;13766,75;7155,26;86937,25;49973,55;18217,62;13921,32;7403,55;89516,03;49757,77;17376,08;13850,47;7202,53;88186,85;50407,48;17677,13;14046,04;7334,28;89464,94
23;49544,65;17430,42;13836,5;7191,57;88003,13;50342,38;18577,21;14014,41;7427,52;90361,52;50016,01;17646,47;13899,82;7229,24;88791,54;50655,87;17850,86;14125,19;7321,96;89953,88
24;49828,0;17403,1;13792,14;7178,39;88201,62;50390,62;18615,83;13995,59;7410,76;90412,8;49972,31;17578,06;13849,43;7208,81;88608,62;50554,39;17568,48;14074,02;7259,72;89456,61
25;49556,43;16875,98;13658,82;7128,38;87219,6;50216,56;18182,14;13856,73;7350,36;89605,79;49732,33;17035,27;13710,24;7143,94;87621,78;50104,62;16798,28;13870,99;7185,98;87959,88
26;49356,75;16545,16;13584,87;7114,49;86601,26;50248,38;17918,78;13773,49;7322,26;89262,91;49783,95;16721,32;13645,33;7117,78;87268,38;50202,44;16847,56;13881,92;7194,39;88126,31
27;49818,37;17038,46;13692,1;7199,47;87748,41;50821,6;18405,67;13903,12;7396,31;90526,7;50502,61;17260,27;13795,51;7204,75;88763,15;51014,39;17703,32;14090,65;7351,96;90160,33
28;50561,19;17857,02;13873,0;7344,98;89636,19;51570,92;19178,02;14145,45;7539,32;92433,71;51431,7;18120,82;14060,29;7363,66;90976,47;51518,13;18201,47;14295,95;7443,14;91458,69
29;51088,14;18375,66;13997,4;7492,32;90953,51;52061,09;19650,07;14357,59;7693,06;93761,82;52034,69;18645,17;14300,48;7529,4;92509,75;51744,02;18413,64;14531,46;7571,39;92260,51
30;51403,92;18590,72;14073,82;7602,44;91670,9;52277,67;19796,74;14483,26;7802,27;94359,94;52287,47;18824,99;14463,54;7656,74;93232,74;51861,86;18437,42;14606,26;7633,16;92538,7
31;51623,86;18641,55;14131,44;7649,26;92046,11;52318,8;19734,69;14502,15;7828,61;94384,25;52313,87;18809,39;14527,0;7716,49;93366,75;51811,46;18204,39;14512,09;7691,57;92219,52
32;51803,88;18617,95;14143,47;7638,81;92204,11;52312,12;19586,63;14451,42;7798,61;94148,78;52316,97;18727,87;14502,14;7723,84;93270,82;51692,11;18093,84;14391,77;7674,78;91852,51
33;51878,4;18557,34;14066,57;7582,28;92084,59;52276,76;19435,82;14349,0;7743,16;93804,75;52362,52;18654,95;14387,86;7695,64;93100,98;51514,97;18094,99;14271,75;7608,81;91490,52
34;51355,29;18337,2;13847,16;7479,49;91019,13;51768,32;19201,5;14078,65;7645,85;92694,31;51887,69;18464,87;14099,72;7610,97;92063,25;50581,93;17788,56;13877,02;7454,59;89702,1
35;49920,69;17826,99;13488,57;7332,8;88569,06;50451,89;18768,78;13585,46;7489,09;90295,22;50463,14;18005,41;13615,82;7456,07;89540,45;48935,58;17232,0;13160,97;7262,91;86591,46
36;48400,64;17024,15;13231,93;7166,13;85822,84;48894,25;18050,18;13194,23;7297,97;87436,63;48822,26;17218,75;13247,85;7283,62;86572,48;47878,18;16496,64;13030,21;7106,88;84511,92
37;47684,63;16057,21;13277,82;7017,19;84036,85;47837,94;17087,7;13197,97;7120,9;85244,5;47866,78;16200,1;13266,86;7159,36;84493,1;47194,33;15505,3;13475,09;7011,18;83185,89
38;47776,23;15451,21;13427,0;6957,35;83611,8;47826,96;16413,92;13382,83;7056,75;84680,47;48009,21;15562,37;13447,97;7134,88;84154,43;47825,22;15246,78;13673,39;7025,07;83770,46
39;48429,48;15609,39;13448,88;7031,49;84519,24;49037,65;16476,85;13473,8;7168,03;86156,32;49256,64;15790,79;13512,64;7232,57;85792,65;49739,36;15708,96;13691,29;7210,59;86350,19
40;49286,09;16051,34;13387,29;7144,98;85869,71;50374,21;16895,58;13457,89;7321,07;88048,74;50483,72;16342,04;13463,72;7372,4;87661,88;50563,07;16121,55;13676,78;7266,41;87627,81
41;50000,2;16239,12;13350,61;7201,43;86791,36;50786,66;17196,66;13408,77;7381,82;88773,92;50691,16;16600,78;13394,56;7474,12;88160,62;50517,68;16634,67;13569,46;7300,42;88022,22
