Patamares;MLP;LSTM;GRU;ONS
Leve SECO;42149,986730769226;41754,75762820513;41383,7882051282;41407,31685897436
Media SECO;49543,7787;49231,871;48923,96290000001;49335,6295
Pesada SECO;52434,04512499999;52104,331;51782,791625;51884,122624999996
Leve S;13011,570833333335;13418,969294871795;12821,106858974359;12767,558461538461
Media S;16286,433399999998;16700,9812;15867,474299999996;16143,320600000001
Pesada S;17507,98775;17776,374625;16933,530125;17053,860875000002
Leve NE;12145,708974358975;12104,396217948719;12063,259166666669;12228,04858974359
Media NE;13320,9926;13416,3296;13399,179000000002;13600,530200000001
Pesada NE;13665,313375000002;13667,32525;13642,507374999997;13689,367125
Leve N;6753,077564102565;6761,138846153845;6639,536794871796;6888,29967948718
Media N;7032,129599999999;7135,4399;6993,94;7224,9988
Pesada N;7324,37225;7331,04525;7219,6942500000005;7403,260125000001
