Patamares;MLP;LSTM;GRU
Leve SECO;38452,94425;38314,8849375;38045,744
Media SECO;45916,823854166665;45509,321875;44996,13166666666
Pesada SECO;49238,613750000004;48993,7785;48047,107375
Leve S;11741,2763125;11891,847375000001;11732,7706875
Media S;14778,545104166667;14373,250416666664;14471,1065625
Pesada S;16981,948624999997;16679,61175;16447,46975
Leve NE;12236,6030625;12405,722375000001;12266,167375
Media NE;13613,835520833332;13656,692187499999;13554,125729166664
Pesada NE;14227,73375;14254,857125;14153,508875
Leve N;6575,921875;6605,867125;6470,443625
Media N;7087,150312499999;7095,991979166666;7074,605312500001
Pesada N;7426,5962500000005;7438,993124999999;7472,505625
