Patamares;MLP;LSTM;GRU;ONS
Leve SECO;38478,93076923076;38345,29647435898;38079,87737179487;37980,609615384616
Media SECO;45975,5045;45529,3921;44938,994399999996;45754,100999999995
Pesada SECO;48741,39525;48549,66637499999;47704,4495;48301,926
Leve S;11844,986346153846;11928,34455128205;11766,443012820511;11049,470961538464
Media S;15055,069600000003;14809,601799999999;14734,963600000001;13821,061500000002
Pesada S;16282,195000000002;15938,932874999999;15915,070624999998;14435,554249999997
Leve NE;12373,300128205128;12520,971666666666;12403,547307692306;12433,044487179486
Media NE;13603,290600000002;13691,156000000003;13545,587800000001;13730,118100000005
Pesada NE;13905,494;13924,49275;13831,892500000002;13793,043375
Leve N;6750,589102564102;6796,405;6747,198717948718;6759,974743589744
Media N;6959,4349;6987,6867;6903,851500000001;7080,588499999999
Pesada N;7220,0779999999995;7178,319625000001;7116,067375000001;7276,270999999999
