Patamares;MLP;LSTM;GRU;ONS
Leve SECO;41743,75474358974;41237,72134615384;40981,32666666667;41606,621089743596
Media SECO;49146,4125;48902,3415;48588,3859;49619,25149999999
Pesada SECO;51850,439249999996;51794,909875;51414,062874999996;52109,80912500001
Leve S;12743,103846153846;12854,105064102565;12501,5325;12958,51826923077
Media S;15958,5362;15968,497800000001;15438,9942;16337,1074
Pesada S;17147,971999999998;16888,725;16366,155875;17245,358375
Leve NE;12231,260576923076;12225,635448717949;12211,536666666669;12241,675833333331
Media NE;13320,2502;13461,773899999998;13482,7952;13580,681700000001
Pesada NE;13586,171375;13678,134125;13671,547499999997;13638,510250000001
Leve N;6880,741153846153;6964,833974358975;6858,790448717949;6923,940512820514
Media N;7172,6943;7276,9628;7083,0208999999995;7251,941499999999
Pesada N;7479,891500000001;7480,1253750000005;7307,535625000001;7446,096375000001
