Patamares;MLP;LSTM;GRU
Leve SECO;41599,3831875;41115,821187500005;40838,9165625
Media SECO;48862,83041666666;48734,12572916667;48609,35270833334
Pesada SECO;52849,61375;52623,800124999994;52054,075875
Leve S;12682,6803125;12845,996;12476,019812499999
Media S;15742,773229166667;15722,894583333333;15289,650312500002
Pesada S;17688,50625;17355,386625;16743,267
Leve NE;12103,739250000002;12125,889249999998;12090,881875000001
Media NE;13352,106041666668;13406,6115625;13418,371041666667
Pesada NE;13857,4365;14005,628250000003;14053,728999999998
Leve N;6723,7495;6863,33275;6635,447125000001
Media N;7314,625208333334;7345,957291666667;7230,4621875
Pesada N;7638,155375;7615,940875;7588,50425
