Patamares;MLP;LSTM;GRU
Leve SECO;39879,793125000004;39756,792499999996;39257,8566875
Media SECO;46891,32791666667;46728,77000000001;46034,2340625
Pesada SECO;50810,637375;49678,064875;49296,25525
Leve S;12366,7024375;12709,5205625;12077,891437499999
Media S;15269,503541666665;15440,9321875;14630,414999999999
Pesada S;17003,790625;17064,499875;16107,273375
Leve NE;12227,2708125;12378,6966875;12345,3101875
Media NE;13522,779479166666;13644,734166666667;13650,566145833332
Pesada NE;14163,988375;14226,726250000002;14231,296124999999
Leve N;6766,88425;6959,927874999999;6640,419499999999
Media N;7347,631041666667;7465,7188541666665;7261,350416666667
Pesada N;7697,581;7791,095125000002;7623,769125000001
