Patamares;MLP;LSTM;GRU;ONS
Leve SECO;40571,928012820514;40197,61307692307;39556,590576923074;43578,43679487179
Media SECO;46890,5674;46532,984800000006;46103,35670000001;51074,2828
Pesada SECO;49111,34825;48714,597375;48288,502;53470,757000000005
Leve S;12426,825256410259;12756,260384615385;12104,971346153849;12069,245833333332
Media S;15458,751100000001;15616,511100000002;14785,497800000001;15331,494700000003
Pesada S;16504,851625;16617,313000000002;15732,987875;16339,522499999997
Leve NE;12397,279102564104;12495,438076923076;12484,463012820514;12459,975769230768
Media NE;13497,1367;13686,478299999999;13683,1886;13748,301900000002
Pesada NE;13799,750250000001;13883,598499999998;13853,90725;13801,419874999998
Leve N;6932,265192307693;7098,871666666667;6869,90185897436;6963,404807692307
Media N;7202,7945;7371,162399999997;7085,370300000001;7283,3188
Pesada N;7527,0965;7613,0607500000015;7365,207125000001;7480,418124999999
