;MLP_Seco;MLP_S;MLP_NE;MLP_N;MLP_SIN;LSTM_Seco;LSTM_S;LSTM_NE;LSTM_N;LSTM_SIN;GRU_Seco;GRU_S;GRU_NE;GRU_N;GRU_SIN;Prev_ONS_Seco;Prev_ONS_S;Prev_ONS_NE;Prev_ONS_N;Prev ONS_SIN
0;44285,89;13206,35;13905,41;7365,9;78763,55;44048,02;13214,13;13949,54;7402,48;78614,18;43801,56;13198,18;14155,18;7417,05;78571,97;41766,82;13058,52;13691,88;7364,55;75881,77
1;42986,42;12710,06;13699,98;7323,36;76719,82;42779,36;12740,16;13754,23;7374,83;76648,57;42556,54;12712,32;13932,5;7370,83;76572,19;40367,12;12484,72;13528,63;7351,85;73732,33
2;41756,26;12249,56;13486,04;7272,2;74764,07;41600,83;12305,4;13557,37;7337,68;74801,28;41391,67;12261,59;13726,36;7316,83;74696,46;39163,04;12054,19;13357,32;7299,41;71873,94
3;40654,71;11854,0;13261,66;7207,68;72978,04;40581,22;11938,81;13362,11;7283,98;73166,12;40370,22;11872,75;13547,49;7249,54;73039,99;38249,46;11722,49;13192,58;7234,43;70398,95
4;39701,05;11525,84;13051,4;7140,36;71418,64;39703,92;11628,3;13190,46;7216,29;71738,97;39487,91;11539,02;13383,38;7172,44;71582,74;37513,86;11417,35;13042,49;7183,03;69156,72
5;38903,54;11258,6;12877,45;7080,11;70119,7;38941,46;11356,61;13058,05;7140,39;70496,52;38732,54;11250,29;13220,81;7090,68;70294,31;36978,74;11142,65;12886,19;7152,62;68160,21
6;38266,29;11036,75;12726,07;7018,53;69047,65;38308,28;11126,9;12936,27;7065,15;69436,59;38127,71;11016,54;13066,92;7007,1;69218,27;36426,26;10944,82;12757,91;7099,14;67228,13
7;37788,28;10847,5;12586,17;6946,83;68168,79;37825,15;10947,41;12802,37;6997,48;68572,4;37692,58;10849,01;12935,79;6924,38;68401,77;35851,88;10816,37;12640,33;7026,7;66335,28
8;37452,03;10698,19;12493,2;6872,92;67516,34;37496,34;10826,38;12701,35;6933,44;67957,51;37392,73;10743,8;12848,73;6846,99;67832,25;35581,86;10727,56;12537,88;6949,32;65796,63
9;37234,18;10597,32;12462,94;6807,28;67101,73;37304,81;10763,83;12656,65;6870,06;67595,36;37181,21;10689,66;12799,28;6778,84;67448,99;35565,89;10686,3;12499,35;6899,2;65650,74
10;37104,16;10537,89;12386,11;6754,14;66782,29;37164,72;10726,93;12537,81;6819,05;67248,51;37014,53;10661,16;12662,72;6719,7;67058,11;35488,06;10627,61;12258,07;6841,73;65215,47
11;37014,71;10503,78;12159,13;6709,35;66386,96;36988,0;10680,46;12231,94;6784,38;66684,79;36849,62;10629,2;12337,69;6663,63;66480,14;35383,46;10560,99;11826,92;6824,22;64595,59
12;36859,23;10457,73;11826,45;6641,75;65785,16;36746,38;10612,73;11850,51;6724,17;65933,79;36641,47;10564,27;11934,6;6585,88;65726,22;35027,95;10542,13;11623,8;6724,87;63918,75
13;36605,52;10387,26;11483,56;6527,2;65003,54;36491,61;10543,83;11545,97;6604,59;65185,99;36408,16;10473,77;11602,75;6466,8;64951,47;34283,71;10513,92;11336,12;6556,23;62689,99
14;36578,66;10400,02;11282,01;6396,57;64657,26;36535,7;10597,57;11410,48;6469,7;65013,44;36421,88;10513,08;11435,37;6325,96;64696,29;34739,66;10667,85;11325,51;6458,01;63191,02
15;37083,03;10593,45;11336,54;6292,18;65305,2;37130,98;10869,71;11490,19;6374,48;65865,36;36919,26;10806,32;11481,02;6194,49;65401,09;36397,89;11089,43;11552,69;6394,29;65434,3
16;37983,28;10904,03;11558,46;6246,96;66692,72;38030,9;11240,02;11707,53;6339,63;67318,09;37740,39;11204,41;11665,74;6110,52;66721,06;37693,98;11467,79;11786,7;6415,79;67364,26
17;39043,52;11237,06;11821,07;6277,61;68379,26;38922,72;11562,47;11958,19;6368,11;68811,5;38647,61;11531,77;11888,53;6101,5;68169,41;38747,01;11808,21;12008,22;6539,3;69102,74
18;40065,57;11534,25;12048,95;6345,36;69994,13;39727,89;11803,84;12154,62;6426,21;70112,57;39488,7;11779,94;12063,01;6145,01;69476,66;39634,86;12071,61;12173,36;6636,93;70516,76
19;40899,25;11759,29;12202,72;6407,92;71269,18;40425,96;11969,69;12243,29;6478,65;71117,59;40156,2;11979,91;12133,98;6209,21;70479,3;40298,08;12244,41;12255,61;6724,08;71522,18
20;41548,7;11927,45;12335,87;6464,58;72276,6;40994,63;12107,88;12289,94;6520,55;71912,99;40636,26;12153,08;12156,6;6274,57;71220,52;40966,5;12431,7;12360,58;6767,36;72526,14
21;42050,27;12070,16;12498,89;6520,27;73139,59;41412,81;12264,84;12367,74;6553,59;72598,98;40940,03;12312,38;12194,33;6326,3;71773,04;41640,47;12634,18;12496,56;6746,19;73517,41
22;42414,84;12231,97;12637,49;6560,82;73845,13;41666,15;12438,9;12460,32;6575,39;73140,77;41085,18;12446,2;12233,48;6356,3;72121,17;41905,52;12818,1;12566,87;6765,05;74055,53
23;42649,14;12425,05;12690,45;6572,59;74337,24;41763,31;12601,52;12529,5;6581,78;73476,12;41100,68;12526,39;12245,23;6359,87;72232,17;41769,12;13019,9;12617,37;6823,92;74230,31
24;42768,82;12518,89;12673,46;6563,15;74524,33;41798,14;12664,7;12539,51;6565,63;73567,98;41054,24;12483,05;12217,2;6338,95;72093,44;41685,82;12999,23;12583,6;6799,08;74067,73
25;42801,17;12410,13;12626,61;6546,34;74384,26;41855,45;12568,74;12478,96;6526,72;73429,87;41007,15;12283,15;12156,96;6301,0;71748,27;41671,79;12735,78;12467,42;6711,01;73585,99
26;42810,91;12246,77;12610,6;6540,2;74208,49;41898,58;12426,74;12431,81;6495,39;73252,53;40956,16;12082,96;12135,23;6268,7;71443,06;41693,7;12630,57;12469,97;6707,92;73502,16
27;42858,73;12190,19;12668,45;6560,78;74278,15;41875,53;12360,75;12473,9;6500,47;73210,65;40885,39;12031,89;12209,35;6262,89;71389,52;41794,75;12655,99;12476,68;6757,75;73685,17
28;42951,62;12204,03;12751,87;6612,18;74519,71;41794,31;12355,89;12553,37;6533,95;73237,52;40792,84;12062,79;12319,94;6281,73;71457,29;41753,96;12635,09;12502,06;6811,67;73702,79
29;43067,53;12217,68;12805,35;6688,9;74779,46;41682,93;12366,72;12603,13;6578,17;73230,96;40691,2;12079,84;12396,11;6316,3;71483,45;41569,23;12583,93;12591,79;6882,57;73627,53
30;43121,9;12221,21;12835,79;6758,9;74937,79;41589,36;12362,44;12622,79;6613,63;73188,23;40637,95;12089,32;12437,77;6352,04;71517,08;41419,09;12549,31;12620,04;6908,81;73497,25
31;43051,65;12220,84;12860,6;6791,33;74924,41;41558,21;12328,63;12623,58;6624,37;73134,79;40682,8;12114,77;12457,74;6373,67;71628,98;41245,1;12526,1;12591,28;6887,54;73250,02
32;42942,05;12226,55;12876,93;6786,55;74832,08;41600,68;12301,74;12596,6;6610,37;73109,39;40799,69;12146,67;12449,83;6368,69;71764,87;41184,17;12521,77;12568,24;6834,59;73108,77
