Patamares;MLP;LSTM;GRU;ONS
Leve SECO;41452,43987179488;41158,94532051282;40834,68891025642;39846,325512820506
Media SECO;48687,2208;48550,2114;48063,4253;47448,91829999999
Pesada SECO;51518,107;51432,2095;50795,322875;49818,62525
Leve S;12624,967628205126;12843,811538461538;12661,887243589745;12717,99544871795
Media S;15785,387799999999;15641,2255;15430,1553;16076,796300000002
Pesada S;17019,4735;16632,4645;16358,362375;17044,597999999998
Leve NE;12103,201346153846;12038,444615384615;11978,175833333335;12065,943782051281
Media NE;13297,830199999999;13190,987999999998;13107,630899999998;13425,6973
Pesada NE;13628,573375000002;13421,151875000001;13395,753999999997;13548,486499999999
Leve N;7191,109102564103;7051,377692307692;7324,688717948718;6837,235897435898
Media N;7437,417;7340,7076;7546,902100000001;7151,700599999999
Pesada N;7739,4;7640,948999999999;7877,219749999999;7308,9975
