Patamares;MLP;LSTM;GRU
Leve SECO;41330,197562500005;41066,6040625;40725,7849375
Media SECO;48618,40916666666;48496,055625;48110,701145833336
Pesada SECO;52206,904625;52051,44225;51317,836625
Leve S;12501,180625;12800,844624999998;12612,625499999998
Media S;15602,491250000001;15282,742395833333;15168,8409375
Pesada S;17644,544375;17288,44875;16908,876500000002
Leve NE;11928,2465;11909,257625;11787,939375
Media NE;13276,510937499997;13153,7834375;13116,157708333334
Pesada NE;14063,797625000001;13781,7985;13822,467500000002
Leve N;6989,0628750000005;6895,192;7058,6570624999995
Media N;7541,731875;7460,360208333334;7736,508333333332
Pesada N;8030,629999999999;7824,203749999999;8192,866250000001
