,Ano,Mes,Dia,Hora,Min,Temperatura
139,2024,1,24,19,0,"22,0254"
140,2024,1,24,20,0,"21,501999"
141,2024,1,24,21,0,"21,6446"
142,2024,1,24,22,0,"21,288599"
143,2024,1,24,23,0,"20,9566"
144,2024,1,25,0,0,"21,2785"
145,2024,1,25,1,0,"21,8154"
146,2024,1,25,2,0,"21,5596"
147,2024,1,25,3,0,"21,3367"
148,2024,1,25,4,0,"21,3956"
149,2024,1,25,5,0,"21,2938"
150,2024,1,25,6,0,"21,192"
151,2024,1,25,7,0,"22,1274"
152,2024,1,25,8,0,"22,9456"
153,2024,1,25,9,0,"23,351"
154,2024,1,25,10,0,"23,7716"
155,2024,1,25,11,0,"23,929"
156,2024,1,25,12,0,"24,0341"
157,2024,1,25,13,0,"25,3244"
158,2024,1,25,14,0,"23,9234"
159,2024,1,25,15,0,"23,853"
160,2024,1,25,16,0,"23,4452"
161,2024,1,25,17,0,"23,209"
162,2024,1,25,18,0,"22,8907"
163,2024,1,25,19,0,"22,2948"
164,2024,1,25,20,0,"21,9828"
165,2024,1,25,21,0,"22,0377"
166,2024,1,25,22,0,"20,8932"
167,2024,1,25,23,0,"20,8998"
168,2024,1,26,0,0,"21,2318"
169,2024,1,26,1,0,"21,0058"
170,2024,1,26,2,0,"20,942799"
171,2024,1,26,3,0,"21,0287"
172,2024,1,26,4,0,"20,945799"
173,2024,1,26,5,0,"20,7458"
174,2024,1,26,6,0,"21,2755"
175,2024,1,26,7,0,"22,157"
176,2024,1,26,8,0,"23,687"
177,2024,1,26,9,0,"24,794"
178,2024,1,26,10,0,"26,3796"
179,2024,1,26,11,0,"27,184"
180,2024,1,26,12,0,"28,0369"
181,2024,1,26,13,0,"27,958601"
182,2024,1,26,14,0,"27,8262"
183,2024,1,26,15,0,"27,346899"
184,2024,1,26,16,0,"26,634201"
185,2024,1,26,17,0,"26,0182"
186,2024,1,26,18,0,"25,3319"
187,2024,1,26,19,0,"24,3656"
188,2024,1,26,20,0,"23,6704"
189,2024,1,26,21,0,"23,638401"
190,2024,1,26,22,0,"23,1084"
191,2024,1,26,23,0,"22,9062"
