;MLP_Seco;MLP_S;MLP_NE;MLP_N;MLP_SIN;LSTM_Seco;LSTM_S;LSTM_NE;LSTM_N;LSTM_SIN;GRU_Seco;GRU_S;GRU_NE;GRU_N;GRU_SIN;Prev_ONS_Seco;Prev_ONS_S;Prev_ONS_NE;Prev_ONS_N;Prev ONS_SIN;SECO Carga Verificada;S Carga Verificada;NE Carga Verificada;N Carga Verificada;SIN Carga Verificada;MAPE MLP Seco;MAPE MLP S;MAPE MLP NE;MAPE MLP N;MAPE MLP SIN;MAPE LSTM Seco;MAPE LSTM S;MAPE LSTM NE;MAPE LSTM N;MAPE LSTM SIN;MAPE GRU Seco;MAPE GRU S;MAPE GRU NE;MAPE GRU N;MAPE GRU SIN;MAPE ONS Seco;MAPE ONS S;MAPE ONS NE;MAPE ONS N;MAPE ONS SIN;MAE MLP Seco;MAE MLP S;MAE MLP NE;MAE MLP N;MAE MLP SIN;MAE LSTM Seco;MAE LSTM S;MAE LSTM NE;MAE LSTM N;MAE LSTM SIN;MAE GRU Seco;MAE GRU S;MAE GRU NE;MAE GRU N;MAE GRU SIN;MAE ONS Seco;MAE ONS S;MAE ONS NE;MAE ONS N;MAE ONS SIN
0;43109,86;13841,56;13347,23;7286,68;77585,33;42254,12;14519,8;13348,14;7315,69;77437,75;42500,33;14129,13;13417,59;7437,35;77484,4;42297,15;13377,58;13333,46;7283,65;76291,84;43175,28;14141,64;13474,66;7143,82;77935,39;0,15;2,12;0,95;2,0;0,45;2,13;2,67;0,94;2,41;0,64;1,56;0,09;0,42;4,11;0,58;2,03;5,4;1,05;1,96;2,11;-65,42;-300,08;-127,43;142,86;-350,06;-921,16;378,16;-126,52;171,87;-497,64;-674,95;-12,51;-57,07;293,53;-450,99;-878,13;-764,06;-141,2;139,83;-1643,55
1;41908,72;13435,25;13134,14;7230,42;75708,53;41132,86;14042,87;13125,27;7267,77;75568,77;41406,26;13746,94;13178,88;7367,81;75699,89;40691,14;13085,98;13003,15;7338,65;74118,92;42202,4;13771,28;13228,6;7130,98;76333,26;0,7;2,44;0,71;1,39;0,82;2,53;1,97;0,78;1,92;1,0;1,89;0,18;0,38;3,32;0,83;3,58;4,98;1,7;2,91;2,9;-293,68;-336,03;-94,46;99,44;-624,73;-1069,54;271,59;-103,33;136,79;-764,49;-796,14;-24,34;-49,72;236,83;-633,37;-1511,26;-685,3;-225,45;207,67;-2214,34
2;40778,73;13064,15;12917,07;7170,88;73930,83;40111,64;13622,72;12916,33;7218,25;73868,94;40397,09;13389,66;12961,17;7289,22;74037,14;39655,56;12834,5;12746,11;7323,54;72559,71;41238,48;13406,22;13016,9;7103,02;74764,62;1,11;2,55;0,77;0,96;1,12;2,73;1,61;0,77;1,62;1,2;2,04;0,12;0,43;2,62;0,97;3,84;4,26;2,08;3,1;2,95;-459,75;-342,07;-99,83;67,86;-833,79;-1126,84;216,5;-100,57;115,23;-895,68;-841,39;-16,56;-55,73;186,2;-727,48;-1582,92;-571,72;-270,79;220,52;-2204,91
3;39784,91;12754,8;12696,53;7105,46;72341,7;39264,08;13300,68;12732,93;7166,22;72463,91;39535,31;13077,66;12778,56;7197,62;72589,15;38912,9;12564,65;12550,1;7223,03;71250,68;40303,38;13054,98;12861,54;7050,89;73270,79;1,29;2,3;1,28;0,77;1,27;2,58;1,88;1,0;1,64;1,1;1,91;0,17;0,65;2,08;0,93;3,45;3,76;2,42;2,44;2,76;-518,47;-300,18;-165,01;54,57;-929,09;-1039,3;245,7;-128,61;115,33;-806,88;-768,07;22,68;-82,98;146,73;-681,64;-1390,48;-490,33;-311,44;172,14;-2020,11
4;38967,76;12499,0;12491,0;7034,51;70992,27;38558,12;13056,2;12577,47;7113,46;71305,25;38793,77;12813,21;12617,44;7109,32;71333,74;38238,52;12307,7;12387,75;7158,33;70092,3;39460,46;12739,02;12735,15;6989,8;71924,43;1,25;1,88;1,92;0,64;1,3;2,29;2,49;1,24;1,77;0,86;1,69;0,58;0,92;1,71;0,82;3,1;3,39;2,73;2,41;2,55;-492,69;-240,02;-244,15;44,71;-932,16;-902,33;317,18;-157,68;123,66;-619,18;-666,69;74,18;-117,71;119,52;-590,69;-1221,94;-431,32;-347,4;168,53;-1832,13
5;38342,42;12283,19;12317,27;6959,72;69902,6;37951,21;12857,11;12446,43;7060,34;70315,09;38139,62;12592,79;12462,45;7038,34;70233,2;37751,37;12080,04;12267,06;7061,31;69159,78;38766,52;12478,31;12603,7;6935,97;70784,5;1,09;1,56;2,27;0,34;1,25;2,1;3,04;1,25;1,79;0,66;1,62;0,92;1,12;1,48;0,78;2,62;3,19;2,67;1,81;2,3;-424,1;-195,12;-286,43;23,75;-881,9;-815,31;378,8;-157,27;124,37;-469,41;-626,9;114,48;-141,25;102,37;-551,3;-1015,15;-398,27;-336,64;125,34;-1624,72
6;37847,05;12107,26;12167,35;6885,4;69007,06;37464,75;12686,41;12321,88;6998,96;69472,0;37606,84;12408,04;12318,89;6969,14;69302,91;37274,49;11893,26;12159,83;6981,08;68308,66;38208,58;12273,91;12455,89;6885,42;69823,8;0,95;1,36;2,32;0,0;1,17;1,95;3,36;1,08;1,65;0,5;1,57;1,09;1,1;1,22;0,75;2,44;3,1;2,38;1,39;2,17;-361,53;-166,65;-288,54;-0,02;-816,74;-743,83;412,5;-134,01;113,54;-351,8;-601,74;134,13;-137,0;83,72;-520,89;-934,09;-380,65;-296,06;95,66;-1515,14
7;37428,44;11973,91;12036,26;6815,07;68253,68;37129,26;12536,34;12194,39;6924,36;68784,35;37239,33;12252,91;12199,23;6886,36;68577,83;36978,87;11759,88;12060,68;6917,09;67716,52;37772,34;12122,37;12301,6;6830,09;69026,41;0,91;1,22;2,16;0,22;1,12;1,7;3,41;0,87;1,38;0,35;1,41;1,08;0,83;0,82;0,65;2,1;2,99;1,96;1,27;1,9;-343,9;-148,46;-265,34;-15,02;-772,73;-643,08;413,97;-107,21;94,27;-242,06;-533,01;130,54;-102,37;56,27;-448,58;-793,47;-362,49;-240,92;87,0;-1309,89
8;37144,75;11883,94;11956,0;6746,54;67731,23;36947,93;12420,97;12103,05;6851,66;68323,61;37053,75;12135,53;12123,92;6804,88;68118,08;36894,36;11670,24;11991,09;6838,71;67394,4;37508,01;12021,07;12212,72;6765,88;68507,67;0,97;1,14;2,1;0,29;1,13;1,49;3,33;0,9;1,27;0,27;1,21;0,95;0,73;0,58;0,57;1,64;2,92;1,81;1,08;1,63;-363,26;-137,13;-256,72;-19,34;-776,44;-560,08;399,9;-109,67;85,78;-184,06;-454,26;114,46;-88,8;39,0;-389,59;-613,65;-350,83;-221,63;72,83;-1113,27
9;37061,33;11841,89;11939,48;6680,12;67522,82;36911,87;12361,8;12066,32;6798,5;68138,49;37043,89;12073,09;12089,98;6743,36;67950,32;36898,8;11632,12;11971,58;6803,02;67305,52;37461,9;11972,04;12227,01;6695,38;68356,33;1,07;1,09;2,35;0,23;1,22;1,47;3,26;1,31;1,54;0,32;1,12;0,84;1,12;0,72;0,59;1,5;2,84;2,09;1,61;1,54;-400,57;-130,15;-287,53;-15,26;-833,51;-550,03;389,76;-160,69;103,12;-217,84;-418,01;101,05;-137,03;47,98;-406,01;-563,1;-339,92;-255,43;107,64;-1050,81
