;MLP_Seco;MLP_S;MLP_NE;MLP_N;MLP_SIN;LSTM_Seco;LSTM_S;LSTM_NE;LSTM_N;LSTM_SIN;GRU_Seco;GRU_S;GRU_NE;GRU_N;GRU_SIN;Prev_ONS_Seco;Prev_ONS_S;Prev_ONS_NE;Prev_ONS_N;Prev ONS_SIN
0;44321,9;13442,41;13211,61;7001,83;77977,74;43811,9;13162,0;13090,72;7025,08;77089,71;43458,29;12848,92;13126,42;7104,48;76538,1;43787,67;12906,01;13135,76;7240,88;77070,32
1;43182,22;12949,88;12968,52;6956,41;76057,03;42695,38;12668,77;12893,22;6974,58;75231,95;42494,67;12414,24;12949,22;7041,45;74899,58;42182,45;12326,89;13067,37;7140,11;74716,82
2;42092,74;12503,24;12750,83;6909,45;74256,27;41659,55;12221,95;12709,02;6928,47;73518,99;41550,99;12030,34;12772,97;6979,06;73333,36;40989,41;11950,76;12936,68;7082,68;72959,52
3;41093,95;12134,36;12573,98;6859,54;72661,84;40759,3;11858,33;12548,53;6888,68;72054,85;40646,33;11730,19;12600,53;6917,26;71894,32;40297,89;11626,02;12737,13;7102,14;71763,17
4;40187,48;11819,0;12413,6;6805,95;71226,03;39946,42;11576,09;12410,5;6847,33;70780,34;39796,17;11475,72;12442,51;6853,18;70567,58;39482,52;11350,96;12602,92;7091,45;70527,85
5;39372,04;11529,18;12245,35;6748,68;69895,25;39171,84;11359,8;12288,73;6796,3;69616,67;39019,08;11226,22;12306,89;6784,89;69337,07;38783,41;11110,29;12525,88;7036,18;69455,75
6;38673,77;11277,94;12084,82;6690,08;68726,61;38486,34;11178,05;12168,94;6736,28;68569,61;38349,53;11001,59;12183,5;6717,04;68251,66;38145,59;10899,22;12426,44;6956,5;68427,75
7;38116,09;11082,05;11955,86;6631,65;67785,64;37949,06;11008,04;12044,38;6671,38;67672,86;37820,0;10828,64;12065,3;6653,68;67367,62;37766,23;10714,5;12306,08;6906,37;67693,18
8;37684,23;10932,21;11875,46;6569,02;67060,92;37552,73;10877,36;11946,66;6610,47;66987,21;37439,12;10701,32;11975,85;6589,75;66706,05;37410,44;10585,04;12210,11;6835,84;67041,43
9;37347,5;10814,05;11834,62;6500,86;66497,03;37257,16;10814,73;11886,94;6562,3;66521,14;37176,91;10608,43;11918,07;6522,12;66225,54;37091,83;10520,8;12155,92;6754,03;66522,57
10;37049,48;10719,07;11727,14;6443,7;65939,39;36956,87;10803,1;11756,26;6530,34;66046,57;36872,67;10551,36;11781,71;6464,28;65670,02;36836,7;10336,31;11910,62;6694,02;65777,65
11;36709,26;10634,99;11461,14;6406,44;65211,83;36548,77;10812,02;11460,26;6506,2;65327,26;36370,97;10517,54;11471,9;6420,06;64780,46;36371,49;10090,63;11473,82;6698,44;64634,38
12;36173,78;10528,58;11099,18;6349,45;64150,99;36004,8;10803,39;11083,08;6439,58;64330,85;35668,14;10426,22;11068,46;6337,95;63500,77;35830,86;9916,34;11126,35;6584,35;63457,9
13;35396,15;10393,43;10744,88;6237,26;62771,72;35378,07;10776,77;10745,05;6294,62;63194,51;34860,85;10236,14;10691,44;6176,68;61965,11;35046,94;9808,63;10856,5;6415,28;62127,36
14;34826,5;10351,34;10511,71;6099,36;61788,91;34971,56;10890,09;10532,62;6135,3;62529,56;34295,26;10132,0;10447,24;5991,18;60865,68;34993,48;9868,84;10759,76;6315,61;61937,7
15;34893,42;10507,76;10480,45;5977,12;61858,74;35056,17;11274,24;10493,63;6033,15;62857,19;34265,6;10290,66;10399,32;5846,4;60801,98;35233,25;10123,13;10851,93;6187,7;62396,01
16;35442,17;10774,4;10591,37;5894,41;62702,35;35524,87;11793,43;10555,37;5990,07;63863,73;34608,77;10631,52;10453,14;5751,04;61444,47;35737,35;10357,94;10920,72;6121,05;63137,06
17;36202,8;11036,94;10755,92;5863,45;63859,11;36183,27;12270,02;10627,98;5987,44;65068,71;35083,69;11016,11;10494,78;5696,53;62291,1;36404,14;10505,44;10985,69;6133,23;64028,5
18;37027,73;11270,82;10910,71;5867,23;65076,49;36865,67;12625,7;10673,86;5994,08;66159,3;35594,64;11331,86;10490,9;5661,37;63078,78;37055,05;10699,34;11011,63;6101,14;64867,15
19;37810,02;11479,13;11012,58;5885,33;66187,05;37444,93;12840,0;10680,91;5984,53;66950,38;36083,06;11512,96;10440,41;5626,42;63662,85;37625,18;10883,17;10983,28;6079,05;65570,68
20;38482,88;11685,92;11074,1;5912,88;67155,77;37919,52;13024,46;10687,12;5968,79;67599,89;36493,56;11654,57;10390,55;5594,82;64133,5;38142,14;11150,91;11003,0;6082,96;66379,01
21;39010,58;11913,61;11121,37;5946,88;67992,44;38321,65;13286,54;10730,73;5962,08;68300,99;36794,53;11855,3;10385,17;5573,52;64608,53;38690,13;11456,81;11059,64;6063,64;67270,23
22;39441,34;12157,23;11178,79;5976,27;68753,62;38692,75;13585,34;10801,08;5965,2;69044,38;37046,02;12066,56;10405,95;5562,51;65081,04;39202,0;11757,03;11120,8;6085,63;68165,47
23;39831,32;12384,51;11259,34;5991,46;69466,63;39054,26;13832,36;10875,08;5974,13;69735,83;37307,58;12205,44;10425,11;5559,58;65497,71;39739,25;11990,39;11199,78;6154,76;69084,18
24;40184,39;12481,5;11332,25;5997,0;69995,14;39338,11;13896,82;10928,72;5979,93;70143,58;37545,05;12198,93;10439,21;5560,88;65744,07;40127,48;12112,16;11245,33;6157,93;69642,9
25;40484,82;12374,18;11367,2;6000,87;70227,07;39478,52;13718,15;10947,85;5979,45;70123,97;37710,13;12032,08;10455,89;5565,56;65763,66;40369,39;11990,86;11247,31;6191,25;69798,81
26;40690,61;12229,89;11379,79;6010,74;70311,04;39508,12;13558,72;10958,64;5997,58;70023,05;37791,69;11912,5;10502,9;5586,33;65793,42;40507,94;11939,83;11285,09;6237,87;69970,73
27;40773,35;12217,01;11389,94;6034,02;70414,32;39481,6;13662,95;10988,7;6054,87;70188,12;37792,65;12021,17;10597,23;5634,27;66045,33;40540,78;12005,14;11362,85;6280,22;70188,99
28;40785,15;12266,65;11389,19;6077,13;70518,12;39443,47;13880,6;11031,25;6126,43;70481,75;37735,03;12210,27;10692,86;5700,28;66338,43;40522,46;12059,17;11352,52;6306,51;70240,66
29;40791,17;12280,81;11382,23;6140,63;70594,83;39423,14;14011,9;11070,64;6182,42;70688,1;37657,56;12305,58;10743,9;5770,57;66477,6;40399,71;12066,59;11244,92;6374,48;70085,7
30;40828,1;12282,23;11454,72;6202,62;70767,67;39399,85;14053,72;11090,37;6218,64;70762,59;37646,89;12356,32;10768,19;5832,76;66604,16;40472,4;12108,8;11251,84;6409,31;70242,35
