Patamares;MLP;LSTM;GRU;ONS
Leve SECO;40525,98923076923;40422,440192307695;40046,27544871795;41382,82775641026
Media SECO;48039,9695;48033,99909999999;47605,9542;49189,53959999999
Pesada SECO;50830,95175;50800,538375000004;50287,6655;51701,688375
Leve S;13103,540128205126;13535,444294871799;13205,602884615384;13173,04108974359
Media S;16362,8076;16296,5865;15794,2812;16504,490299999998
Pesada S;17564,389625;17178,383250000003;16546,035375;17432,547875
Leve NE;12289,85935897436;12356,231474358974;12307,63891025641;12474,08217948718
Media NE;13477,971899999999;13642,590600000003;13657,092400000001;13819,429800000002
Pesada NE;13788,995250000002;13864,846250000002;13856,87175;13907,6495
Leve N;7477,269487179487;7385,490576923075;7712,850897435897;7109,364358974358
Media N;7722,722700000001;7702,4145;7957,3463;7454,142399999999
Pesada N;8025,480374999999;8052,287875;8349,480875;7647,641250000001
