Patamares;MLP;LSTM;GRU
Leve SECO;40439,577625;40374,792625;39973,01075
Media SECO;47889,15541666667;47932,96260416667;47640,986875
Pesada SECO;51560,450875;51397,655249999996;50770,139624999996
Leve S;13008,496000000001;13502,696124999999;13179,36375
Media S;16120,594166666668;15913,643958333332;15502,370520833332
Pesada S;18208,097375;17841,46775;17078,240375
Leve NE;12132,81825;12246,0334375;12179,843125
Media NE;13495,242812499999;13577,667083333334;13596,153229166666
Pesada NE;14141,758000000002;14227,468499999999;14253,063
Leve N;7268,957874999998;7256,383000000002;7464,1439375
Media N;7879,620208333334;7823,214270833334;8165,5278124999995
Pesada N;8266,09925;8181,389499999999;8609,301749999999
