;MLP_Seco;MLP_S;MLP_NE;MLP_N;MLP_SIN;LSTM_Seco;LSTM_S;LSTM_NE;LSTM_N;LSTM_SIN;GRU_Seco;GRU_S;GRU_NE;GRU_N;GRU_SIN;Prev_ONS_Seco;Prev_ONS_S;Prev_ONS_NE;Prev_ONS_N;Prev ONS_SIN;SECO Carga Verificada;S Carga Verificada;NE Carga Verificada;N Carga Verificada;SIN Carga Verificada;MAPE MLP Seco;MAPE MLP S;MAPE MLP NE;MAPE MLP N;MAPE MLP SIN;MAPE LSTM Seco;MAPE LSTM S;MAPE LSTM NE;MAPE LSTM N;MAPE LSTM SIN;MAPE GRU Seco;MAPE GRU S;MAPE GRU NE;MAPE GRU N;MAPE GRU SIN;MAPE ONS Seco;MAPE ONS S;MAPE ONS NE;MAPE ONS N;MAPE ONS SIN;MAE MLP Seco;MAE MLP S;MAE MLP NE;MAE MLP N;MAE MLP SIN;MAE LSTM Seco;MAE LSTM S;MAE LSTM NE;MAE LSTM N;MAE LSTM SIN;MAE GRU Seco;MAE GRU S;MAE GRU NE;MAE GRU N;MAE GRU SIN;MAE ONS Seco;MAE ONS S;MAE ONS NE;MAE ONS N;MAE ONS SIN
10;41256,57;13395,32;12641,26;7610,02;74903,17;39991,75;13026,57;12557,62;7473,68;73049,62;40144,51;12758,1;12592,64;7811,64;73306,89;40399,39;12741,86;12497,4;7282,69;72921,34;41990,9;12509,24;12382,12;6329,94;73212,2;1,75;7,08;2,09;20,22;2,31;4,76;4,14;1,42;18,07;0,22;4,4;1,99;1,7;23,41;0,13;3,79;1,86;0,93;15,05;0,4;-734,33;886,08;259,14;1280,08;1690,97;-1999,15;517,33;175,5;1143,74;-162,58;-1846,39;248,86;210,52;1481,7;94,69;-1591,51;232,62;115,28;952,75;-290,86
11;41411,28;13501,44;12447,13;7559,8;74919,65;40084,45;13090,53;12293,95;7449,8;72918,73;40238,16;12834,52;12324,0;7737,49;73134,17;40409,8;12888,21;12228,57;7268,49;72795,07;41970,74;12576,53;12137,9;6318,53;73003,7;1,33;7,35;2,55;19,64;2,62;4,49;4,09;1,29;17,9;0,12;4,13;2,05;1,53;22,46;0,18;3,72;2,48;0,75;15,03;0,29;-559,46;924,91;309,23;1241,27;1915,95;-1886,29;514,0;156,05;1131,27;-84,97;-1732,58;257,99;186,1;1418,96;130,47;-1560,94;311,68;90,67;949,96;-208,63
12;41643,93;13669,67;12171,18;7491,59;74976,37;40295,99;13198,56;11975,48;7387,91;72857,94;40412,77;12933,77;11993,82;7624,32;72964,68;40628,54;13090,93;12025,35;7116,24;72861,06;41946,02;12711,43;11838,36;6399,04;72894,85;0,72;7,54;2,81;17,07;2,86;3,93;3,83;1,16;15,45;0,05;3,66;1,75;1,31;19,15;0,1;3,14;2,99;1,58;11,21;0,05;-302,09;958,24;332,82;1092,55;2081,52;-1650,03;487,13;137,12;988,87;-36,91;-1533,25;222,34;155,46;1225,28;69,83;-1317,48;379,5;186,99;717,2;-33,79
13;41980,37;13889,48;11891,74;7343,59;75105,18;40693,35;13350,48;11743,62;7242,11;73029,56;40694,25;13024,03;11740,87;7455,04;72914,19;41082,37;13266,67;11867,28;6901,03;73117,35;42062,64;12913,26;11630,11;6581,08;73187,09;0,2;7,56;2,25;11,59;2,62;3,26;3,39;0,98;10,04;0,22;3,25;0,86;0,95;13,28;0,37;2,33;2,74;2,04;4,86;0,1;-82,27;976,22;261,63;762,51;1918,09;-1369,29;437,22;113,51;661,03;-157,53;-1368,39;110,77;110,76;873,96;-272,9;-980,27;353,41;237,17;319,95;-69,74
14;42720,49;14309,13;11758,06;7214,46;76002,14;41489,88;13702,22;11706,08;7082,63;73980,81;41369,71;13295,55;11674,91;7286,72;73626,89;42148,42;13801,72;12004,15;6790,31;74744,6;42706,04;13333,87;11643,31;6723,35;74406,57;0,03;7,31;0,99;7,3;2,14;2,85;2,76;0,54;5,34;0,57;3,13;0,29;0,27;8,38;1,05;1,31;3,51;3,1;1,0;0,45;14,45;975,26;114,75;491,11;1595,57;-1216,16;368,35;62,77;359,28;-425,76;-1336,33;-38,32;31,6;563,37;-779,68;-557,62;467,85;360,84;66,96;338,03
15;44097,03;15046,71;11893,47;7208,34;78245,55;42837,21;14381,86;11926,82;6998,28;76144,17;42667,08;13915,57;11866,6;7186,24;75635,49;44092,33;14672,12;12454,52;6824,09;78043,06;44158,56;14087,09;11948,83;6713,95;76908,42;0,14;6,81;0,46;7,36;1,74;2,99;2,09;0,18;4,23;0,99;3,38;1,22;0,69;7,03;1,66;0,15;4,15;4,23;1,64;1,48;-61,53;959,62;-55,36;494,39;1337,13;-1321,35;294,77;-22,01;284,33;-764,25;-1491,48;-171,52;-82,23;472,29;-1272,93;-66,23;585,03;505,69;110,14;1134,64
16;45800,09;15940,89;12246,59;7291,16;81278,73;44493,94;15250,0;12328,42;7035,95;79108,31;44316,46;14737,16;12259,0;7185,67;78498,29;45886,3;15489,31;12883,4;6943,85;81202,86;46050,57;14982,14;12396,82;6709,29;80138,83;0,54;6,4;1,21;8,67;1,42;3,38;1,79;0,55;4,87;1,29;3,77;1,64;1,11;7,1;2,05;0,36;3,39;3,92;3,5;1,33;-250,48;958,75;-150,24;581,87;1139,9;-1556,63;267,86;-68,41;326,66;-1030,52;-1734,11;-244,98;-137,83;476,38;-1640,54;-164,27;507,17;486,57;234,56;1064,03
17;47442,91;16774,21;12715,11;7409,27;84341,5;46141,23;16105,55;12797,13;7204,52;82248,43;45958,15;15545,14;12752,39;7294,07;81549,75;47657,32;16283,25;13329,76;7177,08;84447,41;47900,65;15784,2;12812,69;6863,36;83360,91;0,96;6,27;0,76;7,95;1,18;3,67;2,04;0,12;4,97;1,33;4,06;1,51;0,47;6,28;2,17;0,51;3,16;4,04;4,57;1,3;-457,74;990,01;-97,58;545,91;980,59;-1759,42;321,35;-15,56;341,16;-1112,48;-1942,5;-239,06;-60,3;430,71;-1811,16;-243,33;499,05;517,07;313,72;1086,5
18;48873,86;17384,22;13167,66;7569,11;86994,85;47543,83;16768,29;13215,16;7402,73;84930,01;47370,95;16165,56;13203,48;7463,31;84203,3;48878,87;16811,38;13627,61;7346,07;86663,93;49432,02;16386,88;13143,45;7051,96;86014,31;1,13;6,09;0,18;7,33;1,14;3,82;2,33;0,55;4,97;1,26;4,17;1,35;0,46;5,83;2,11;1,12;2,59;3,68;4,17;0,76;-558,17;997,34;24,21;517,15;980,54;-1888,19;381,41;71,71;350,77;-1084,3;-2061,08;-221,32;60,03;411,35;-1811,01;-553,15;424,5;484,16;294,11;649,62
19;50021,84;17683,19;13501,76;7777,3;88984,09;48563,04;17131,62;13495,28;7531,4;86721,34;48424,33;16499,55;13498,41;7636,91;86059,2;49684,3;17113,59;13761,73;7454,43;88014,05;50499,44;16754,13;13375,66;7131,69;87760,93;0,95;5,55;0,94;9,05;1,39;3,83;2,25;0,89;5,6;1,18;4,11;1,52;0,92;7,08;1,94;1,61;2,15;2,89;4,53;0,29;-477,6;929,06;126,1;645,61;1223,16;-1936,4;377,49;119,62;399,71;-1039,59;-2075,11;-254,58;122,75;505,22;-1701,73;-815,14;359,46;386,07;322,74;253,12
20;50902,73;17827,26;13759,43;7981,08;90470,5;49362,99;17362,77;13676,37;7609,8;88011,93;49212,05;16707,43;13684,67;7782,21;87386,36;50522,88;17421,19;13916,24;7554,67;89414,98;51279,08;17002,84;13532,47;7160,5;88974,9;0,73;4,85;1,68;11,46;1,68;3,74;2,12;1,06;6,27;1,08;4,03;1,74;1,12;8,68;1,79;1,47;2,46;2,84;5,5;0,49;-376,35;824,42;226,96;820,58;1495,6;-1916,09;359,93;143,9;449,3;-962,97;-2067,03;-295,41;152,2;621,71;-1588,54;-756,2;418,35;383,77;394,17;440,08
21;51559,21;17996,84;13995,65;8121,03;91672,73;50107,42;17646,2;13818,45;7678,31;89250,38;49842,15;16965,59;13831,45;7879,5;88518,69;51201,75;17765,81;14081,98;7633,74;90683,28;51963,24;17265,29;13644,49;7220,36;90093,37;0,78;4,24;2,57;12,47;1,75;3,57;2,21;1,27;6,34;0,94;4,08;1,74;1,37;9,13;1,75;1,47;2,9;3,21;5,73;0,65;-404,03;731,55;351,16;900,67;1579,36;-1855,82;380,91;173,96;457,95;-842,99;-2121,09;-299,7;186,96;659,14;-1574,68;-761,49;500,52;437,49;413,38;589,91
22;52054,39;18225,61;14172,75;8170,4;92623,15;50655,75;17961,63;13939,84;7743,08;90300,3;50255,78;17255,52;13933,32;7936,98;89381,6;51756,55;18016,2;14161,42;7649,81;91583,98;52487,22;17582,27;13735,82;7287,86;91093,17;0,82;3,66;3,18;12,11;1,68;3,49;2,16;1,49;6,25;0,87;4,25;1,86;1,44;8,91;1,88;1,39;2,47;3,1;4,97;0,54;-432,83;643,34;436,92;882,54;1529,98;-1831,47;379,36;204,01;455,22;-792,87;-2231,44;-326,75;197,49;649,12;-1711,57;-730,67;433,93;425,59;361,95;490,81
23;52411,16;18451,64;14243,3;8125,9;93232,0;50848,98;18205,07;14033,48;7796,45;90883,98;50374,49;17465,75;13967,36;7965,46;89773,06;52102,38;18248,19;14174,04;7675,83;92200,44;52745,52;17911,24;13803,2;7323,15;91783,11;0,63;3,02;3,19;10,96;1,58;3,6;1,64;1,67;6,46;0,98;4,5;2,49;1,19;8,77;2,19;1,22;1,88;2,69;4,82;0,45;-334,36;540,4;440,1;802,75;1448,89;-1896,54;293,83;230,28;473,3;-899,13;-2371,03;-445,49;164,16;642,31;-2010,05;-643,14;336,95;370,84;352,68;417,33
24;52471,25;18377,46;14213,49;8045,5;93107,7;50758,73;18142,4;14032,52;7809,59;90743,24;50208,39;17307,81;13915,25;7958,25;89389,7;52238,62;18003,49;14079,45;7643,94;91965,5;52726,3;17967,63;13740,33;7325,94;91760,21;0,48;2,28;3,44;9,82;1,47;3,73;0,97;2,13;6,6;1,11;4,78;3,67;1,27;8,63;2,58;0,92;0,2;2,47;4,34;0,22;-255,06;409,83;473,16;719,56;1347,49;-1967,57;174,77;292,19;483,65;-1016,97;-2517,92;-659,82;174,92;632,31;-2370,51;-487,68;35,86;339,12;318,0;205,29
25;52174,66;17844,56;14119,18;7999,84;92138,24;50556,82;17675,39;13902,68;7770,87;89905,76;49870,32;16659,14;13788,75;7918,61;88236,82;51993,88;17248,87;13852,98;7595,56;90691,29;52509,76;17583,45;13494,12;7311,15;90898,48;0,64;1,48;4,63;9,42;1,36;3,72;0,52;3,03;6,29;1,09;5,03;5,26;2,18;8,31;2,93;0,98;1,9;2,66;3,89;0,23;-335,1;261,11;625,06;688,69;1239,76;-1952,94;91,94;408,56;459,72;-992,72;-2639,44;-924,31;294,63;607,46;-2661,66;-515,88;-334,58;358,86;284,41;-207,19
26;52035,84;17485,73;14061,1;8049,12;91631,79;50585,34;17379,54;13799,83;7758,6;89523,31;49795,44;16237,82;13715,51;7907,02;87655,79;52383,28;17297,84;13803,35;7595,94;91080,41;52450,45;17299,06;13327,16;7314,82;90391,5;0,79;1,08;5,51;10,04;1,37;3,56;0,47;3,55;6,07;0,96;5,06;6,13;2,91;8,1;3,03;0,13;0,01;3,57;3,84;0,76;-414,61;186,67;733,94;734,3;1240,29;-1865,11;80,48;472,67;443,78;-868,19;-2655,01;-1061,24;388,35;592,2;-2735,71;-67,17;-1,22;476,19;281,12;688,91
27;52512,43;17880,34;14123,54;8215,35;92731,66;51086,7;17764,48;13872,97;7844,76;90568,91;50320,58;16677,71;13808,62;7980,44;88787,35;53225,83;18161,32;13987,28;7721,06;93095,49;52839,63;17612,55;13476,89;7367,1;91296,17;0,62;1,52;4,8;11,51;1,57;3,32;0,86;2,94;6,48;0,8;4,77;5,31;2,46;8,33;2,75;0,73;3,12;3,79;4,8;1,97;-327,2;267,79;646,65;848,25;1435,49;-1752,93;151,93;396,08;477,66;-727,26;-2519,05;-934,84;331,73;613,34;-2508,82;386,2;548,77;510,39;353,96;1799,32
28;53260,73;18602,64;14260,09;8378,18;94501,64;51734,52;18402,77;14053,66;7986,02;92176,97;51067,13;17435,26;14007,02;8124,45;90633,86;53830,67;18698,92;14183,44;7772,16;94485,19;53440,89;18144,58;13764,31;7453,34;92803,11;0,34;2,52;3,6;12,41;1,83;3,19;1,42;2,1;7,15;0,67;4,44;3,91;1,76;9,0;2,34;0,73;3,06;3,05;4,28;1,81;-180,16;458,06;495,78;924,84;1698,53;-1706,37;258,19;289,35;532,68;-626,14;-2373,76;-709,32;242,71;671,11;-2169,25;389,78;554,34;419,13;318,82;1682,08
29;53828,67;19097,04;14402,79;8432,15;95760,65;52154,06;18763,7;14232,39;8118,29;93268,44;51580,79;17847,91;14213,37;8302,52;91944,59;54247,31;18914,38;14401,34;7839,45;95402,48;53919,25;18418,85;13962,68;7548,43;93849,22;0,17;3,68;3,15;11,71;2,04;3,27;1,87;1,93;7,55;0,62;4,34;3,1;1,8;9,99;2,03;0,61;2,69;3,14;3,86;1,66;-90,58;678,19;440,11;883,72;1911,43;-1765,19;344,85;269,71;569,86;-580,78;-2338,46;-570,94;250,69;754,09;-1904,63;328,06;495,53;438,66;291,02;1553,26
30;54132,23;19293,62;14528,24;8473,57;96427,66;52345,84;18840,41;14353,01;8209,93;93749,19;51820,11;17954,67;14359,36;8461,14;92595,28;54426,45;18974,38;14502,4;7876,83;95780,06;54073,16;18448,71;14070,61;7630,38;94222,86;0,11;4,58;3,25;11,05;2,34;3,19;2,12;2,01;7,6;0,5;4,17;2,68;2,05;10,89;1,73;0,65;2,85;3,07;3,23;1,65;59,07;844,91;457,63;843,19;2204,8;-1727,32;391,7;282,4;579,55;-473,67;-2253,05;-494,04;288,75;830,76;-1627,58;353,29;525,67;431,79;246,45;1557,2
31;54196,06;19258,59;14611,46;8597,02;96663,13;52377,6;18749,69;14383,73;8244,64;93755,66;51841,7;17938,58;14400,6;8555,23;92736,11;54345,3;18863,74;14482,54;7941,79;95633,37;53813,85;18354,3;14130,23;7678,04;93976,42;0,71;4,93;3,41;11,97;2,86;2,67;2,15;1,79;7,38;0,23;3,66;2,26;1,91;11,42;1,32;0,99;2,78;2,49;3,44;1,76;382,21;904,29;481,23;918,98;2686,71;-1436,25;395,39;253,5;566,6;-220,76;-1972,15;-415,72;270,37;877,19;-1240,31;531,45;509,44;352,31;263,75;1656,95
32;54111,55;19117,1;14576,57;8688,37;96493,59;52210,56;18578,83;14336,77;8235,24;93361,4;51681,74;17857,42;14359,47;8590,52;92489,15;53829,91;18705,88;14383,2;7899,5;94818,49;53370,22;18193,26;14132,43;7670,76;93366,66;1,39;5,08;3,14;13,27;3,35;2,17;2,12;1,45;7,36;0,01;3,16;1,85;1,61;11,99;0,94;0,86;2,82;1,77;2,98;1,55;741,33;923,84;444,14;1017,61;3126,93;-1159,66;385,57;204,34;564,48;-5,26;-1688,48;-335,84;227,04;919,76;-877,51;459,69;512,62;250,77;228,74;1451,83
33;53891,22;18965,48;14364,68;8626,05;95847,43;51778,46;18382,26;14213,88;8195,04;92569,64;51326,03;17721,22;14248,9;8577,84;91873,99;52963,81;18437,12;14224,27;7773,97;93399,17;52955,45;17990,23;14041,94;7589,76;92577,38;1,77;5,42;2,3;13,65;3,53;2,22;2,18;1,22;7,98;0,01;3,08;1,5;1,47;13,02;0,76;0,02;2,48;1,3;2,43;0,89;935,77;975,25;322,74;1036,29;3270,05;-1176,99;392,03;171,94;605,28;-7,74;-1629,42;-269,01;206,96;988,08;-703,39;8,36;446,89;182,33;184,21;821,79
