Patamares;MLP;LSTM;GRU;ONS
Leve SECO;38886,39525641026;38841,60301282052;38494,9798076923;38445,843012820515
Media SECO;46170,6474;46040,9746;45390,984499999984;46122,2175
Pesada SECO;48781,44775000001;48959,651375;48081,198125;48832,939625
Leve S;12130,459038461539;12172,39512820513;11998,643653846155;9649,337564102565
Media S;15399,0125;15147,823699999999;14958,983600000001;13473,9679
Pesada S;16671,060375;16229,658000000001;16041,24675;14735,373124999998
Leve NE;12403,666217948718;12479,08096153846;12468,535833333333;12244,839615384615
Media NE;13577,587499999996;13617,240000000005;13585,832999999999;13457,153800000002
Pesada NE;13882,545124999999;13851,3665;13842,649;13522,014625
Leve N;6676,358653846154;6680,678333333334;6630,700256410257;6772,845961538462
Media N;6891,253200000001;6889,329999999999;6793,020199999999;7090,585099999999
Pesada N;7158,407125000001;7087,18975;7009,797625000001;7294,358375000001
