Patamares;MLP;LSTM;GRU
Leve SECO;38867,5325;38814,185375;38456,9275625
Media SECO;46165,676875000005;46084,18479166667;45514,012395833335
Pesada SECO;49189,3505;49322,603;48354,469375
Leve S;12003,691312500001;12130,1766875;11937,158875
Media S;15190,688541666665;14889,613958333333;14787,911354166665
Pesada S;17338,01225;16772,718;16517,52
Leve NE;12262,720874999999;12352,5249375;12312,360812500001
Media NE;13610,019999999999;13600,918125000002;13594,655729166667
Pesada NE;14184,212874999997;14180,972749999997;14200,276624999999
Leve N;6485,5830625;6498,2135625;6360,972562500001
Media N;7038,170104166667;7003,8478125;6966,214999999999
Pesada N;7374,402749999999;7325,130499999999;7349,535250000001
