;MLP_Seco;MLP_S;MLP_NE;MLP_N;MLP_SIN;LSTM_Seco;LSTM_S;LSTM_NE;LSTM_N;LSTM_SIN;GRU_Seco;GRU_S;GRU_NE;GRU_N;GRU_SIN;Prev_ONS_Seco;Prev_ONS_S;Prev_ONS_NE;Prev_ONS_N;Prev ONS_SIN
0;45553,11;15651,82;13858,66;8075,55;83139,14;45712,98;15849,83;14100,66;8089,18;83752,65;45788,8;14913,56;14264,37;8461,07;83427,8;44687,63;15579,8;13521,95;7632,7;81422,08
1;44100,66;15082,99;13613,07;8015,42;80812,14;44303,5;15259,17;13848,86;8027,83;81439,36;44388,32;14394,58;13998,74;8401,81;81183,45;43874,14;14989,33;13366,36;7552,49;79782,32
2;42760,5;14565,07;13374,69;7954,92;78655,19;43012,06;14735,54;13611,43;7960,19;79319,22;43106,17;13917,66;13755,85;8327,32;79107,0;42991,47;14529,91;13164,27;7484,43;78170,08
3;41625,76;14135,32;13150,4;7891,41;76802,9;41932,03;14325,51;13400,55;7883,31;77541,39;42030,54;13515,62;13550,71;8228,0;77324,87;41971,03;14198,86;12921,7;7413,85;76505,44
4;40712,95;13776,28;12945,74;7813,2;75248,16;41058,13;13993,7;13219,65;7807,69;76079,17;41128,98;13184,2;13367,39;8116,9;75797,48;41138,0;13874,56;12699,52;7345,31;75057,4
5;40008,11;13466,25;12764,9;7712,95;73952,22;40359,22;13696,17;13067,09;7742,73;74865,22;40355,26;12912,24;13188,86;8007,76;74464,12;40526,52;13536,57;12490,73;7287,12;73840,94
6;39452,08;13221,33;12608,1;7609,91;72891,42;39799,23;13436,61;12929,53;7680,19;73845,56;39728,45;12697,99;13024,59;7894,63;73345,65;39997,98;13268,56;12325,19;7223,4;72815,13
7;38997,3;13057,84;12478,42;7523,55;72057,11;39354,68;13228,6;12801,43;7609,61;72994,32;39277,2;12540,26;12891,32;7772,06;72480,84;39578,18;13132,91;12196,9;7151,17;72059,15
8;38687,87;12955,33;12394,56;7447,69;71485,45;39057,3;13077,83;12720,12;7529,39;72384,63;39003,05;12430,56;12808,5;7656,43;71898,54;39400,21;13012,64;12097,33;7084,31;71594,49
9;38578,82;12896,42;12358,23;7374,91;71208,38;38937,63;12990,85;12696,86;7445,72;72071,07;38892,43;12367,27;12768,76;7566,44;71594,9;39540,8;12945,26;12048,83;7010,47;71545,36
10;38677,32;12912,96;12287,47;7318,56;71196,31;38966,12;12985,75;12595,75;7387,25;71934,87;38898,62;12383,37;12654,62;7508,4;71445,01;39487,63;12949,4;11848,9;6979,15;71265,08
11;38973,96;13036,45;12106,16;7283,05;71399,63;39102,74;13068,04;12306,95;7367,46;71845,19;38974,13;12496,0;12373,74;7472,25;71316,12;39366,72;13064,09;11502,37;6984,39;70917,57
12;39440,85;13247,9;11845,19;7216,5;71750,43;39325,83;13181,45;11971,98;7316,92;71796,17;39101,7;12624,36;12044,18;7394,88;71165,12;39600,3;13155,48;11292,92;6886,19;70934,88
13;40075,4;13540,41;11581,05;7078,06;72274,92;39684,72;13307,57;11771,66;7177,36;71941,31;39344,37;12726,18;11822,56;7230,42;71123,53;39984,43;13264,66;11178,13;6705,33;71132,55
14;40994,69;14006,03;11465,72;6927,61;73394,05;40494,49;13641,29;11792,56;7018,18;72946,53;40056,23;13011,33;11809,27;7055,08;71931,9;41333,21;13740,43;11354,14;6631,45;73059,23
15;42290,4;14718,56;11622,73;6842,77;75474,46;41993,46;14344,62;12069,54;6928,74;75336,36;41508,26;13662,07;12059,28;6957,6;74187,21;43164,74;14558,41;11828,73;6620,8;76172,68
16;43832,8;15579,92;11986,38;6871,71;78270,81;43847,14;15234,81;12525,0;6950,48;78557,44;43347,9;14498,02;12502,34;6954,76;77303,02;44901,01;15433,28;12330,2;6732,93;79397,42
17;45434,73;16438,85;12442,97;7030,8;81347,35;45633,73;16066,51;13047,02;7091,41;81838,68;45127,16;15275,9;13029,07;7042,3;80474,44;46460,97;16304,51;12896,96;6972,72;82635,15
18;46900,66;17103,33;12876,01;7238,92;84118,92;47154,87;16688,7;13498,76;7273,73;84616,06;46639,9;15863,28;13498,98;7203,76;83205,91;47728,89;16919,4;13269,97;7131,16;85049,41
19;48085,55;17448,76;13198,49;7410,26;86143,07;48323,67;17035,21;13778,34;7416,72;86553,94;47790,07;16204,56;13804,01;7409,38;85208,01;48760,53;17097,81;13434,34;7222,17;86514,85
20;49054,66;17661,02;13444,2;7537,69;87697,57;49275,82;17284,81;13948,51;7513,94;88023,08;48680,3;16440,6;13996,99;7588,34;86706,23;49719,88;17382,25;13618,25;7319,67;88040,05
21;49894,91;17945,84;13659,99;7632,72;89133,46;50137,26;17620,15;14094,7;7580,19;89432,3;49417,49;16720,62;14151,21;7682,13;87971,45;50524,72;17753,89;13810,26;7413,0;89501,86
22;50569,42;18278,15;13824,36;7702,58;90374,51;50772,32;17994,36;14228,31;7641,07;90636,07;49926,83;17030,95;14260,7;7722,5;88940,98;50933,37;18034,88;13879,77;7442,34;90290,36
23;50999,41;18532,35;13904,31;7748,07;91184,15;51040,6;18278,02;14327,84;7709,35;91355,81;50122,24;17272,54;14298,77;7750,3;89443,84;51121,18;18214,81;13843,24;7413,89;90593,12
24;51062,05;18411,72;13889,52;7748,61;91111,91;51044,1;18240,88;14314,15;7735,78;91334,92;50054,05;17167,8;14234,81;7752,6;89209,26;51130,6;18066,17;13762,33;7379,31;90338,41
25;50767,15;17794,35;13797,49;7700,01;90059,0;50977,23;17795,97;14151,67;7687,92;90612,8;49872,96;16595,77;14077,38;7719,25;88265,36;50888,8;17517,91;13608,47;7324,85;89340,04
