,Ano,Mes,Dia,Hora,Min,Temperatura
139,2024,1,24,19,0,"26,9616"
140,2024,1,24,20,0,"26,8936"
141,2024,1,24,21,0,"26,7238"
142,2024,1,24,22,0,"26,7574"
143,2024,1,24,23,0,"26,5425"
144,2024,1,25,0,0,"26,223999"
145,2024,1,25,1,0,"26,1131"
146,2024,1,25,2,0,"25,8373"
147,2024,1,25,3,0,"25,8955"
148,2024,1,25,4,0,"25,8521"
149,2024,1,25,5,0,"25,852"
150,2024,1,25,6,0,"26,0692"
151,2024,1,25,7,0,"26,8373"
152,2024,1,25,8,0,"27,4248"
153,2024,1,25,9,0,"27,7413"
154,2024,1,25,10,0,"28,1397"
155,2024,1,25,11,0,"28,619501"
156,2024,1,25,12,0,"29,0326"
157,2024,1,25,13,0,"29,0608"
158,2024,1,25,14,0,"29,1362"
159,2024,1,25,15,0,"29,0781"
160,2024,1,25,16,0,"28,916399"
161,2024,1,25,17,0,"28,4175"
162,2024,1,25,18,0,"27,4743"
163,2024,1,25,19,0,"27,017899"
164,2024,1,25,20,0,"26,889301"
165,2024,1,25,21,0,"26,8504"
166,2024,1,25,22,0,"26,6961"
167,2024,1,25,23,0,"26,495401"
168,2024,1,26,0,0,"26,1872"
169,2024,1,26,1,0,"25,9204"
170,2024,1,26,2,0,"25,589401"
171,2024,1,26,3,0,"25,4596"
172,2024,1,26,4,0,"25,236101"
173,2024,1,26,5,0,"25,1627"
174,2024,1,26,6,0,"25,4163"
175,2024,1,26,7,0,"25,9635"
176,2024,1,26,8,0,"26,6536"
177,2024,1,26,9,0,"27,2558"
178,2024,1,26,10,0,"27,9822"
179,2024,1,26,11,0,"28,2087"
180,2024,1,26,12,0,"28,077301"
181,2024,1,26,13,0,"27,982399"
182,2024,1,26,14,0,"27,9239"
183,2024,1,26,15,0,"27,682098"
184,2024,1,26,16,0,"27,4003"
185,2024,1,26,17,0,"26,918"
186,2024,1,26,18,0,"26,5519"
187,2024,1,26,19,0,"26,4259"
188,2024,1,26,20,0,"26,374699"
189,2024,1,26,21,0,"26,080801"
190,2024,1,26,22,0,"26,1379"
191,2024,1,26,23,0,"25,764"
