;MLP_Seco;MLP_S;MLP_NE;MLP_N;MLP_SIN;LSTM_Seco;LSTM_S;LSTM_NE;LSTM_N;LSTM_SIN;GRU_Seco;GRU_S;GRU_NE;GRU_N;GRU_SIN;Prev_ONS_Seco;Prev_ONS_S;Prev_ONS_NE;Prev_ONS_N;Prev ONS_SIN
0;42835,72;13947,35;13931,43;7722,48;78436,98;42403,46;13967,77;13923,5;7724,68;78019,4;42069,06;13089,43;13913,83;7627,73;76700,04;45954,17;14003,37;13849,04;7577,8;81384,38
1;41386,09;13404,54;13635,64;7655,41;76081,68;40812,11;13315,52;13652,73;7676,99;75457,35;40509,07;12541,66;13643,4;7542,91;74237,03;45172,4;13433,1;13635,3;7525,16;79765,96
2;40040,97;12916,14;13370,06;7584,11;73911,28;39422,06;12764,78;13408,74;7619,39;73214,97;39131,66;12061,4;13396,93;7453,3;72043,29;44107,2;12961,19;13424,4;7465,73;77958,51
3;38889,3;12522,06;13155,16;7505,57;72072,09;38376,81;12383,14;13210,4;7545,29;71515,65;38067,31;11696,8;13191,51;7356,0;70311,61;42963,03;12618,51;13235,17;7376,75;76193,47
4;37957,74;12204,26;12972,44;7421,62;70556,06;37588,77;12102,66;13044,98;7461,28;70197,7;37238,06;11418,49;13016,78;7255,5;68928,83;42150,06;12315,71;13061,42;7310,15;74837,34
5;37246,26;11939,09;12800,09;7335,05;69320,49;36938,35;11847,07;12895,68;7375,12;69056,22;36542,27;11188,35;12857,61;7157,26;67745,48;41627,38;12035,04;12904,47;7265,23;73832,11
6;36710,25;11738,46;12642,19;7247,53;68338,44;36409,13;11642,32;12761,11;7285,96;68098,52;35991,96;11010,66;12707,09;7063,09;66772,79;41080,08;11859,28;12768,04;7208,27;72915,66
7;36307,92;11614,59;12511,63;7161,19;67595,34;36018,36;11524,3;12647,79;7195,31;67385,76;35623,47;10894,84;12569,74;6974,19;66062,23;40579,87;11733,8;12660,18;7140,25;72114,09
8;36053,15;11545,31;12430,79;7081,2;67110,45;35814,62;11466,38;12578,62;7122,63;66982,24;35456,77;10828,32;12487,48;6892,94;65665,5;40329,22;11659,33;12577,28;7088,96;71654,79
9;35972,49;11513,17;12400,52;7013,25;66899,44;35833,01;11442,49;12551,23;7083,31;66910,04;35493,92;10806,57;12471,72;6822,95;65595,16;40404,09;11638,48;12540,03;7033,61;71616,21
