,Ano,Mes,Dia,Hora,Min,Temperatura
144,2024,1,25,0,0,"26,049"
145,2024,1,25,1,0,"24,865"
146,2024,1,25,2,0,"25,050999"
147,2024,1,25,3,0,"25,132"
148,2024,1,25,4,0,"24,759"
149,2024,1,25,5,0,"24,666"
150,2024,1,25,6,0,"24,480999"
151,2024,1,25,7,0,"25,001001"
152,2024,1,25,8,0,"25,732"
153,2024,1,25,9,0,"27,467999"
154,2024,1,25,10,0,"28,282"
155,2024,1,25,11,0,"29,195"
156,2024,1,25,12,0,"30,605999"
157,2024,1,25,13,0,"30,028"
158,2024,1,25,14,0,"29,577"
159,2024,1,25,15,0,"30,456"
160,2024,1,25,16,0,"29,65"
161,2024,1,25,17,0,"28,875"
162,2024,1,25,18,0,"28,649"
163,2024,1,25,19,0,"27,451"
164,2024,1,25,20,0,"26,499"
165,2024,1,25,21,0,"26,605"
166,2024,1,25,22,0,"25,882"
167,2024,1,25,23,0,"25,673"
168,2024,1,26,0,0,"25,252"
169,2024,1,26,1,0,"24,566"
170,2024,1,26,2,0,"24,823"
171,2024,1,26,3,0,"24,378"
172,2024,1,26,4,0,"24,708"
173,2024,1,26,5,0,"24,651001"
174,2024,1,26,6,0,"24,331999"
175,2024,1,26,7,0,"25,313"
176,2024,1,26,8,0,"26,063"
177,2024,1,26,9,0,"27,431"
178,2024,1,26,10,0,"28,147999"
179,2024,1,26,11,0,"28,862999"
180,2024,1,26,12,0,"30,792002"
181,2024,1,26,13,0,"29,411"
182,2024,1,26,14,0,29
183,2024,1,26,15,0,"29,401"
184,2024,1,26,16,0,"29,549"
185,2024,1,26,17,0,"28,853"
186,2024,1,26,18,0,"29,126"
187,2024,1,26,19,0,"27,453999"
188,2024,1,26,20,0,"26,585"
189,2024,1,26,21,0,"26,572"
190,2024,1,26,22,0,"26,074001"
191,2024,1,26,23,0,"25,867"
