;MLP_Seco;MLP_S;MLP_NE;MLP_N;MLP_SIN;LSTM_Seco;LSTM_S;LSTM_NE;LSTM_N;LSTM_SIN;GRU_Seco;GRU_S;GRU_NE;GRU_N;GRU_SIN;Prev_ONS_Seco;Prev_ONS_S;Prev_ONS_NE;Prev_ONS_N;Prev ONS_SIN
0;44424,46;15624,55;14148,05;7525,05;81722,11;44314,07;14919,73;13914,43;7356,94;80505,16;44134,95;15235,96;13972,46;7481,84;80825,21;42322,38;13872,6;13631,65;7390,55;77217,19
1;43016,22;15100,53;13876,25;7464,94;79457,95;42858,65;14397,57;13659,25;7295,85;78211,33;42753,81;14685,48;13713,4;7412,55;78565,24;40447,09;13047,3;13346,84;7269,5;74110,73
2;41700,62;14619,54;13620,53;7400,14;77340,82;41524,88;13910,69;13421,61;7231,62;76088,81;41454,07;14181,14;13477,52;7332,45;76445,18;39371,59;12473,02;13065,33;7195,38;72105,32
3;40559,83;14212,48;13392,77;7326,88;75491,96;40408,0;13487,78;13215,7;7162,75;74274,24;40306,13;13757,11;13280,83;7236,09;74580,15;38292,02;12330,84;12910,79;7118,33;70651,98
4;39634,19;13861,93;13188,18;7245,12;73929,43;39497,51;13131,2;13042,43;7094,41;72765,55;39336,41;13399,53;13110,6;7139,52;72986,05;37524,27;11963,91;12680,89;7063,28;69232,35
5;38934,34;13548,62;13000,2;7157,19;72640,35;38762,43;12836,18;12897,23;7029,48;71525,33;38559,11;13088,36;12951,06;7056,81;71655,34;36885,76;11671,84;12552,89;7045,18;68155,67
6;38393,95;13294,24;12831,88;7071,18;71591,26;38195,68;12595,75;12767,08;6955,17;70513,68;37983,59;12826,84;12802,72;6972,57;70585,72;36480,04;11447,78;12425,16;6988,15;67341,14
7;37953,72;13119,74;12693,27;6993,49;70760,22;37796,45;12403,64;12645,43;6862,51;69708,04;37611,22;12623,62;12674,14;6873,26;69782,24;36240,77;11383,92;12345,27;6835,34;66805,3
8;37659,54;13002,06;12612,53;6917,95;70192,08;37565,14;12258,74;12560,15;6773,68;69157,71;37416,41;12485,61;12589,7;6782,3;69274,01;36076,74;11181,82;12272,64;6771,58;66302,77
9;37565,79;12919,96;12595,16;6841,04;69921,96;37496,65;12164,09;12518,7;6712,39;68891,84;37368,55;12415,98;12549,95;6722,5;69056,99;36145,68;11040,57;12251,49;6726,02;66163,76
10;37655,75;12903,34;12537,8;6782,4;69879,28;37562,75;12134,33;12412,47;6677,57;68787,12;37443,8;12404,52;12444,49;6677,52;68970,33;36597,45;11398,75;12032,14;6680,45;66708,79
11;37897,38;12979,29;12345,29;6751,24;69973,2;37734,93;12171,68;12151,57;6653,06;68711,24;37622,76;12433,5;12181,93;6622,78;68860,97;36872,47;11335,16;11865,88;6707,66;66781,17
12;38268,79;13112,56;12064,32;6691,8;70137,47;38006,9;12217,1;11837,06;6587,2;68648,26;37897,01;12468,56;11858,08;6540,18;68763,83;37129,73;11103,94;11469,35;6631,24;66334,26
13;38786,34;13285,42;11790,51;6558,66;70420,92;38425,51;12249,73;11610,64;6446,15;68732,03;38307,28;12513,55;11609,99;6421,3;68852,11;37882,71;10543,31;11329,36;6453,04;66208,41
14;39609,39;13612,49;11673,63;6412,48;71307,99;39228,21;12462,67;11585,47;6302,73;69579,08;39079,89;12741,99;11552,47;6289,92;69664,27;39123,85;11631,3;11428,71;6410,39;68594,25
15;40855,31;14192,64;11832,21;6331,63;73211,8;40582,91;13022,57;11826,34;6242,23;71674,05;40377,17;13297,15;11756,05;6183,86;71614,23;40283,69;11470,5;11793,21;6376,44;69923,84
16;42330,62;14929,14;12205,83;6358,96;75824,56;42188,74;13776,4;12232,89;6293,17;74491,21;41920,0;14031,7;12136,22;6164,67;74252,59;42024,66;12934,67;12362,5;6477,3;73799,13
17;43789,63;15672,17;12683,07;6506,68;78651,55;43682,44;14508,52;12672,31;6450,71;77313,98;43365,72;14741,09;12569,17;6273,85;76949,82;44044,73;11731,04;12951,26;6693,74;75420,77
18;45088,79;16254,96;13127,54;6700,06;81171,35;44919,84;15072,69;13046,88;6633,43;79672,83;44559,09;15282,43;12928,77;6448,78;79219,07;45306,3;12013,8;13277,2;6851,81;77449,12
19;46146,86;16569,56;13434,99;6861,28;83012,69;45855,65;15391,61;13294,04;6762,04;81303,34;45437,11;15578,36;13128,18;6614,4;80758,05;46285,98;12537,76;13512,27;6935,81;79271,82
20;47029,73;16760,04;13654,72;6987,12;84431,61;46620,91;15594,45;13456,68;6842,59;82514,64;46118,18;15751,72;13240,04;6750,16;81860,1;47096,52;12695,93;13767,98;6996,49;80556,91
21;47804,55;16990,52;13852,53;7088,85;85736,44;47333,92;15826,84;13592,25;6898,2;83651,22;46711,94;15943,86;13350,04;6849,13;82854,97;47666,23;13314,11;13955,11;7073,09;82008,54
22;48396,29;17253,04;14006,83;7161,0;86817,15;47885,78;16093,84;13710,86;6935,06;84625,55;47111,55;16169,9;13436,77;6904,44;83622,68;47704,94;15631,01;14063,17;7109,81;84508,93
23;48707,08;17460,88;14082,96;7194,58;87445,5;48151,62;16325,69;13797,77;6951,71;85226,78;47202,87;16364,36;13457,59;6911,95;83936,76;48256,84;14874,72;13900,66;7109,37;84141,59
24;48689,78;17384,28;14081,5;7183,26;87338,82;48169,98;16293,92;13785,95;6933,07;85182,91;47059,0;16265,54;13392,06;6878,28;83594,88;48610,3;14944,41;13822,85;7090,32;84467,88
25;48411,52;16925,22;14023,95;7135,93;86496,63;48068,38;15889,12;13646,63;6877,9;84482,04;46840,7;15743,9;13257,61;6821,2;82663,42;48345,34;14391,8;13587,29;7042,48;83366,9
26;48345,93;16655,59;13980,46;7119,81;86101,8;48166,88;15636,83;13556,17;6854,17;84214,04;46871,91;15394,67;13200,85;6792,17;82259,6;48382,32;14191,84;13581,85;7026,64;83182,66
27;48871,1;17080,72;14017,34;7194,78;87163,94;48707,21;16006,43;13676,43;6923,37;85313,44;47390,28;15755,82;13344,99;6836,57;83327,66;48693,95;15438,34;13903,22;7165,83;85201,33
28;49576,59;17769,75;14136,89;7333,13;88816,37;49425,52;16607,81;13906,23;7051,99;86991,54;48125,29;16411,46;13590,64;6941,57;85068,95;49263,3;14037,94;14040,08;7344,42;84685,74
29;49992,32;18191,81;14311,28;7485,13;89980,54;49993,6;16956,41;14102,51;7185,6;88238,12;48736,56;16831,72;13805,27;7076,62;86450,18;49992,81;12777,54;14250,63;7458,33;84479,31
30;50198,17;18352,07;14456,09;7600,46;90606,79;50331,5;17049,55;14217,62;7281,2;88879,88;49112,66;16984,63;13946,77;7198,29;87242,35;50275,51;12368,73;14405,78;7536,62;84586,64
31;50369,86;18375,66;14500,33;7641,68;90887,54;50452,2;17001,03;14239,56;7310,7;89003,49;49243,56;16969,1;14004,86;7268,7;87486,22;49872,84;12453,39;14211,58;7558,14;84095,96
32;50516,5;18331,55;14483,33;7623,31;90954,68;50492,19;16908,78;14203,22;7294,23;88898,41;49295,76;16909,85;14006,44;7285,12;87497,18;50053,31;12572,75;14148,19;7491,21;84265,47
33;50535,96;18246,64;14440,17;7566,77;90789,55;50512,15;16833,47;14123,77;7254,58;88723,97;49360,26;16888,06;13960,4;7250,88;87459,59;49730,83;12962,0;14017,13;7438,99;84148,96
34;50047,73;18035,94;14278,67;7469,23;89831,57;50146,07;16702,61;13890,49;7176,97;87916,14;49049,45;16784,87;13766,45;7158,41;86759,17;49296,07;12878,15;13496,29;7351,49;83021,99
35;48840,64;17605,46;13943,26;7327,3;87716,67;49112,18;16417,6;13451,61;7046,19;86027,58;48068,81;16460,68;13384,16;7007,95;84921,59;47407,62;13261,56;12884,17;7167,34;80720,69
36;47659,43;16937,24;13652,16;7159,6;85408,43;47892,39;15908,46;13117,23;6883,0;83801,08;46974,83;15892,9;13121,53;6841,72;82830,98;46859,09;14556,97;12637,63;6990,73;81044,42
