;MLP_Seco;MLP_S;MLP_NE;MLP_N;MLP_SIN;LSTM_Seco;LSTM_S;LSTM_NE;LSTM_N;LSTM_SIN;GRU_Seco;GRU_S;GRU_NE;GRU_N;GRU_SIN;Prev_ONS_Seco;Prev_ONS_S;Prev_ONS_NE;Prev_ONS_N;Prev ONS_SIN
0;41067,02;12275,01;13456,12;7050,89;73849,04;41240,73;12608,7;13618,66;7013,37;74481,47;41305,93;12542,52;13680,81;7160,62;74689,87;40362,77;10028,65;13366,1;7276,2;71033,73
1;40045,18;11904,2;13256,36;7011,43;72217,17;40149,7;12162,86;13420,91;6984,68;72718,15;40183,93;12071,68;13475,88;7130,12;72861,61;38703,99;9737,73;13239,65;7127,85;68809,22
2;39061,09;11562,28;13060,41;6969,83;70653,61;39101,59;11756,65;13222,57;6953,8;71034,61;39094,61;11652,27;13289,03;7085,45;71121,36;37813,47;10579,27;13580,53;7091,68;69064,95
3;38147,54;11268,21;12871,58;6924,17;69211,5;38135,21;11418,65;13027,91;6918,16;69499,93;38071,65;11318,77;13130,9;7018,89;69540,21;36783,3;10253,83;12907,56;7067,23;67011,92
4;37317,41;11001,28;12691,1;6873,49;67883,28;37273,01;11133,16;12860,73;6873,62;68140,53;37152,74;11037,82;12982,41;6948,61;68121,58;36045,52;10020,64;12760,3;7012,69;65839,14
5;36579,85;10741,47;12520,24;6817,67;66659,23;36529,96;10878,17;12737,72;6818,38;66964,23;36373,83;10769,9;12825,28;6892,39;66861,4;35520,89;9803,02;12743,08;6968,31;65035,3
6;35949,07;10511,26;12362,39;6758,98;65581,7;35907,5;10650,45;12627,67;6761,54;65947,16;35759,75;10518,7;12674,34;6840,66;65793,45;34994,53;9611,71;12676,26;6924,28;64206,78
7;35438,47;10334,55;12225,36;6699,26;64697,65;35406,96;10456,27;12502,97;6711,22;65077,42;35319,23;10302,51;12549,88;6781,06;64952,69;34616,69;9470,85;12595,7;6856,22;63539,47
8;35053,15;10198,48;12132,56;6636,26;64020,45;35042,92;10320,96;12398,31;6660,48;64422,68;35007,71;10154,88;12460,82;6717,65;64341,06;34380,53;8419,42;12493,92;6804,02;62097,88
9;34779,34;10083,46;12085,61;6569,78;63518,2;34806,63;10257,11;12331,71;6603,4;63998,86;34762,39;10091,33;12391,47;6657,05;63902,24;34264,1;8726,46;12642,75;6752,1;62385,41
