Patamares;MLP;LSTM;GRU
Leve SECO;40363,007562499995;40316,006875;39966,926
Media SECO;47940,394687500004;47988,9565625;47672,9646875
Pesada SECO;52008,151125;51757,615750000004;51052,0715
Leve S;12759,653187499998;13209,6705625;12717,11875
Media S;16143,949270833333;16031,929270833332;15495,350520833332
Pesada S;18239,302375;17987,841125;17105,7385
Leve NE;12113,835062499998;12240,46825;12269,202187500001
Media NE;13492,8253125;13504,989062499999;13619,773854166668
Pesada NE;14123,256125;14133,380249999998;14251,466749999998
Leve N;7136,585125;7180,6575625;7248,072625000001
Media N;7725,173229166667;7730,3829166666665;7978,7609375
Pesada N;8170,683499999999;8111,292875000001;8463,033125
