;MLP_Seco;MLP_S;MLP_NE;MLP_N;MLP_SIN;LSTM_Seco;LSTM_S;LSTM_NE;LSTM_N;LSTM_SIN;GRU_Seco;GRU_S;GRU_NE;GRU_N;GRU_SIN;Prev_ONS_Seco;Prev_ONS_S;Prev_ONS_NE;Prev_ONS_N;Prev ONS_SIN
0;48064,74;15723,43;13896,35;7792,12;85476,64;47740,39;14789,27;13584,55;7849,67;83963,88;47768,87;14947,81;13647,27;8321,22;84685,17;44842,31;15331,36;13793,13;7612,6;81579,4
1;46566,91;15175,41;13655,2;7731,58;83129,1;46385,55;14305,74;13356,13;7790,22;81837,65;46490,33;14435,68;13393,03;8234,36;82553,4;43500,19;14455,53;13380,8;7486,23;78822,75
2;45173,18;14673,75;13420,74;7668,23;80935,9;45115,32;13844,12;13138,88;7733,83;79832,16;45248,27;13966,38;13165,24;8143,07;80522,95;42399,23;13894,77;13067,79;7379,78;76741,57
3;43972,91;14252,37;13199,22;7598,9;79023,4;43996,77;13428,32;12942,3;7681,4;78048,79;44082,92;13572,43;12981,41;8044,43;78681,18;41504,2;13605,58;12845,81;7320,99;75276,57
4;42996,61;13895,46;12995,08;7519,05;77406,2;43026,75;13090,24;12769,22;7625,18;76511,4;43049,51;13245,21;12823,32;7941,39;77059,43;40659,9;13290,69;12665,44;7260,26;73876,28
5;42242,33;13583,27;12811,47;7427,56;76064,63;42194,79;12848,56;12619,28;7557,07;75219,69;42198,09;12969,99;12669,63;7837,49;75675,21;39890,1;12997,0;12546,68;7189,12;72622,91
6;41637,18;13330,25;12648,24;7338,27;74953,94;41531,34;12660,98;12485,87;7476,05;74154,24;41543,0;12748,74;12522,34;7732,49;74546,56;39330,14;12785,19;12432,53;7121,13;71668,99
7;41120,29;13151,45;12510,02;7262,84;74044,61;41064,87;12485,39;12366,63;7385,45;73302,35;41084,97;12584,05;12393,13;7627,18;73689,33;38974,68;12668,91;12311,8;7032,72;70988,12
8;40749,87;13030,3;12423,87;7189,24;73393,28;40774,78;12341,25;12282,28;7298,87;72697,18;40806,24;12464,27;12309,17;7530,3;73109,99;38823,36;12577,21;12230,66;6976,59;70607,82
9;40590,34;12951,53;12396,26;7108,02;73046,15;40624,53;12257,3;12236,2;7231,49;72349,51;40676,39;12381,98;12273,35;7450,43;72782,15;38885,38;12484,49;12211,25;6909,98;70491,1
10;40611,82;12936,8;12329,06;7043,8;72921,48;40562,85;12237,72;12139,29;7194,61;72134,48;40632,93;12360,9;12175,76;7387,72;72557,31;38931,08;12455,7;12025,8;6868,74;70281,33
11;40763,53;13003,9;12132,54;7011,77;72911,74;40549,32;12272,13;11914,16;7183,2;71918,8;40621,2;12414,47;11923,67;7330,89;72290,22;38959,27;12474,19;11668,08;6816,76;69918,3
12;41005,44;13118,25;11855,4;6955,25;72934,35;40601,5;12316,26;11622,59;7130,81;71671,16;40649,84;12483,85;11605,64;7231,48;71970,81;39117,68;12525,77;11431,94;6703,34;69778,73
13;41358,23;13269,07;11591,18;6825,82;73044,31;40802,7;12366,41;11371,14;6988,11;71528,36;40801,73;12544,61;11350,24;7058,0;71754,58;39334,33;12598,06;11263,57;6547,01;69742,98
14;42074,8;13593,02;11474,34;6680,07;73822,23;41441,21;12614,89;11306,09;6835,59;72197,79;41393,4;12782,32;11264,57;6883,91;72324,2;40318,32;13078,38;11387,74;6446,18;71230,63
15;43355,53;14202,28;11610,8;6593,4;75762,0;42737,11;13217,64;11528,04;6768,11;74250,91;42666,82;13355,42;11417,43;6794,62;74234,29;42118,45;13990,66;11811,89;6432,6;74353,6
16;44958,48;14963,65;11951,37;6611,59;78485,09;44432,66;13989,18;11915,03;6807,96;77144,83;44332,18;14103,91;11745,64;6818,23;76999,96;43904,16;14816,33;12257,79;6564,72;77543,0
17;46567,29;15693,1;12400,31;6749,92;81410,62;46169,56;14691,72;12311,78;6943,85;80116,91;46003,66;14809,5;12145,49;6949,11;79907,75;45804,94;15645,9;12761,2;6821,64;81033,68
18;48009,97;16248,75;12830,75;6931,38;84020,85;47665,14;15219,78;12652,19;7102,58;82639,68;47443,34;15339,14;12482,85;7103,95;82369,28;47141,18;16180,81;13146,55;6973,21;83441,76
19;49188,4;16552,62;13143,25;7076,73;85961,0;48746,83;15535,62;12904,04;7214,34;84400,83;48515,44;15627,65;12660,35;7205,1;84008,54;47910,74;16354,47;13419,17;6993,04;84677,43
20;50155,57;16740,29;13379,19;7190,1;87465,15;49606,98;15740,19;13081,62;7284,63;85713,42;49344,69;15796,18;12757,9;7275,28;85174,05;48564,01;16667,16;13581,77;7077,93;85890,88
21;50970,61;16962,46;13593,58;7288,84;88815,49;50438,34;15948,21;13209,9;7334,76;86931,22;50059,58;15982,21;12869,21;7347,52;86258,53;49090,88;17029,39;13625,51;7218,91;86964,7
22;51566,37;17216,81;13755,12;7359,74;89898,05;51070,3;16190,88;13310,39;7374,0;87945,58;50542,98;16202,23;12965,91;7395,95;87107,08;49478,7;17262,78;13679,19;7243,48;87664,16
23;51861,33;17423,82;13822,15;7386,1;90493,4;51318,75;16426,55;13387,49;7402,74;88535,53;50672,44;16389,16;12997,61;7392,12;87451,33;49785,58;17400,16;13745,29;7214,26;88145,28
24;51842,95;17348,01;13797,94;7367,56;90356,45;51308,68;16405,9;13380,78;7398,06;88493,42;50549,88;16262,5;12947,98;7356,27;87116,62;49865,93;17132,57;13717,07;7171,93;87887,49
25;51611,16;16884,43;13712,46;7320,13;89528,18;51262,54;15992,85;13258,91;7351,54;87865,85;50373,63;15683,17;12836,04;7322,11;86214,95;49730,12;16396,2;13590,04;7060,69;86777,05
26;51646,68;16606,16;13657,68;7308,9;89219,42;51483,46;15712,03;13171,59;7336,16;87703,24;50503,21;15291,36;12788,12;7328,49;85911,17;49873,34;16481,97;13597,2;7046,45;86998,96
27;52317,14;17019,78;13712,69;7388,46;90438,06;52169,6;16042,3;13261,02;7420,09;88893,02;51192,47;15660,81;12911,24;7405,64;87170,16;50318,12;17326,01;13703,25;7189,93;88537,31
28;53157,05;17687,95;13843,0;7522,31;92210,3;53018,71;16618,72;13458,53;7570,88;90666,84;52111,41;16320,5;13127,95;7544,25;89104,11;50709,02;17824,35;13837,37;7298,06;89668,8
29;53647,79;18077,12;13990,23;7656,23;93371,38;53672,08;16973,91;13654,26;7732,51;92032,75;52852,66;16690,12;13331,26;7717,58;90591,63;51084,16;18066,14;14011,52;7433,11;90594,93
30;53891,3;18212,81;14114,0;7756,34;93974,46;54045,61;17074,61;13784,49;7855,27;92759,98;53283,25;16797,0;13480,58;7868,93;91429,76;51186,29;18164,1;14097,35;7518,46;90966,2
31;54088,33;18238,84;14181,17;7800,04;94308,37;54148,83;17008,49;13813,46;7904,39;92875,16;53389,62;16802,63;13558,38;7949,88;91700,51;51045,9;18072,24;14083,88;7526,1;90728,11
