;MLP_Seco;MLP_S;MLP_NE;MLP_N;MLP_SIN;LSTM_Seco;LSTM_S;LSTM_NE;LSTM_N;LSTM_SIN;GRU_Seco;GRU_S;GRU_NE;GRU_N;GRU_SIN;Prev_ONS_Seco;Prev_ONS_S;Prev_ONS_NE;Prev_ONS_N;Prev ONS_SIN;SECO Carga Verificada;S Carga Verificada;NE Carga Verificada;N Carga Verificada;SIN Carga Verificada;MAPE MLP Seco;MAPE MLP S;MAPE MLP NE;MAPE MLP N;MAPE MLP SIN;MAPE LSTM Seco;MAPE LSTM S;MAPE LSTM NE;MAPE LSTM N;MAPE LSTM SIN;MAPE GRU Seco;MAPE GRU S;MAPE GRU NE;MAPE GRU N;MAPE GRU SIN;MAPE ONS Seco;MAPE ONS S;MAPE ONS NE;MAPE ONS N;MAPE ONS SIN;MAE MLP Seco;MAE MLP S;MAE MLP NE;MAE MLP N;MAE MLP SIN;MAE LSTM Seco;MAE LSTM S;MAE LSTM NE;MAE LSTM N;MAE LSTM SIN;MAE GRU Seco;MAE GRU S;MAE GRU NE;MAE GRU N;MAE GRU SIN;MAE ONS Seco;MAE ONS S;MAE ONS NE;MAE ONS N;MAE ONS SIN
0;48036,71;16076,58;14282,31;8103,41;86499,01;46927,34;16170,14;14026,9;7942,94;85067,32;46343,18;15957,76;14258,66;8369,9;84929,5;43928,92;15830,05;13737,94;7601,24;81098,15;47540,61;16477,05;14390,12;7857,25;86265,03;1,04;2,43;0,75;3,13;0,27;1,29;1,86;2,52;1,09;1,39;2,52;3,15;0,91;6,52;1,55;7,6;3,93;4,53;3,26;5,99;496,1;-400,47;-107,81;246,16;233,98;-613,27;-306,91;-363,22;85,69;-1197,71;-1197,43;-519,29;-131,46;512,65;-1335,53;-3611,69;-647,0;-652,18;-256,01;-5166,88
1;46549,92;15523,34;14043,97;7950,74;84067,97;45552,01;15623,79;13802,1;7885,77;82863,67;45046,7;15441,34;14004,08;8273,19;82765,31;42324,75;15229,5;13391,68;7566,04;78511,97;46424,01;15928,61;14206,83;7820,91;84380,37;0,27;2,54;1,15;1,66;0,37;1,88;1,91;2,85;0,83;1,8;2,97;3,06;1,43;5,78;1,91;8,83;4,39;5,74;3,26;6,95;125,91;-405,27;-162,86;129,83;-312,4;-872,0;-304,82;-404,73;64,86;-1516,7;-1377,31;-487,27;-202,75;452,28;-1615,06;-4099,26;-699,11;-815,15;-254,87;-5868,4
2;45182,82;15021,79;13806,43;7871,32;81882,36;44256,3;15124,99;13578,39;7816,65;80776,33;43796,58;14961,71;13769,6;8168,9;80696,79;41023,5;14663,76;13174,29;7489,93;76351,48;45330,77;15414,18;14003,84;7765,94;82514,72;0,33;2,55;1,41;1,36;0,77;2,37;1,88;3,04;0,65;2,11;3,38;2,94;1,67;5,19;2,2;9,5;4,87;5,92;3,55;7,47;-147,95;-392,38;-197,41;105,38;-632,36;-1074,47;-289,18;-425,45;50,71;-1738,39;-1534,19;-452,47;-234,24;402,96;-1817,93;-4307,27;-750,41;-829,55;-276,01;-6163,24
3;44031,9;14609,17;13571,87;7899,12;80112,06;43110,92;14707,39;13360,82;7729,76;78908,89;42644,01;14546,82;13568,99;8052,68;78812,5;39920,52;14322,59;13077,53;7417,38;74738,02;44292,1;14960,4;13775,66;7681,6;80709,75;0,59;2,35;1,48;2,83;0,74;2,67;1,69;3,01;0,63;2,23;3,72;2,76;1,5;4,83;2,35;9,87;4,26;5,07;3,44;7,4;-260,2;-351,23;-203,79;217,52;-597,69;-1181,18;-253,01;-414,84;48,16;-1800,86;-1648,09;-413,58;-206,67;371,08;-1897,25;-4371,58;-637,81;-698,13;-264,22;-5971,73
4;43100,82;14264,88;13348,02;7910,92;78624,64;42151,1;14349,16;13170,37;7643,81;77314,44;41659,5;14189,44;13390,6;7933,11;77172,65;39098,75;14004,16;12942,1;7351,0;73396,01;43370,73;14564,62;13573,59;7588,78;79097,72;0,62;2,06;1,66;4,24;0,6;2,81;1,48;2,97;0,73;2,25;3,95;2,58;1,35;4,54;2,43;9,85;3,85;4,65;3,13;7,21;-269,91;-299,74;-225,57;322,14;-473,08;-1219,63;-215,46;-403,22;55,03;-1783,28;-1711,23;-375,18;-182,99;344,33;-1925,07;-4271,98;-560,46;-631,49;-237,78;-5701,71
5;42364,06;13962,85;13143,4;7793,09;77263,4;41390,76;14024,13;13022,48;7574,67;76012,04;40895,29;13877,65;13220,78;7818,82;75812,54;38561,59;13678,38;12782,13;7266,2;72288,3;42614,03;14219,82;13439,47;7509,62;77782,95;0,59;1,81;2,2;3,77;0,67;2,87;1,38;3,1;0,87;2,28;4,03;2,41;1,63;4,12;2,53;9,51;3,81;4,89;3,24;7,06;-249,97;-256,97;-296,07;283,47;-519,55;-1223,27;-195,69;-416,99;65,05;-1770,91;-1718,74;-342,17;-218,69;309,2;-1970,41;-4052,44;-541,44;-657,34;-243,42;-5494,65
6;41771,94;13712,93;12964,23;7627,5;76076,6;40794,16;13744,27;12894,46;7502,28;74935,17;40311,41;13615,94;13063,15;7705,8;74696,3;38103,14;13437,55;12632,28;7209,47;71382,44;41976,54;13930,98;13320,36;7439,43;76667,31;0,49;1,57;2,67;2,53;0,77;2,82;1,34;3,2;0,84;2,26;3,97;2,26;1,93;3,58;2,57;9,23;3,54;5,17;3,09;6,89;-204,6;-218,05;-356,13;188,07;-590,71;-1182,38;-186,71;-425,9;62,85;-1732,14;-1665,13;-315,04;-257,21;266,37;-1971,01;-3873,4;-493,43;-688,08;-229,96;-5284,87
7;41288,24;13528,29;12819,98;7516,62;75153,13;40326,95;13526,16;12767,99;7408,44;74029,54;39862,37;13410,61;12928,45;7591,6;73793,03;37726,34;13238,22;12475,22;7096,1;70535,88;41417,94;13704,68;13165,41;7367,65;75655,68;0,31;1,29;2,62;2,02;0,66;2,63;1,3;3,02;0,55;2,15;3,76;2,15;1,8;3,04;2,46;8,91;3,4;5,24;3,69;6,77;-129,7;-176,39;-345,43;148,97;-502,55;-1090,99;-178,52;-397,42;40,79;-1626,14;-1555,57;-294,07;-236,96;223,95;-1862,65;-3691,6;-466,46;-690,19;-271,55;-5119,8
8;40954,45;13399,46;12735,55;7449,83;74539,29;40010,16;13366,48;12680,31;7318,3;73375,25;39573,07;13258,9;12838,55;7492,46;73162,98;37593,36;13119,15;12381,58;6995,56;70089,65;41011,35;13542,0;13026,96;7286,87;74867,18;0,14;1,05;2,24;2,24;0,44;2,44;1,3;2,66;0,43;1,99;3,51;2,09;1,45;2,82;2,28;8,33;3,12;4,95;4,0;6,38;-56,9;-142,54;-291,41;162,96;-327,89;-1001,19;-175,52;-346,65;31,43;-1491,93;-1438,28;-283,1;-188,41;205,59;-1704,2;-3417,99;-422,85;-645,38;-291,31;-4777,53
9;40816,8;13319,66;12713,91;7400,03;74250,4;39860,98;13260,48;12647,35;7259,87;73028,68;39463,88;13159,3;12790,01;7421,94;72835,13;37690,59;13046,34;12374,0;6952,56;70063,49;40820,38;13437,7;12943,37;7197,78;74399,23;0,01;0,88;1,77;2,81;0,2;2,35;1,32;2,29;0,86;1,84;3,32;2,07;1,18;3,11;2,1;7,67;2,91;4,4;3,41;5,83;-3,58;-118,04;-229,46;202,25;-148,83;-959,4;-177,22;-296,02;62,09;-1370,55;-1356,5;-278,4;-153,36;224,16;-1564,1;-3129,79;-391,36;-569,37;-245,22;-4335,74
