;MLP_Seco;MLP_S;MLP_NE;MLP_N;MLP_SIN;LSTM_Seco;LSTM_S;LSTM_NE;LSTM_N;LSTM_SIN;GRU_Seco;GRU_S;GRU_NE;GRU_N;GRU_SIN;Prev_ONS_Seco;Prev_ONS_S;Prev_ONS_NE;Prev_ONS_N;Prev ONS_SIN
0;43940,84;13840,36;12847,43;7487,4;78116,03;43256,35;13834,15;13000,58;7384,01;77475,09;43445,29;13763,68;13100,7;7834,84;78144,5;41359,95;13336,66;12768,01;7205,77;74670,38
1;42631,3;13424,26;12633,65;7433,0;76122,21;42194,66;13469,46;12793,72;7329,64;75787,48;42382,09;13400,13;12860,78;7743,45;76386,45;39906,24;13039,03;12470,86;7001,63;72417,77
2;41444,77;13047,47;12420,79;7374,41;74287,44;41199,64;13130,47;12591,45;7279,91;74201,48;41378,62;13049,94;12646,39;7659,42;74734,37;38814,34;12782,19;12213,73;6906,36;70716,63
3;40474,99;12737,48;12212,32;7308,61;72733,41;40325,32;12837,31;12401,14;7237,16;72800,94;40482,76;12728,51;12475,37;7585,63;73272,28;38003,5;12537,4;11978,11;6904,69;69423,7
4;39698,75;12474,43;12021,79;7237,4;71432,37;39575,01;12587,65;12241,18;7194,75;71598,58;39694,84;12459,55;12334,89;7507,08;71996,35;37387,12;12306,52;11812,96;6881,68;68388,28
5;39067,0;12236,83;11860,24;7163,76;70327,83;38941,72;12374,99;12123,62;7144,9;70585,24;39009,66;12257,74;12206,69;7411,06;70885,15;37008,2;12055,79;11721,8;6809,28;67595,08
6;38544,37;12043,95;11718,63;7090,71;69397,67;38427,75;12198,74;12024,14;7084,52;69735,15;38447,41;12093,54;12081,62;7311,83;69934,4;36641,18;11880,85;11625,95;6752,26;66900,25
7;38115,92;11916,02;11592,5;7020,14;68644,59;38041,49;12059,58;11921,71;7014,05;69036,83;38033,69;11939,83;11960,93;7225,41;69159,87;36291,66;11752,07;11525,74;6737,73;66307,19
8;37834,67;11836,18;11515,71;6949,44;68136,0;37806,33;11957,59;11844,9;6943,6;68552,42;37790,48;11823,39;11878,37;7147,86;68640,09;36142,54;11692,34;11458,83;6692,06;65985,77
9;37749,49;11789,68;11503,22;6878,93;67921,32;37731,68;11895,39;11806,96;6885,95;68319,98;37721,8;11777,15;11845,59;7074,73;68419,27;36175,44;11658,01;11443,2;6628,64;65905,29
10;37824,67;11807,28;11455,82;6825,4;67913,16;37755,93;11886,4;11710,19;6855,15;68207,67;37763,7;11804,9;11753,43;7019,59;68341,62;36438,35;11731,02;11261,0;6584,38;66014,75
11;38020,63;11919,32;11282,3;6796,44;68018,69;37833,98;11935,24;11474,18;6849,75;68093,15;37857,02;11892,39;11509,88;6985,02;68244,31;36962,48;12005,46;10908,7;6567,7;66444,33
12;38367,07;12108,88;11037,41;6746,66;68260,02;38057,69;12000,55;11198,58;6805,12;68061,94;38029,88;11982,45;11212,47;6911,68;68136,47;37555,67;12203,78;10718,43;6503,13;66981,01
13;38927,94;12369,36;10821,08;6638,85;68757,24;38562,52;12080,64;11019,14;6673,65;68335,95;38379,6;12062,93;11000,39;6755,45;68198,36;38191,55;12326,0;10675,58;6413,19;67606,31
14;39834,97;12782,92;10768,07;6521,5;69907,45;39521,41;12378,51;11036,0;6538,82;69474,75;39193,06;12344,7;10989,92;6594,94;69122,62;39382,88;12900,81;10901,5;6381,65;69566,84
15;41173,87;13416,45;10977,51;6460,23;72028,06;41036,13;13057,01;11305,2;6496,61;71894,94;40679,68;13004,27;11250,29;6525,0;71459,25;41120,07;13933,59;11423,13;6352,62;72829,41
16;42778,45;14187,23;11371,41;6503,52;74840,61;42886,23;13913,74;11741,95;6561,61;75103,53;42549,52;13857,62;11685,22;6582,61;74674,97;42865,67;14866,03;11904,33;6470,47;76106,51
17;44424,64;14964,85;11831,2;6669,95;77890,64;44779,19;14694,59;12224,81;6714,69;78413,28;44425,6;14661,22;12158,93;6766,4;78012,15;44702,21;15788,86;12372,83;6744,34;79608,24
18;45908,73;15577,8;12253,22;6875,71;80615,46;46456,34;15303,94;12626,42;6882,98;81269,68;46082,25;15294,07;12543,11;6979,46;80898,89;46065,05;16440,51;12739,71;6916,66;82161,92
19;47089,32;15914,49;12562,88;7035,73;82602,43;47742,93;15715,2;12859,29;6998,92;83316,34;47382,3;15702,72;12753,25;7127,97;82966,24;46910,04;16810,71;12987,33;7026,26;83734,34
20;48053,95;16144,21;12786,88;7162,37;84147,42;48766,33;16019,57;13001,09;7069,87;84856,85;48391,25;15981,58;12872,65;7225,99;84471,46;47756,79;17170,34;13197,55;7138,18;85262,86
21;48905,04;16450,54;12967,21;7280,46;85603,25;49667,77;16320,49;13144,57;7118,8;86251,64;49192,02;16242,74;12996,53;7305,09;85736,38;48589,73;17621,82;13352,58;7223,94;86788,08
22;49575,66;16793,38;13105,51;7367,39;86841,94;50342,13;16652,67;13277,54;7156,27;87428,61;49734,4;16521,32;13100,18;7359,06;86714,97;49067,59;17837,15;13463,33;7239,41;87607,46
23;49969,4;17046,55;13188,34;7396,86;87601,15;50667,75;16976,32;13359,0;7184,08;88187,15;49960,01;16774,9;13135,7;7375,57;87246,18;49237,72;18033,0;13554,4;7201,73;88026,86
24;50041,29;16963,14;13181,98;7375,33;87561,74;50703,41;17022,49;13337,69;7181,5;88245,09;49910,89;16727,92;13082,58;7355,48;87076,88;49200,59;17695,19;13501,77;7138,49;87536,03
25;49857,79;16450,91;13080,89;7327,17;86716,76;50609,86;16649,75;13203,99;7140,83;87604,43;49729,46;16242,15;12959,88;7314,33;86245,82;48849,88;16819,62;13279,34;7067,81;86016,64
26;49879,61;16157,12;13012,47;7315,45;86364,65;50775,42;16455,8;13125,18;7129,02;87485,42;49859,4;15961,75;12917,49;7313,01;86051,64;49077,78;16907,43;13290,13;7085,25;86360,59
27;50481,69;16647,73;13091,8;7392,84;87614,06;51477,02;16973,87;13250,38;7209,39;88910,66;50629,36;16463,49;13079,9;7404,74;87577,49;49878,72;17781,95;13517,86;7201,67;88380,2
28;51301,78;17423,93;13251,96;7531,42;89509,09;52318,59;17740,04;13479,21;7356,09;90893,92;51606,7;17272,41;13339,28;7566,62;89785,01;50411,15;18260,22;13706,92;7283,6;89661,89
29;51895,69;17881,47;13394,73;7683,64;90855,53;52853,22;18185,8;13671,89;7519,79;92230,7;52286,63;17790,72;13557,43;7753,89;91388,68;50756,79;18511,2;13885,55;7375,98;90529,52
