,Ano,Mes,Dia,Hora,Min,Temperatura
139,2024,1,24,19,0,"21,3736"
140,2024,1,24,20,0,"20,7233"
141,2024,1,24,21,0,"20,1437"
142,2024,1,24,22,0,"20,275301"
143,2024,1,24,23,0,"19,6616"
144,2024,1,25,0,0,"19,8381"
145,2024,1,25,1,0,"19,5765"
146,2024,1,25,2,0,"19,5081"
147,2024,1,25,3,0,"19,372002"
148,2024,1,25,4,0,"19,4914"
149,2024,1,25,5,0,"19,4914"
150,2024,1,25,6,0,"19,428902"
151,2024,1,25,7,0,"20,5733"
152,2024,1,25,8,0,"21,4288"
153,2024,1,25,9,0,"21,6022"
154,2024,1,25,10,0,"22,6732"
155,2024,1,25,11,0,"23,1684"
156,2024,1,25,12,0,"23,297"
157,2024,1,25,13,0,"23,4902"
158,2024,1,25,14,0,"23,651402"
159,2024,1,25,15,0,"23,0242"
160,2024,1,25,16,0,"23,6787"
161,2024,1,25,17,0,"23,074"
162,2024,1,25,18,0,"22,507"
163,2024,1,25,19,0,"21,6899"
164,2024,1,25,20,0,"20,9561"
165,2024,1,25,21,0,"20,2846"
166,2024,1,25,22,0,"20,1189"
167,2024,1,25,23,0,"19,9654"
168,2024,1,26,0,0,"19,2939"
169,2024,1,26,1,0,"18,7197"
170,2024,1,26,2,0,"18,6224"
171,2024,1,26,3,0,"18,721699"
172,2024,1,26,4,0,"17,9965"
173,2024,1,26,5,0,"18,4628"
174,2024,1,26,6,0,"18,6513"
175,2024,1,26,7,0,"20,292301"
176,2024,1,26,8,0,"21,319601"
177,2024,1,26,9,0,"22,6071"
178,2024,1,26,10,0,"23,5881"
179,2024,1,26,11,0,"23,943901"
180,2024,1,26,12,0,"24,5789"
181,2024,1,26,13,0,"24,2708"
182,2024,1,26,14,0,"24,6215"
183,2024,1,26,15,0,"24,2314"
184,2024,1,26,16,0,"24,1273"
185,2024,1,26,17,0,"23,9494"
186,2024,1,26,18,0,"22,947"
187,2024,1,26,19,0,"21,9333"
188,2024,1,26,20,0,"21,239"
189,2024,1,26,21,0,"20,8679"
190,2024,1,26,22,0,"20,003899"
191,2024,1,26,23,0,"20,01"
