Patamares;MLP;LSTM;GRU;ONS
Leve SECO;41427,82012820512;40866,24532051282;40440,64916666666;41957,238333333335
Media SECO;48632,42199999999;47930,8583;47546,31330000001;49728,5027
Pesada SECO;51300,306625;50450,44375;50022,14525;52243,253375
Leve S;12821,979230769231;13488,097628205125;13038,566089743592;13105,866346153847
Media S;16089,477200000001;16551,4476;15802,891899999999;16452,3401
Pesada S;17261,61725;17639,82175;16784,959125;17398,033375
Leve NE;12230,913910256411;12332,37576923077;12335,555;12338,134871794871
Media NE;13382,719799999999;13477,937500000002;13515,594500000001;13651,811899999999
Pesada NE;13668,728125;13696,889625;13766,549625;13723,208750000002
Leve N;7093,31326923077;7109,939423076923;7332,332628205129;6980,868782051282
Media N;7415,835999999998;7369,5456;7523,5742;7326,860600000001
Pesada N;7723,35625;7618,147875;7831,386375;7533,458874999999
