;MLP_Seco;MLP_S;MLP_NE;MLP_N;MLP_SIN;LSTM_Seco;LSTM_S;LSTM_NE;LSTM_N;LSTM_SIN;GRU_Seco;GRU_S;GRU_NE;GRU_N;GRU_SIN;Prev_ONS_Seco;Prev_ONS_S;Prev_ONS_NE;Prev_ONS_N;Prev ONS_SIN
0;45133,12;15589,82;13701,84;7679,88;82104,66;45417,33;15819,26;13933,87;7724,38;82894,84;45513,01;15115,37;14070,74;8141,11;82840,23;45247,76;15643,15;13729,53;7760,67;82381,11
1;43657,99;15040,57;13452,43;7615,62;79766,62;43969,28;15249,35;13691,18;7662,78;80572,6;44082,08;14573,16;13803,15;8096,59;80554,99;44336,29;15083,22;13478,16;7658,96;80556,64
2;42295,88;14541,52;13215,67;7551,04;77604,11;42657,5;14728,07;13459,51;7596,8;78441,88;42782,83;14096,16;13561,82;8033,13;78473,94;43443,96;14651,02;13254,24;7611,42;78960,64
3;41142,02;14129,23;13000,94;7484,73;75756,92;41586,05;14293,7;13248,46;7525,77;76653,97;41710,61;13727,53;13363,16;7939,44;76740,74;42310,76;14284,04;13042,42;7529,9;77167,12
4;40220,54;13785,76;12804,43;7411,02;74221,74;40730,29;13943,05;13061,88;7463,84;75199,05;40815,45;13422,43;13184,21;7834,86;75256,96;41503,14;13993,47;12859,88;7462,59;75819,08
5;39521,8;13488,19;12621,83;7326,24;72958,05;40039,16;13661,09;12900,47;7420,58;74021,3;40035,7;13132,51;13001,85;7739,5;73909,56;40891,8;13677,13;12695,32;7396,62;74660,87
6;38972,34;13248,09;12459,9;7239,04;71919,37;39484,78;13426,92;12757,95;7372,34;73041,99;39408,17;12883,54;12831,53;7645,91;72769,14;40442,04;13416,22;12531,82;7328,42;73718,5
7;38511,13;13078,97;12329,67;7158,5;71078,26;39054,75;13226,02;12634,14;7296,22;72211,13;38978,57;12708,54;12697,22;7545,0;71929,33;40021,19;13247,59;12425,75;7228,17;72922,69
8;38190,7;12967,5;12248,03;7082,99;70489,23;38775,66;13075,28;12560,1;7205,52;71616,57;38729,62;12595,38;12618,42;7448,65;71392,07;39838,69;13103,79;12331,88;7163,56;72437,92
9;38077,22;12903,24;12213,33;7011,69;70205,49;38671,74;12995,04;12541,21;7122,35;71330,34;38628,88;12531,98;12585,71;7370,4;71116,98;39815,92;13052,28;12313,59;7116,24;72298,04
10;38177,77;12914,09;12143,67;6957,56;70193,09;38718,76;12987,89;12448,89;7067,71;71223,24;38646,37;12551,68;12478,57;7309,32;70985,94;39805,69;13076,54;12139,81;7080,87;72102,92
11;38478,02;13024,67;11963,72;6924,21;70390,62;38886,62;13045,34;12178,75;7047,13;71157,83;38753,36;12673,9;12202,54;7255,26;70885,06;39941,18;13270,48;11785,04;7058,65;72055,35
12;38937,27;13208,21;11704,64;6863,88;70714,01;39169,93;13132,48;11857,29;7005,32;71165,02;38923,84;12816,93;11878,43;7175,72;70794,92;40119,0;13317,7;11511,74;6928,73;71877,16
13;39544,53;13456,27;11442,39;6738,5;71181,69;39620,43;13251,5;11651,65;6896,15;71419,72;39205,36;12934,66;11665,3;7046,97;70852,28;40565,5;13326,81;11347,64;6775,76;72015,7
14;40434,36;13884,99;11325,53;6600,01;72244,89;40493,36;13579,55;11660,68;6771,03;72504,61;39937,01;13224,46;11659,87;6902,65;71723,99;41829,38;13779,62;11502,74;6672,97;73784,7
15;41718,78;14588,54;11475,25;6517,14;74299,72;41974,92;14255,77;11934,12;6698,16;74862,96;41379,57;13859,8;11915,56;6787,26;73942,19;43666,6;14599,6;12011,99;6640,16;76918,35
16;43274,39;15448,5;11830,66;6535,73;77089,28;43771,46;15092,11;12393,57;6715,33;77972,47;43189,09;14674,96;12374,81;6731,17;76970,02;45271,4;15491,33;12506,46;6774,41;80043,61
17;44912,6;16291,98;12283,06;6673,92;80161,56;45512,82;15851,1;12923,72;6835,45;81123,09;44931,94;15441,54;12938,29;6755,77;80067,53;46921,29;16402,83;12997,98;7018,59;83340,7
18;46419,7;16940,94;12714,56;6861,99;82937,19;47002,66;16424,7;13389,75;7002,2;83819,31;46420,52;16019,5;13450,61;6860,69;82751,31;48179,76;16952,04;13326,96;7182,88;85641,64
19;47631,35;17284,92;13035,98;7024,84;84977,1;48143,72;16778,78;13690,41;7153,26;85766,18;47569,62;16344,85;13787,06;7027,45;84728,98;49175,14;17141,88;13456,4;7265,34;87038,75
