;MLP_Seco;MLP_S;MLP_NE;MLP_N;MLP_SIN;LSTM_Seco;LSTM_S;LSTM_NE;LSTM_N;LSTM_SIN;GRU_Seco;GRU_S;GRU_NE;GRU_N;GRU_SIN;Prev_ONS_Seco;Prev_ONS_S;Prev_ONS_NE;Prev_ONS_N;Prev ONS_SIN
0;41506,63;13071,61;13131,93;7646,43;75356,61;40650,61;13451,08;13305,67;7516,37;74923,73;40157,23;13012,44;13383,47;8104,02;74657,16;42966,99;13599,37;13011,41;7411,7;76989,48
1;40234,48;12597,09;12882,24;7585,95;73299,76;39516,72;13026,39;13074,53;7463,51;73081,14;39074,58;12610,32;13125,73;8054,59;72865,22;40942,63;12898,84;12801,98;7282,59;73926,03
2;39062,04;12179,53;12654,22;7526,4;71422,19;38502,47;12657,42;12854,35;7414,97;71429,21;38083,14;12238,34;12901,8;7988,08;71211,35;39678,14;12455,24;12630,68;7241,28;72005,35
3;38067,33;11858,31;12461,98;7466,65;69854,26;37691,63;12380,37;12657,13;7371,54;70100,67;37252,52;11921,87;12732,64;7894,12;69801,14;39073,13;12221,5;12466,88;7210,08;70971,59
4;37241,54;11602,39;12289,44;7397,4;68530,77;37024,55;12153,38;12498,96;7319,77;68996,66;36566,08;11667,18;12587,78;7789,31;68610,35;38480,93;11999,01;12336,98;7148,8;69965,72
5;36563,65;11377,89;12119,86;7311,99;67373,39;36430,27;11934,28;12387,31;7249,09;68000,94;35997,24;11472,9;12435,75;7691,89;67597,78;37969,7;11801,28;12242,05;7100,5;69113,53
6;36050,49;11209,93;11963,92;7222,56;66446,89;35936,09;11757,63;12291,01;7174,63;67159,36;35566,01;11326,31;12292,37;7599,7;66784,39;37569,38;11667,35;12138,81;7047,98;68423,52
7;35717,98;11124,38;11840,33;7142,21;65824,9;35589,3;11659,5;12183,83;7111,45;66544,08;35293,11;11216,57;12182,68;7507,82;66200,17;37250,47;11582,22;12030,88;6992,27;67855,84
8;35540,57;11091,21;11772,49;7069,17;65473,45;35418,85;11605,15;12097,69;7048,69;66170,38;35155,34;11151,85;12121,16;7420,61;65848,96;37124,02;11555,88;11966,73;6950,08;67596,72
9;35499,52;11082,76;11760,38;7001,47;65344,13;35439,43;11566,03;12051,25;6979,04;66035,74;35133,71;11146,0;12095,13;7343,7;65718,53;37205,4;11585,04;11950,41;6873,87;67614,72
