;MLP_Seco;MLP_S;MLP_NE;MLP_N;MLP_SIN;LSTM_Seco;LSTM_S;LSTM_NE;LSTM_N;LSTM_SIN;GRU_Seco;GRU_S;GRU_NE;GRU_N;GRU_SIN;Prev_ONS_Seco;Prev_ONS_S;Prev_ONS_NE;Prev_ONS_N;Prev ONS_SIN
0;47849,0;14701,24;13672,66;7622,11;83845,02;46981,28;15157,35;13793,51;7640,97;83573,11;47100,75;15163,18;14014,07;8146,84;84424,84;48416,36;15040,33;13893,83;7661,14;85011,66
1;46517,8;14153,99;13489,16;7576,46;81737,41;45754,65;14645,57;13581,38;7592,68;81574,28;45914,44;14649,67;13788,64;8081,13;82433,89;46585,23;14768,08;13677,54;7554,77;82585,62
2;45246,09;13647,93;13292,23;7527,33;79713,57;44597,38;14170,91;13370,3;7545,56;79684,16;44795,78;14163,72;13578,05;8010,49;80548,04;45268,91;14361,54;13507,45;7508,07;80645,96
3;44089,25;13214,4;13076,15;7471,75;77851,54;43564,33;13761,94;13166,16;7499,15;77991,58;43794,69;13728,72;13392,29;7930,12;78845,82;44278,18;13884,5;13342,03;7422,46;78927,17
4;43086,32;12845,38;12865,97;7408,79;76206,46;42652,44;13412,94;12994,27;7446,29;76505,93;42890,36;13351,31;13222,04;7835,79;77299,5;43395,22;13480,37;13181,24;7369,44;77426,27
5;42260,61;12527,49;12686,65;7339,11;74813,85;41851,7;13113,14;12871,8;7380,56;75217,22;42062,56;13034,67;13057,61;7728,58;75883,41;42696,84;13206,88;13024,71;7353,9;76282,33
6;41588,86;12265,34;12532,04;7267,61;73653,86;41182,3;12865,97;12764,0;7305,03;74117,3;41364,29;12784,64;12907,15;7630,31;74686,4;42139,1;12995,94;12880,89;7284,61;75300,54
7;41045,57;12064,29;12395,89;7198,55;72704,3;40667,37;12675,11;12639,58;7225,41;73207,46;40846,29;12604,61;12783,45;7558,54;73792,89;41601,29;12820,86;12774,75;7154,54;74351,44
8;40642,68;11914,52;12302,91;7129,15;71989,27;40311,66;12531,16;12533,23;7148,67;72524,71;40476,89;12485,28;12699,84;7493,11;73155,12;41262,27;12681,2;12680,63;7080,96;73705,05
9;40386,28;11805,54;12260,29;7058,77;71510,89;40099,09;12429,31;12466,48;7082,85;72077,73;40205,67;12417,14;12645,82;7413,62;72682,25;41040,13;12555,26;12620,05;7030,66;73246,1
10;40221,58;11739,12;12174,32;7002,32;71137,34;39948,61;12396,25;12342,23;7039,13;71726,22;39989,54;12402,49;12514,78;7336,38;72243,18;40721,4;12424,69;12400,51;6994,09;72540,69
11;40073,15;11711,26;11956,03;6965,62;70706,06;39772,94;12443,51;12072,34;7018,58;71307,37;39775,96;12432,52;12218,79;7275,67;71702,94;40268,87;12286,6;12003,62;6974,41;71533,49
