Patamares;MLP;LSTM;GRU
Leve SECO;36960,8379375;36837,8505;36752,2531875
Media SECO;44382,18583333333;43568,00145833333;43650,925208333334
Pesada SECO;47865,19025;46909,962125;46804,614125
Leve S;11222,4285625;11363,000187499998;11109,98525
Media S;13766,636770833333;13679,525625;13677,619375
Pesada S;15590,36275;15174,5825;14886,976750000002
Leve NE;12215,042687500001;12167,293312500002;12073,5223125
Media NE;13550,255416666667;13357,79677083333;13311,796354166667
Pesada NE;14272,46525;13897,711874999999;13936,715375
Leve N;6537,469187500001;6553,9561250000015;6312,131125
Media N;7049,674479166667;7041,065208333333;6881,072499999999
Pesada N;7413,881875000001;7408,77875;7308,865875
