;Unnamed: 0.1;MLP_Seco;MLP_S;MLP_NE;MLP_N;MLP_SIN;LSTM_Seco;LSTM_S;LSTM_NE;LSTM_N;LSTM_SIN;GRU_Seco;GRU_S;GRU_NE;GRU_N;GRU_SIN;Prev_ONS_Seco;Prev_ONS_S;Prev_ONS_NE;Prev_ONS_N;Prev ONS_SIN;SECO Carga Verificada;S Carga Verificada;NE Carga Verificada;N Carga Verificada;SIN Carga Verificada;MAPE MLP Seco;MAPE MLP S;MAPE MLP NE;MAPE MLP N;MAPE MLP SIN;MAPE LSTM Seco;MAPE LSTM S;MAPE LSTM NE;MAPE LSTM N;MAPE LSTM SIN;MAPE GRU Seco;MAPE GRU S;MAPE GRU NE;MAPE GRU N;MAPE GRU SIN;MAPE ONS Seco;MAPE ONS S;MAPE ONS NE;MAPE ONS N;MAPE ONS SIN;MAE MLP Seco;MAE MLP S;MAE MLP NE;MAE MLP N;MAE MLP SIN;MAE LSTM Seco;MAE LSTM S;MAE LSTM NE;MAE LSTM N;MAE LSTM SIN;MAE GRU Seco;MAE GRU S;MAE GRU NE;MAE GRU N;MAE GRU SIN;MAE ONS Seco;MAE ONS S;MAE ONS NE;MAE ONS N;MAE ONS SIN
10;10;35819,22;11038,23;12797,04;6893,36;66547,85;34297,22;10902,03;12596,81;6996,04;64792,1;34517,47;10563,43;12719,05;6840,75;64640,7;35558,07;12572,59;11801,49;6748,18;66680,33;33233,81;10163,65;11656,68;7045,19;62099,34;7,78;8,6;9,78;2,16;7,16;3,2;7,26;8,07;0,7;4,34;3,86;3,93;9,11;2,9;4,09;6,99;23,7;1,24;4,22;7,38;2585,41;874,58;1140,36;-151,83;4448,51;1063,41;738,38;940,13;-49,15;2692,76;1283,66;399,78;1062,37;-204,44;2541,36;2324,26;2408,94;144,81;-297,01;4580,99
11;11;36212,98;11165,21;12591,67;6870,21;66840,07;34366,64;10906,36;12316,01;6959,73;64548,74;34688,26;10609,99;12420,0;6793,84;64512,09;35480,1;12731,63;11454,31;6725,13;66391,17;33256,46;10139,56;11378,01;7000,33;61774,36;8,89;10,12;10,67;1,86;8,2;3,34;7,56;8,24;0,58;4,49;4,31;4,64;9,16;2,95;4,43;6,69;25,56;0,67;3,93;7,47;2956,52;1025,65;1213,66;-130,12;5065,71;1110,18;766,8;938,0;-40,6;2774,38;1431,8;470,43;1041,99;-206,49;2737,73;2223,64;2592,07;76,3;-275,2;4616,81
12;12;36783,97;11368,85;12308,38;6815,35;67276,55;34530,64;10970,1;11979,5;6880,89;64361,13;34989,14;10710,12;12069,01;6717,32;64485,59;35598,93;12971,91;10982,27;6630,12;66183,23;33356,45;10175,45;11065,69;6923,01;61520,6;10,28;11,73;11,23;1,56;9,36;3,52;7,81;8,26;0,61;4,62;4,89;5,25;9,07;2,97;4,82;6,72;27,48;0,75;4,23;7,58;3427,52;1193,4;1242,69;-107,66;5755,95;1174,19;794,65;913,81;-42,12;2840,53;1632,69;534,67;1003,32;-205,69;2964,99;2242,48;2796,46;-83,42;-292,89;4662,63
13;13;37468,7;11635,99;12029,99;6670,26;67804,94;34915,46;11145,32;11739,01;6731,06;64530,85;35495,22;10917,35;11819,88;6579,98;64812,43;36829,43;13144,59;10914,13;6441,9;67330,05;33700,85;10331,73;10913,37;6794,96;61740,9;11,18;12,62;10,23;1,84;9,82;3,6;7,87;7,57;0,94;4,52;5,32;5,67;8,31;3,16;4,97;9,28;27,23;0,01;5,2;9,05;3767,85;1304,26;1116,62;-124,7;6064,04;1214,61;813,59;825,64;-63,9;2789,95;1794,37;585,62;906,51;-214,98;3071,53;3128,58;2812,86;0,76;-353,06;5589,15
14;14;38334,15;12026,16;11904,82;6508,52;68773,65;35677,15;11509,15;11695,56;6585,36;65467,22;36383,14;11292,46;11757,66;6424,45;65857,71;37431,14;13604,53;11038,71;6244,72;68319,1;34412,33;10661,62;10964,9;6666,37;62705,22;11,4;12,8;8,57;2,37;9,68;3,68;7,95;6,66;1,22;4,4;5,73;5,92;7,23;3,63;5,03;8,77;27,6;0,67;6,33;8,95;3921,82;1364,54;939,92;-157,85;6068,43;1264,82;847,53;730,66;-81,01;2762,0;1970,81;630,84;792,76;-241,92;3152,49;3018,81;2942,91;73,81;-421,65;5613,88
15;15;39454,36;12590,59;12053,42;6421,87;70520,24;36894,56;12101,29;11902,67;6529,87;67428,39;37759,68;11867,03;11923,15;6310,0;67859,86;39271,4;14651,97;11720,43;6212,24;71856,04;35546,46;11180,17;11212,43;6592,45;64531,51;10,99;12,62;7,5;2,59;9,28;3,79;8,24;6,16;0,95;4,49;6,23;6,14;6,34;4,28;5,16;10,48;31,05;4,53;5,77;11,35;3907,9;1410,42;840,99;-170,58;5988,73;1348,1;921,12;690,24;-62,58;2896,88;2213,22;686,86;710,72;-282,45;3328,35;3724,94;3471,8;508,0;-380,21;7324,53
16;16;40801,28;13274,49;12419,61;6442,26;72937,64;38307,8;12786,71;12274,55;6591,06;69960,12;39350,74;12548,29;12248,77;6288,47;70436,27;40547,14;15558,81;11824,66;6331,24;74261,85;36935,01;11756,86;11590,9;6579,9;66862,68;10,47;12,91;7,15;2,09;9,09;3,72;8,76;5,9;0,17;4,63;6,54;6,73;5,68;4,43;5,34;9,78;32,34;2,02;3,78;11,07;3866,27;1517,63;828,71;-137,64;6074,96;1372,79;1029,85;683,65;11,16;3097,44;2415,73;791,43;657,87;-291,43;3573,59;3612,13;3801,95;233,76;-248,66;7399,17
17;17;42289,74;13981,15;12897,0;6570,89;75738,78;39621,56;13405,88;12694,13;6760,58;72482,15;40833,03;13209,57;12635,48;6387,84;73065,92;42043,16;16322,01;12260,28;6600,98;77226,43;38358,55;12260,65;12016,01;6621,95;69257,16;10,25;14,03;7,33;0,77;9,36;3,29;9,34;5,64;2,09;4,66;6,45;7,74;5,16;3,54;5,5;9,61;33,13;2,03;0,32;11,51;3931,19;1720,5;880,99;-51,06;6481,62;1263,01;1145,23;678,12;138,63;3224,99;2474,48;948,92;619,47;-234,11;3808,76;3684,61;4061,36;244,27;-20,97;7969,27
18;18;43708,21;14552,21;13354,98;6745,73;78361,13;40737,39;13876,19;13058,24;6950,29;74622,11;42067,32;13712,83;12966,64;6547,96;75294,75;43487,18;16772,9;12568,41;6831,12;79659,61;39616,63;12703,92;12383,57;6706,26;71410,37;10,33;14,55;7,84;0,59;9,73;2,83;9,23;5,45;3,64;4,5;6,19;7,94;4,71;2,36;5,44;9,77;32,03;1,49;1,86;11,55;4091,58;1848,29;971,41;39,47;6950,76;1120,76;1172,27;674,67;244,03;3211,74;2450,69;1008,91;583,07;-158,3;3884,38;3870,55;4068,98;184,84;124,86;8249,24
19;19;44866,82;14875,76;13693,06;6902,17;80337,81;41629,81;14168,16;13295,97;7077,78;76171,72;43001,68;13976,57;13157,79;6699,83;76835,87;43984,61;17198,12;12733,62;6898,07;80814,42;40578,72;13118,29;12615,79;6819,16;73131,96;10,57;13,4;8,54;1,22;9,85;2,59;8,0;5,39;3,79;4,16;5,97;6,54;4,3;1,75;5,06;8,39;31,1;0,93;1,16;10,5;4288,1;1757,47;1077,27;83,01;7205,85;1051,09;1049,87;680,18;258,62;3039,76;2422,96;858,28;542,0;-119,33;3703,91;3405,89;4079,83;117,83;78,91;7682,46
