Patamares;MLP;LSTM;GRU;ONS
Leve SECO;36963,194871794876;36860,900769230764;36758,43365384616;37614,43525641026
Media SECO;44546,95109999999;43651,50690000001;43715,64039999998;45014,73429999999
Pesada SECO;47283,570250000004;46424,124749999995;46366,734625;47513,32125
Leve S;11241,541153846154;11367,840705128207;11100,454615384615;12982,263974358977
Media S;14077,695999999998;13957,306699999997;13822,3832;16391,600300000002
Pesada S;15037,05875;14702,090875;14596,225;17102,085875
Leve NE;12366,32076923077;12322,433717948716;12310,416474358974;12463,53237179487
Media NE;13577,015;13323,6002;13207,774099999999;13675,035799999998
Pesada NE;13877,262874999997;13578,408625;13542,885874999998;13855,080125000002
Leve N;6709,736217948718;6736,027435897435;6584,630192307692;6725,89858974359
Media N;6936,991900000001;6971,0535;6760,6576000000005;7057,325500000001
Pesada N;7193,204124999999;7116,898874999999;6899,56425;7254,440375
