Patamares;MLP;LSTM;GRU
Leve SECO;38208,934187499995;38127,8889375;37928,1344375
Media SECO;45588,73989583333;44997,23166666667;44640,90989583333
Pesada SECO;48796,925125;48421,272625;47730,154125
Leve S;11510,501624999999;11588,710125000001;11463,1460625
Media S;14327,001666666665;13980,593541666667;14039,18625
Pesada S;16040,127250000001;15905,437249999999;15570,072249999997
Leve NE;12040,8641875;11979,530312500001;11775,9959375
Media NE;13375,011354166665;13209,856458333334;13019,779166666667
Pesada NE;14117,883250000003;13746,763500000001;13645,524249999999
Leve N;6515,486999999999;6513,178437500001;6333,386312500001
Media N;7071,939895833334;6997,871041666668;6927,408958333333
Pesada N;7434,291875000001;7336,5543750000015;7339,1685
