Patamares;MLP;LSTM;GRU;ONS
Leve SECO;38254,40967948718;38185,939294871794;37982,085576923084;39464,18307692307
Media SECO;45609,58869999999;45052,2946;44644,924699999996;46957,341000000015
Pesada SECO;48313,196625000004;47895,778625;47284,292125;49345,371125
Leve S;11563,259166666669;11613,912564102564;11482,30532051282;10810,578333333335
Media S;14496,6324;14321,3412;14220,622599999997;13373,384700000002
Pesada S;15584,386625;15310,763749999998;15177,114249999999;13957,485250000002
Leve NE;12191,890256410255;12109,949807692306;12010,597628205129;12675,988653846156
Media NE;13409,1075;13201,255999999996;12916,452100000002;14058,044400000002
Pesada NE;13714,054875000002;13441,67975;13255,020625;14164,941
Leve N;6693,8766025641025;6694,241217948716;6610,505512820513;6535,675705128205
Media N;6938,7165;6898,7203;6767,1263;6832,985599999997
Pesada N;7225,13875;7083,18575;6969,438250000001;7024,651125000001
