;Unnamed: 0.1;MLP_Seco;MLP_S;MLP_NE;MLP_N;MLP_SIN;LSTM_Seco;LSTM_S;LSTM_NE;LSTM_N;LSTM_SIN;GRU_Seco;GRU_S;GRU_NE;GRU_N;GRU_SIN;Prev_ONS_Seco;Prev_ONS_S;Prev_ONS_NE;Prev_ONS_N;Prev ONS_SIN;SECO Carga Verificada;S Carga Verificada;NE Carga Verificada;N Carga Verificada;SIN Carga Verificada;MAPE MLP Seco;MAPE MLP S;MAPE MLP NE;MAPE MLP N;MAPE MLP SIN;MAPE LSTM Seco;MAPE LSTM S;MAPE LSTM NE;MAPE LSTM N;MAPE LSTM SIN;MAPE GRU Seco;MAPE GRU S;MAPE GRU NE;MAPE GRU N;MAPE GRU SIN;MAPE ONS Seco;MAPE ONS S;MAPE ONS NE;MAPE ONS N;MAPE ONS SIN;MAE MLP Seco;MAE MLP S;MAE MLP NE;MAE MLP N;MAE MLP SIN;MAE LSTM Seco;MAE LSTM S;MAE LSTM NE;MAE LSTM N;MAE LSTM SIN;MAE GRU Seco;MAE GRU S;MAE GRU NE;MAE GRU N;MAE GRU SIN;MAE ONS Seco;MAE ONS S;MAE ONS NE;MAE ONS N;MAE ONS SIN
0;0,0;42137,52;12825,31;13782,44;7606,33;76351,6;41702,41;13715,01;13560,25;7508,61;76486,28;42213,36;13626,11;13741,49;7686,08;77267,04;42003,54;12496,62;13894,58;7085,72;75480,46;42812,7;12723,79;13841,53;7603,41;76981,43;1,58;0,8;0,43;0,04;0,82;2,59;7,79;2,03;1,25;0,64;1,4;7,09;0,72;1,09;0,37;1,89;1,79;0,38;6,81;1,95;-675,18;101,52;-59,09;2,92;-629,83;-1110,28;991,22;-281,28;-94,8;-495,15;-599,33;902,32;-100,04;82,67;285,61;-809,15;-227,17;53,05;-517,69;-1500,97
1;1,0;40745,88;12406,68;13520,12;7551,19;74223,87;40459,58;13230,19;13341,57;7464,71;74496,05;40830,57;13097,24;13495,1;7626,85;75049,76;41552,43;12386,48;13781,12;7084,78;74804,81;41686,45;12277,96;13633,12;7561,5;75159,03;2,26;1,05;0,83;0,14;1,24;2,94;7,76;2,14;1,28;0,88;2,05;6,67;1,01;0,86;0,15;0,32;0,88;1,09;6,3;0,47;-940,57;128,72;-113,0;-10,31;-935,16;-1226,87;952,23;-291,55;-96,79;-662,98;-855,88;819,28;-138,02;65,35;-109,27;-134,02;108,52;148,0;-476,72;-354,22
2;2,0;39490,34;12021,66;13276,74;7489,89;72278,63;39282,21;12779,55;13132,81;7414,76;72609,33;39530,79;12627,3;13271,46;7549,75;72979,3;40783,39;11789,57;13613,86;7017,26;73204,08;40606,59;11877,39;13433,49;7509,78;73427,25;2,75;1,21;1,17;0,26;1,56;3,26;7,6;2,24;1,27;1,11;2,65;6,31;1,21;0,53;0,61;0,44;0,74;1,34;6,56;0,3;-1116,25;144,27;-156,75;-19,89;-1148,62;-1324,38;902,16;-300,68;-95,02;-817,92;-1075,8;749,91;-162,03;39,97;-447,95;176,8;-87,82;180,37;-492,52;-223,17
3;3,0;38471,24;11697,05;13065,67;7417,45;70651,41;38233,45;12391,61;12942,77;7354,42;70922,25;38391,36;12256,09;13085,86;7445,47;71178,78;39830,69;11558,7;13385,32;6944,76;71719,47;39620,63;11552,82;13249,68;7442,12;71865,25;2,9;1,25;1,39;0,33;1,69;3,5;7,26;2,32;1,18;1,31;3,1;6,09;1,24;0,05;0,96;0,53;0,05;1,02;6,68;0,2;-1149,39;144,23;-184,01;-24,67;-1213,84;-1387,18;838,79;-306,91;-87,7;-943,0;-1229,27;703,27;-163,82;3,35;-686,47;210,06;5,88;135,64;-497,36;-145,78
4;4,0;37645,78;11432,42;12878,1;7333,55;69289,85;37367,13;12072,14;12775,95;7286,23;69501,45;37466,96;11946,85;12923,76;7338,75;69676,32;39056,94;11156,37;13237,57;6893,22;70344,1;38780,66;11276,82;13081,77;7367,23;70506,48;2,93;1,38;1,56;0,46;1,73;3,64;7,05;2,34;1,1;1,43;3,39;5,94;1,21;0,39;1,18;0,71;1,07;1,19;6,43;0,23;-1134,88;155,6;-203,67;-33,68;-1216,63;-1413,53;795,32;-305,82;-81,0;-1005,03;-1313,7;670,03;-158,01;-28,48;-830,16;276,28;-120,45;155,8;-474,01;-162,38
5;5,0;36954,41;11219,9;12702,99;7240,8;68118,1;36712,62;11819,34;12632,16;7213,6;68377,72;36785,61;11660,86;12768,27;7253,17;68467,91;38584,21;10990,05;13156,15;6734,29;69464,7;38119,49;11020,25;12925,98;7295,83;69361,54;3,06;1,81;1,73;0,75;1,79;3,69;7,25;2,27;1,13;1,42;3,5;5,81;1,22;0,58;1,29;1,22;0,27;1,78;7,7;0,15;-1165,08;199,65;-222,99;-55,03;-1243,44;-1406,87;799,09;-293,82;-82,23;-983,82;-1333,88;640,61;-157,71;-42,66;-893,63;464,72;-30,2;230,17;-561,54;103,16
6;6,0;36413,58;11049,18;12542,77;7148,85;67154,38;36210,8;11624,02;12496,8;7136,69;67468,31;36291,34;11428,16;12622,8;7173,51;67515,81;38155,39;10728,19;13075,4;6694,52;68653,5;37588,29;10805,16;12770,2;7231,98;68395,62;3,13;2,26;1,78;1,15;1,81;3,66;7,58;2,14;1,32;1,36;3,45;5,77;1,15;0,81;1,29;1,51;0,71;2,39;7,43;0,38;-1174,71;244,02;-227,43;-83,13;-1241,24;-1377,49;818,86;-273,4;-95,29;-927,31;-1296,95;623,0;-147,4;-58,47;-879,81;567,1;-76,97;305,2;-537,46;257,88
7;7,0;36047,78;10912,18;12405,99;7066,29;66432,24;35808,31;11476,98;12362,55;7056,99;66704,83;35925,78;11282,86;12498,56;7082,32;66789,52;37581,74;10544,21;13001,87;6594,12;67721,94;37144,68;10657,28;12611,67;7176,16;67589,79;2,95;2,39;1,63;1,53;1,71;3,6;7,69;1,98;1,66;1,31;3,28;5,87;0,9;1,31;1,18;1,18;1,06;3,09;8,11;0,2;-1096,9;254,9;-205,68;-109,87;-1157,55;-1336,37;819,7;-249,12;-119,17;-884,96;-1218,9;625,58;-113,11;-93,84;-800,27;437,06;-113,07;390,2;-582,04;132,15
8;8,0;35837,61;10812,25;12312,3;6990,41;65952,57;35563,43;11376,49;12265,43;6984,61;66189,96;35705,09;11206,48;12417,46;6992,02;66321,05;37396,68;10516,54;12927,21;6535,06;67375,49;36853,74;10565,72;12493,37;7121,38;67034,21;2,76;2,33;1,45;1,84;1,61;3,5;7,67;1,82;1,92;1,26;3,12;6,06;0,61;1,82;1,06;1,47;0,47;3,47;8,23;0,51;-1016,13;246,53;-181,07;-130,97;-1081,64;-1290,31;810,77;-227,94;-136,77;-844,25;-1148,65;640,76;-75,91;-129,36;-713,16;542,94;-49,18;433,84;-586,32;341,28
9;9,0;35765,77;10758,35;12263,79;6919,27;65707,18;35520,06;11320,5;12220,04;6929,51;65990,11;35648,06;11172,41;12377,51;6919,0;66116,98;37363,41;10495,05;12866,52;6484,81;67209,79;36767,7;10514,84;12433,32;7063,33;66779,18;2,73;2,32;1,36;2,04;1,61;3,39;7,66;1,72;1,89;1,18;3,05;6,25;0,45;2,04;0,99;1,62;0,19;3,48;8,19;0,64;-1001,93;243,51;-169,53;-144,06;-1072,0;-1247,64;805,66;-213,28;-133,82;-789,07;-1119,64;657,57;-55,81;-144,33;-662,2;595,71;-19,79;433,2;-578,52;430,61
10;10,0;35867,17;10770,44;12181,25;6865,21;65684,07;35552,9;11298,2;12111,98;6892,39;65855,47;35709,82;11173,97;12270,05;6865,51;66019,35;37475,96;10505,98;12645,81;6426,67;67054,42;36780,12;10506,47;12303,88;7015,92;66606,4;2,48;2,51;1,0;2,15;1,38;3,34;7,54;1,56;1,76;1,13;2,91;6,35;0,27;2,14;0,88;1,89;0,0;2,78;8,4;0,67;-912,96;263,97;-122,63;-150,71;-922,33;-1227,22;791,73;-191,9;-123,53;-750,93;-1070,31;667,5;-33,83;-150,41;-587,05;695,83;-0,49;341,93;-589,25;448,02
11;11,0;36178,44;10862,0;11991,62;6831,06;65863,12;35544,86;11303,35;11845,92;6862,16;65556,29;35843,07;11212,3;12006,07;6822,31;65883,75;37847,3;10679,08;12279,12;6401,48;67206,98;36786,9;10548,27;12001,91;6982,48;66319,57;1,65;2,97;0,09;2,17;0,69;3,38;7,16;1,3;1,72;1,15;2,57;6,3;0,03;2,29;0,66;2,88;1,24;2,31;8,32;1,34;-608,46;313,73;-10,29;-151,42;-456,45;-1242,04;755,08;-155,99;-120,32;-763,28;-943,83;664,03;4,16;-160,17;-435,82;1060,4;130,81;277,21;-581,0;887,41
12;12,0;36690,74;11009,63;11727,55;6767,44;66195,36;35580,84;11356,68;11531,75;6789,73;65259,0;36054,56;11299,66;11681,61;6748,08;65783,91;38617,21;10681,76;11981,72;6328,38;67609,07;36851,86;10653,85;11667,8;6905,67;66079,18;0,44;3,34;0,51;2,0;0,18;3,45;6,6;1,17;1,68;1,24;2,16;6,06;0,12;2,28;0,45;4,79;0,26;2,69;8,36;2,32;-161,12;355,78;59,75;-138,23;116,18;-1271,02;702,83;-136,05;-115,94;-820,18;-797,3;645,81;13,81;-157,59;-295,27;1765,35;27,91;313,92;-577,29;1529,89
13;13,0;37388,26;11201,63;11466,17;6634,94;66691,0;35816,67;11496,5;11319,09;6643,2;65275,46;36404,67;11464,97;11430,49;6611,18;65911,31;39412,66;10901,82;11730,2;6173,23;68217,91;37102,63;10852,66;11478,07;6744,02;66177,38;0,77;3,22;0,1;1,62;0,78;3,47;5,93;1,39;1,49;1,36;1,88;5,64;0,41;1,97;0,4;6,23;0,45;2,2;8,46;3,08;285,63;348,97;-11,9;-109,08;513,62;-1285,96;643,84;-158,98;-100,82;-901,92;-697,96;612,31;-47,58;-132,84;-266,07;2310,03;49,16;252,13;-570,79;2040,53
14;14,0;38272,73;11509,97;11356,76;6486,22;67625,68;36489,85;11804,37;11311,17;6497,25;66102,64;37114,07;11792,58;11352,63;6450,54;66709,82;39717,94;11193,94;11863,03;5964,57;68739,48;37754,18;11231,55;11510,44;6580,16;67076,33;1,37;2,48;1,34;1,43;0,82;3,35;5,1;1,73;1,26;1,45;1,7;5,0;1,37;1,97;0,55;5,2;0,33;3,06;9,36;2,48;518,55;278,42;-153,68;-93,94;549,35;-1264,33;572,82;-199,27;-82,91;-973,69;-640,11;561,03;-157,81;-129,62;-366,51;1963,76;-37,61;352,59;-615,59;1663,15
15;15,0;39355,75;11995,17;11521,32;6390,72;69262,96;37739,81;12333,45;11561,49;6436,99;68071,74;38339,2;12340,15;11506,58;6322,12;68508,05;41334,15;12095,35;12383,1;5928,71;71741,31;38943,98;11839,64;11786,55;6507,61;69077,78;1,06;1,31;2,25;1,8;0,27;3,09;4,17;1,91;1,09;1,46;1,55;4,23;2,38;2,85;0,82;6,14;2,16;5,06;8,9;3,86;411,77;155,53;-265,23;-116,89;185,18;-1204,17;493,81;-225,06;-70,62;-1006,04;-604,78;500,51;-279,97;-185,49;-569,73;2390,17;255,71;596,55;-578,9;2663,53
16;16,0;40670,78;12588,34;11900,51;6392,88;71552,51;39232,0;12980,02;11971,21;6482,57;70665,8;39819,12;13002,97;11819,55;6279,22;70920,86;42724,28;12646,52;12904,72;6027,42;74302,94;40412,34;12517,56;12202,7;6539,39;71671,98;0,64;0,57;2,48;2,24;0,17;2,92;3,69;1,9;0,87;1,4;1,47;3,88;3,14;3,98;1,05;5,72;1,03;5,75;7,83;3,67;258,44;70,78;-302,19;-146,51;-119,47;-1180,34;462,46;-231,49;-56,82;-1006,18;-593,22;485,41;-383,15;-260,17;-751,12;2311,94;128,96;702,02;-511,97;2630,96
17;17,0;42193,33;13185,69;12384,93;6510,86;74274,81;40589,56;13606,4;12411,5;6622,17;73229,63;41229,52;13640,13;12183,33;6353,41;73406,39;43925,59;13014,61;13492,82;6262,38;76695,4;41840,15;13082,95;12636,67;6656,32;74216,08;0,84;0,79;1,99;2,19;0,08;2,99;4,0;1,78;0,51;1,33;1,46;4,26;3,59;4,55;1,09;4,98;0,52;6,78;5,92;3,34;353,18;102,74;-251,74;-145,46;58,73;-1250,59;523,45;-225,17;-34,15;-986,45;-610,63;557,18;-453,34;-302,91;-809,69;2085,44;-68,34;856,15;-393,94;2479,32
18;18,0;43645,0;13673,32;12846,14;6682,62;76847,08;41740,37;14096,07;12786,27;6781,2;75403,91;42409,88;14128,03;12479,48;6492,03;75509,42;45109,62;13277,44;13844,02;6492,09;78723,17;43067,9;13470,01;13017,35;6791,11;76346,37;1,34;1,51;1,32;1,6;0,66;3,08;4,65;1,78;0,15;1,23;1,53;4,89;4,13;4,4;1,1;4,74;1,43;6,35;4,4;3,11;577,1;203,31;-171,21;-108,49;500,71;-1327,53;626,06;-231,08;-9,91;-942,46;-658,02;658,02;-537,87;-299,08;-836,95;2041,72;-192,57;826,67;-299,02;2376,8
19;19,0;44766,89;13975,6;13182,71;6838,61;78763,81;42696,45;14380,53;13033,75;6890,0;77000,73;43284,41;14395,35;12627,0;6631,2;76937,96;45717,19;13776,88;13924,94;6579,06;79998,07;44008,74;13674,0;13296,48;6885,47;77864,7;1,72;2,21;0,86;0,68;1,15;2,98;5,17;1,98;0,07;1,11;1,65;5,28;5,04;3,69;1,19;3,88;0,75;4,73;4,45;2,74;758,15;301,6;-113,77;-46,86;899,11;-1312,29;706,53;-262,73;4,53;-863,97;-724,33;721,35;-669,48;-254,27;-926,74;1708,45;102,88;628,46;-306,41;2133,37
20;20,0;45631,85;14180,2;13420,25;6959,36;80191,66;43501,61;14562,37;13196,95;6961,46;78222,39;43952,4;14562,4;12704,88;6746,37;77966,05;46733,57;14094,53;14088,52;6658,94;81575,56;44706,82;13817,82;13465,84;6965,38;78955,85;2,07;2,62;0,34;0,09;1,57;2,7;5,39;2,0;0,06;0,93;1,69;5,39;5,65;3,14;1,25;4,53;2,0;4,62;4,4;3,32;925,03;362,38;-45,59;-6,02;1235,81;-1205,21;744,55;-268,89;-3,91;-733,46;-754,42;744,58;-760,97;-219,01;-989,8;2026,75;276,71;622,68;-306,44;2619,71
