Patamares;MLP;LSTM;GRU;ONS
Leve SECO;40311,388141025636;39836,80948717948;39136,23275641026;42747,57365384615
Media SECO;45677,573500000006;45737,1692;45174,5635;49823,51500000001
Pesada SECO;47272,212875000005;47607,80175;46963,996250000004;51962,00325
Leve S;12155,022243589745;12210,688269230768;11791,824935897435;12155,91467948718
Media S;14853,857100000001;14637,559000000001;14151,130699999998;15254,528400000001
Pesada S;15821,035125;15394,750124999997;14912,13175;16096,705249999999
Leve NE;12563,509807692308;12634,613012820513;12645,647692307693;12650,573141025641
Media NE;13518,995399999998;13721,266899999999;13709,588700000004;13849,088899999999
Pesada NE;13763,513749999998;13904,12;13874,980124999998;13883,910125
Leve N;7178,16564102564;7277,219294871795;7042,370256410255;7085,215192307693
Media N;7383,809800000002;7537,4223;7260,1876;7387,718600000001
Pesada N;7657,566125;7749,945750000001;7510,060875;7555,011375
