Patamares;MLP;LSTM;GRU
Leve SECO;39252,384062499994;39289,064437500005;38674,060875
Media SECO;46027,660104166665;46205,526875;45598,893125
Pesada SECO;49238,426375;48436,280625;47681,061
Leve S;12129,4453125;12128,89225;11710,225875
Media S;14790,959270833331;14677,82125;14167,7975
Pesada S;16082,608124999999;15631,371;15173,295000000002
Leve NE;12367,662;12506,0050625;12481,6206875
Media NE;13602,946770833334;13701,765520833333;13693,039166666667
Pesada NE;14102,242000000002;14239,07025;14276,090625
Leve N;6988,6981875;7122,89175;6815,752062500001
Media N;7524,897812499999;7632,6092708333335;7422,474583333334
Pesada N;7877,4776249999995;7957,386624999999;7779,44375
