;MLP_Seco;MLP_S;MLP_NE;MLP_N;MLP_SIN;LSTM_Seco;LSTM_S;LSTM_NE;LSTM_N;LSTM_SIN;GRU_Seco;GRU_S;GRU_NE;GRU_N;GRU_SIN;Prev_ONS_Seco;Prev_ONS_S;Prev_ONS_NE;Prev_ONS_N;Prev ONS_SIN
0;47224,13;15489,56;13701,11;7672,67;84087,47;46699,84;15464,38;13960,17;7725,4;83849,78;46756,76;14954,31;14050,09;7883,32;83644,48;45787,16;15458,77;13659,01;7647,03;82551,97
1;45701,68;14936,88;13455,82;7614,8;81709,19;45264,98;14895,87;13714,11;7673,77;81548,74;45365,8;14453,33;13782,72;7820,96;81422,82;44939,36;14846,95;13445,28;7557,25;80788,85
2;44295,36;14435,66;13221,53;7552,75;79505,3;43962,61;14385,3;13477,62;7611,88;79437,41;44087,77;14001,31;13542,11;7742,56;79373,75;43665,28;14370,16;13238,75;7478,12;78752,31
3;43103,57;14022,76;13006,82;7482,96;77616,1;42892,57;13976,52;13260,05;7534,51;77663,66;43005,24;13631,7;13344,87;7638,82;77620,63;42558,67;13989,58;13020,72;7435,95;77004,92
4;42153,74;13676,6;12810,71;7404,31;76045,36;42024,04;13657,21;13070,04;7456,62;76207,91;42079,56;13315,66;13167,1;7527,47;76089,78;41679,04;13653,7;12840,96;7380,22;75553,92
5;41435,92;13372,17;12631,22;7317,83;74757,15;41302,81;13401,46;12912,49;7391,69;75008,45;41264,49;13023,94;12985,29;7427,18;74700,9;41023,7;13350,81;12691,63;7302,17;74368,3
6;40861,51;13129,08;12471,84;7230,53;73692,97;40711,68;13185,27;12778,25;7327,13;74002,33;40604,88;12787,78;12818,13;7333,32;73544,11;40525,11;13127,22;12553,6;7225,16;73431,08
7;40357,41;12967,55;12340,96;7149,1;72815,03;40249,71;12993,79;12662,78;7250,33;73156,61;40149,38;12636,79;12691,71;7238,43;72716,31;40285,63;12967,29;12434,05;7125,14;72812,12
8;39991,21;12865,7;12260,96;7072,9;72190,76;39943,88;12846,82;12594,17;7174,77;72559,65;39871,07;12533,71;12619,45;7146,89;72171,12;40021,37;12854,32;12333,48;7068,72;72277,89
9;39843,66;12803,94;12234,08;7002,11;71883,79;39813,83;12768,74;12576,08;7116,75;72275,41;39729,16;12446,26;12586,54;7066,91;71828,88;39725,62;12782,91;12321,36;6997,98;71827,86
10;39907,64;12814,09;12168,02;6947,4;71837,16;39822,08;12767,42;12481,75;7077,76;72149,0;39703,13;12428,8;12477,84;7010,2;71619,98;39754,03;12810,28;12144,4;6966,99;71675,7
11;40152,43;12927,02;11979,29;6910,58;71969,32;39927,69;12837,39;12209,91;7046,6;72021,6;39770,72;12525,57;12204,78;6975,92;71476,99;40048,24;12963,24;11796,03;6935,61;71743,12
12;40540,8;13118,21;11714,29;6847,48;72220,77;40133,06;12936,27;11891,76;6976,3;71937,38;39882,44;12653,53;11885,52;6909,48;71330,97;40411,38;13054,77;11511,62;6837,14;71814,91
13;41074,77;13377,82;11462,74;6723,11;72638,45;40506,28;13061,59;11696,49;6837,49;72101,85;40070,17;12757,41;11675,93;6767,99;71271,5;40847,86;13071,73;11361,94;6672,28;71953,82
