;MLP_Seco;MLP_S;MLP_NE;MLP_N;MLP_SIN;LSTM_Seco;LSTM_S;LSTM_NE;LSTM_N;LSTM_SIN;GRU_Seco;GRU_S;GRU_NE;GRU_N;GRU_SIN;Prev_ONS_Seco;Prev_ONS_S;Prev_ONS_NE;Prev_ONS_N;Prev ONS_SIN;SECO Carga Verificada;S Carga Verificada;NE Carga Verificada;N Carga Verificada;SIN Carga Verificada;MAPE MLP Seco;MAPE MLP S;MAPE MLP NE;MAPE MLP N;MAPE MLP SIN;MAPE LSTM Seco;MAPE LSTM S;MAPE LSTM NE;MAPE LSTM N;MAPE LSTM SIN;MAPE GRU Seco;MAPE GRU S;MAPE GRU NE;MAPE GRU N;MAPE GRU SIN;MAPE ONS Seco;MAPE ONS S;MAPE ONS NE;MAPE ONS N;MAPE ONS SIN;MAE MLP Seco;MAE MLP S;MAE MLP NE;MAE MLP N;MAE MLP SIN;MAE LSTM Seco;MAE LSTM S;MAE LSTM NE;MAE LSTM N;MAE LSTM SIN;MAE GRU Seco;MAE GRU S;MAE GRU NE;MAE GRU N;MAE GRU SIN;MAE ONS Seco;MAE ONS S;MAE ONS NE;MAE ONS N;MAE ONS SIN
10;36936,41;10367,52;12052,39;6469,63;65825,95;35937,52;10558,81;12110,39;6853,66;65460,38;36006,55;10390,18;12120,76;6812,74;65330,23;36997,96;10649,41;11922,16;6756,68;66326,21;35989,88;10301,06;12014,98;6570,37;64876,28;2,63;0,65;0,31;1,53;1,46;0,15;2,5;0,79;4,31;0,9;0,05;0,87;0,88;3,69;0,7;2,8;3,38;0,77;2,84;2,23;946,53;66,46;37,41;-100,74;949,67;-52,36;257,75;95,41;283,29;584,1;16,67;89,12;105,78;242,37;453,95;1008,08;348,35;-92,82;186,31;1449,93
11;36700,99;10285,93;11803,0;6431,45;65221,37;35578,77;10484,64;11794,98;6804,55;64662,94;35594,54;10319,48;11807,51;6757,51;64479,04;36474,68;10349,95;11521,24;6752,45;65098,32;35699,72;10165,08;11706,71;6561,5;64133,02;2,8;1,19;0,82;1,98;1,7;0,34;3,14;0,75;3,7;0,83;0,29;1,52;0,86;2,99;0,54;2,17;1,82;1,58;2,91;1,51;1001,27;120,85;96,29;-130,05;1088,35;-120,95;319,56;88,27;243,05;529,92;-105,18;154,4;100,8;196,01;346,02;774,96;184,87;-185,47;190,95;965,3
12;36287,38;10166,44;11445,91;6365,45;64265,18;35113,49;10354,11;11395,2;6722,33;63585,13;35062,5;10161,25;11397,93;6669,75;63291,43;35932,39;10203,38;11169,46;6629,4;63934,63;35317,08;9997,58;11335,43;6509,67;63159,76;2,75;1,69;0,97;2,22;1,75;0,58;3,57;0,53;3,27;0,67;0,72;1,64;0,55;2,46;0,21;1,74;2,06;1,46;1,84;1,23;970,3;168,86;110,48;-144,22;1105,42;-203,59;356,53;59,77;212,66;425,37;-254,58;163,67;62,5;160,08;131,67;615,31;205,8;-165,97;119,73;774,87
13;35628,95;9995,38;11079,49;6240,69;62944,51;34610,25;10172,7;11044,58;6588,84;62416,37;34479,97;9889,19;11011,66;6513,77;61894,59;35210,55;10070,32;10816,94;6470,46;62568,27;34845,65;9874,14;11041,21;6387,99;62149,0;2,25;1,23;0,35;2,31;1,28;0,68;3,02;0,03;3,14;0,43;1,05;0,15;0,27;1,97;0,41;1,05;1,99;2,03;1,29;0,67;783,3;121,24;38,28;-147,3;795,51;-235,4;298,56;3,37;200,85;267,37;-365,68;15,05;-29,55;125,78;-254,41;364,9;196,18;-224,27;82,47;419,27
14;35160,79;9912,05;10823,5;6093,93;61990,27;34386,13;10137,65;10820,36;6447,91;61792,05;34162,32;9708,41;10743,17;6338,31;60952,21;35175,32;10172,29;10704,02;6332,34;62383,97;34620,16;9867,52;10860,42;6268,39;61616,49;1,56;0,45;0,34;2,78;0,61;0,68;2,74;0,37;2,86;0,28;1,32;1,61;1,08;1,12;1,08;1,6;3,09;1,44;1,02;1,25;540,62;44,53;-36,92;-174,46;373,78;-234,04;270,13;-40,06;179,52;175,56;-457,85;-159,11;-117,25;69,92;-664,28;555,15;304,77;-156,4;63,95;767,48
15;35302,15;10044,32;10765,83;5971,82;62084,12;34703,04;10411,2;10761,0;6349,76;62225,0;34375,3;9808,91;10648,85;6197,74;61030,8;35610,09;10467,46;10774,02;6245,73;63097,3;34917,18;10028,75;10797,19;6228,68;61971,8;1,1;0,16;0,29;4,12;0,18;0,61;3,81;0,34;1,94;0,41;1,55;2,19;1,37;0,5;1,52;1,98;4,37;0,21;0,27;1,82;384,97;15,57;-31,36;-256,86;112,32;-214,14;382,45;-36,19;121,08;253,2;-541,88;-219,84;-148,34;-30,94;-941,0;692,91;438,71;-23,17;17,05;1125,5
16;35907,13;10321,44;10845,47;5893,0;62967,04;35353,58;10823,81;10806,19;6308,36;63291,94;34940,3;10088,78;10657,75;6084,56;61771,39;36135,23;10708,58;10849,52;6203,98;63897,31;35449,7;10324,98;10830,47;6271,41;62876,57;1,29;0,03;0,14;6,03;0,14;0,27;4,83;0,22;0,59;0,66;1,44;2,29;1,59;2,98;1,76;1,93;3,72;0,18;1,08;1,62;457,42;-3,54;15,0;-378,41;90,47;-96,12;498,83;-24,28;36,95;415,37;-509,4;-236,2;-172,72;-186,85;-1105,18;685,53;383,6;19,05;-67,43;1020,74
17;36715,24;10635,87;10974,88;5864,09;64190,08;36058,02;11169,82;10879,8;6320,35;64427,99;35604,27;10394,05;10682,43;5982,9;62663,65;36857,24;10884,29;10939,41;6207,45;64888,39;35876,77;10699,37;10921,81;6361,83;63859,78;2,34;0,59;0,49;7,82;0,52;0,51;4,4;0,38;0,65;0,89;0,76;2,85;2,19;5,96;1,87;2,73;1,73;0,16;2,43;1,61;838,47;-63,5;53,07;-497,74;330,3;181,25;470,45;-42,01;-41,48;568,21;-272,5;-305,32;-239,38;-378,93;-1196,13;980,47;184,92;17,6;-154,38;1028,61
18;37572,74;10931,28;11109,23;5871,72;65484,97;36716,46;11430,8;10941,26;6349,33;65437,85;36260,7;10654,29;10696,76;5905,43;63517,18;37559,83;10975,77;10980,29;6213,96;65729,85;36205,23;11083,31;10988,24;6390,98;64667,76;3,78;1,37;1,1;8,12;1,26;1,41;3,14;0,43;0,65;1,19;0,15;3,87;2,65;7,6;1,78;3,74;0,97;0,07;2,77;1,64;1367,51;-152,03;120,99;-519,26;817,21;511,23;347,49;-46,98;-41,65;770,09;55,47;-429,02;-291,48;-485,55;-1150,58;1354,6;-107,54;-7,95;-177,02;1062,09
19;38365,19;11182,0;11225,55;5898,01;66670,75;37292,22;11640,5;10970,69;6361,1;66264,51;36850,42;10842,78;10694,4;5864,2;64251,8;38118,18;11131,05;10970,8;6212,76;66432,79;36524,65;11419,55;10965,41;6281,22;65190,84;5,04;2,08;2,37;6,1;2,27;2,1;1,93;0,05;1,27;1,65;0,89;5,05;2,47;6,64;1,44;4,36;2,53;0,05;1,09;1,91;1840,54;-237,55;260,14;-383,21;1479,91;767,57;220,95;5,28;79,88;1073,67;325,77;-576,77;-271,01;-417,02;-939,04;1593,53;-288,5;5,39;-68,46;1241,95
