Patamares;MLP;LSTM;GRU
Leve SECO;39611,379375;39550,569125;39215,00075
Media SECO;46855,98604166667;46973,4028125;46506,20447916666
Pesada SECO;50263,931125;50446,567500000005;49554,04875
Leve S;12307,9923125;12462,377125;12177,3595625
Media S;15588,350312499999;15219,089687499998;15022,736458333333
Pesada S;17617,675375;17008,067124999998;16640,007875
Leve NE;12385,961374999999;12417,761625;12322,584375
Media NE;13658,676666666666;13673,318229166667;13604,167708333334
Pesada NE;14199,79975;14262,480875;14202,221249999999
Leve N;6593,886812499999;6755,4390625;6373,178062500001
Media N;7164,007083333333;7226,3059375;6957,057083333333
Pesada N;7504,948125000001;7503,9331250000005;7293,158125
