Patamares;MLP;LSTM;GRU;ONS
Leve SECO;39654,44717948718;39610,068846153845;39283,88711538462;38517,464935897435
Media SECO;46969,061700000006;47009,438900000016;46439,51290000001;46116,60750000001
Pesada SECO;49676,373999999996;49914,35625;49138,524625000005;48681,31800000001
Leve S;12418,909807692307;12486,44076923077;12220,662564102564;11184,87314102564
Media S;15756,293300000001;15481,515499999998;15194,442999999997;12967,7285
Pesada S;17027,439625;16495,275124999996;16198,665000000003;13687,652375
Leve NE;12540,703910256409;12538,004166666666;12467,965641025641;12271,474102564101
Media NE;13621,636799999997;13709,3261;13623,9434;13525,294599999997
Pesada NE;13880,715875;13920,220250000002;13829,928999999998;13479,2095
Leve N;6773,960769230768;6917,173141025641;6630,11;6856,17467948718
Media N;7018,161800000001;7116,587099999999;6776,571299999999;7146,526
Pesada N;7307,6044999999995;7302,156875000001;6988,554125000001;7336,217750000001
