Patamares;MLP;LSTM;GRU
Leve SECO;41160,2365;41006,60475;40524,519062499996
Media SECO;48421,28260416666;48076,182291666664;47654,200625
Pesada SECO;52963,548124999994;52378,24250000001;51705,335750000006
Leve S;12505,028312499999;12948,071187500002;12571,091875000002
Media S;15672,512395833333;15728,362395833334;15214,699375000002
Pesada S;17888,19725;17753,370875;17007,076624999998
Leve NE;11874,794624999999;11841,4013125;11728,4329375
Media NE;13208,944895833336;13108,226979166668;13024,630416666667
Pesada NE;13930,682;13747,94975;13740,175375
Leve N;6773,129062499999;6795,447125000001;6845,307250000001
Media N;7316,290625000001;7311,951041666667;7509,437291666666
Pesada N;7740,7925000000005;7680,864375;7932,605874999999
