Patamares;MLP;LSTM;GRU;ONS
Leve SECO;41413,92525641026;41238,20762820512;40732,32826923078;40910,340705128205
Media SECO;48806,938799999996;48492,1837;47999,025;48642,998499999994
Pesada SECO;51623,7325;51053,13625;50512,59325;51220,23625
Leve S;12620,722884615385;13008,10935897436;12636,088846153845;12937,925192307694
Media S;15939,916500000001;16053,104499999998;15470,5923;16143,8251
Pesada S;17169,9635;17091,35425;16428,286;16955,814499999997
Leve NE;12035,511666666665;11971,25596153846;11905,979743589744;12136,813397435895
Media NE;13215,177600000003;13148,905;13038,003999999999;13467,7558
Pesada NE;13542,785375000001;13380,544375000001;13312,432250000002;13536,654499999999
Leve N;6936,611923076923;6914,4575;7040,944166666667;6928,33858974359
Media N;7217,197400000001;7248,9316;7374,2908;7261,489999999999
Pesada N;7518,709375;7501,7432499999995;7686,8405;7442,6404999999995
