;MLP_Seco;MLP_S;MLP_NE;MLP_N;MLP_SIN;LSTM_Seco;LSTM_S;LSTM_NE;LSTM_N;LSTM_SIN;GRU_Seco;GRU_S;GRU_NE;GRU_N;GRU_SIN;Prev_ONS_Seco;Prev_ONS_S;Prev_ONS_NE;Prev_ONS_N;Prev ONS_SIN
0;40725,7;13054,14;13398,71;7146,24;74324,79;40498,64;13246,4;13641,25;7198,98;74585,27;40433,14;13107,06;13618,25;7140,64;74299,09;39494,73;11206,33;13408,2;7120,43;71229,69
1;39505,29;12637,76;13185,58;7086,09;72414,73;39505,2;12865,68;13422,9;7174,76;72968,54;39404,74;12683,29;13373,84;7114,46;72576,33;37773,43;11115,88;12910,21;7014,12;68813,63
2;38384,65;12265,16;12972,62;7022,93;70645,36;38541,27;12515,85;13214,01;7142,13;71413,27;38395,75;12300,07;13155,66;7071,29;70922,77;36840,63;10929,68;12609,65;6966,5;67346,46
3;37440,96;11965,32;12761,83;6955,38;69123,49;37645,1;12218,61;13023,78;7095,02;69982,51;37438,77;11987,26;12980,91;7001,2;69408,14;36436,27;10525,46;12470,96;6922,8;66355,49
4;36661,16;11708,09;12562,53;6888,64;67820,42;36889,85;11958,89;12860,19;7036,82;68745,75;36619,18;11731,93;12830,8;6922,36;68104,27;35832,85;10353,67;12319,0;6843,04;65348,55
5;36018,76;11465,29;12383,98;6827,25;66695,29;36330,34;11720,7;12726,48;6972,66;67750,19;36004,32;11514,53;12684,3;6853,83;67056,98;35649,07;10110,53;12166,64;6741,49;64667,73
6;35523,99;11275,92;12227,91;6766,46;65794,27;35913,09;11520,99;12607,96;6905,28;66947,32;35536,37;11331,67;12547,59;6790,18;66205,8;35060,88;9915,97;12059,47;6691,86;63728,18
7;35190,5;11177,16;12099,11;6700,71;65167,48;35582,57;11379,64;12495,0;6837,91;66295,11;35159,5;11187,8;12435,1;6722,79;65505,2;34658,38;9816,01;11979,47;6625,05;63078,9
8;35009,16;11131,85;12022,22;6630,55;64793,78;35383,34;11295,4;12415,99;6778,28;65873,01;34950,83;11102,56;12367,13;6654,99;65075,52;34462,98;9700,08;11926,96;6578,36;62668,37
9;34975,89;11103,26;12001,87;6560,99;64642,02;35357,15;11264,56;12379,13;6733,29;65734,13;34976,12;11091,05;12337,1;6593,13;64997,41;34590,91;9609,79;11931,49;6549,88;62682,07
10;35129,65;11130,84;11942,75;6508,99;64712,24;35434,34;11294,65;12273,7;6702,01;65704,71;35122,9;11135,07;12225,02;6543,87;65026,86;34884,87;9714,54;11746,71;6515,38;62861,5
11;35511,14;11260,2;11759,02;6481,51;65011,87;35556,24;11388,61;12010,91;6674,49;65630,26;35283,11;11212,17;11937,78;6507,16;64940,23;35852,86;10203,42;11376,68;6497,83;63930,8
12;36124,88;11485,48;11502,55;6433,7;65546,6;35819,47;11519,83;11708,46;6612,42;65660,19;35544,71;11316,22;11603,3;6456,01;64920,24;36857,28;10995,91;11165,57;6421,46;65440,22
13;36963,95;11800,37;11271,53;6328,58;66364,43;36356,2;11689,31;11520,35;6491,65;66057,51;36043,11;11471,34;11388,61;6367,4;65270,46;39024,89;11236,59;11093,78;6344,18;67699,44
14;38011,92;12248,24;11211,61;6212,65;67684,42;37285,4;12038,05;11539,23;6373,07;67235,74;36907,48;11806,42;11396,51;6261,29;66371,71;39152,06;11573,35;11315,21;6268,53;68309,15
15;39253,88;12865,42;11432,24;6148,77;69700,31;38658,34;12680,85;11811,9;6326,69;69477,78;38199,85;12418,66;11676,12;6170,81;68465,44;40924,38;12363,65;11854,47;6181,57;71324,07
16;40690,79;13610,38;11850,57;6181,88;72333,62;40268,7;13487,64;12263,12;6374,04;72393,51;39719,68;13173,72;12126,24;6138,86;71158,5;42572,02;13109,76;12396,66;6327,63;74406,07
17;42276,68;14396,25;12339,57;6329,32;75341,83;41866,37;14277,15;12779,64;6509,65;75432,81;41218,56;13891,78;12611,03;6197,14;73918,51;43931,6;13664,27;12972,59;6591,77;77160,23
18;43762,27;15032,76;12787,7;6515,86;78098,58;43283,54;14908,08;13218,39;6668,46;78078,47;42519,08;14442,66;13006,22;6322,87;76290,83;45648,06;13992,59;13356,8;6786,86;79784,31
19;44923,47;15382,71;13118,69;6665,0;80089,87;44417,18;15301,72;13476,3;6787,39;79982,6;43510,99;14760,13;13230,14;6479,09;77980,34;46498,18;14255,05;13517,84;6974,97;81246,03
20;45840,59;15624,85;13381,81;6787,72;81634,96;45341,09;15589,6;13640,11;6870,88;81441,68;44281,88;14983,8;13360,01;6626,61;79252,31;47284,24;14458,77;13696,91;7066,24;82506,15
21;46634,95;15954,31;13631,3;6904,73;83125,28;46135,18;15917,84;13812,13;6934,73;82799,88;44930,01;15264,18;13485,29;6733,17;80412,66;48072,21;14819,12;13890,07;7039,82;83821,21
22;47287,73;16316,0;13815,62;6988,19;84407,56;46726,98;16280,76;13967,11;6972,94;83947,79;45398,52;15589,3;13585,43;6796,29;81369,55;48812,94;15170,98;14010,63;7152,34;85146,89
23;47727,73;16565,61;13873,4;7009,21;85175,96;47039,84;16595,4;14049,93;6977,68;84662,86;45618,43;15865,23;13616,84;6820,46;81920,95;49385,76;15580,18;14082,88;7098,88;86147,69
24;47814,32;16452,09;13809,53;6983,24;85059,17;47132,86;16621,57;14013,62;6955,7;84723,74;45627,33;15832,51;13553,69;6808,32;81821,86;48771,64;15477,92;14005,58;7143,61;85398,77
25;47528,23;15889,96;13669,53;6941,54;84029,26;47134,52;16253,25;13859,84;6922,4;84170,01;45536,5;15375,04;13410,95;6768,53;81091,01;48082,91;14701,71;13765,92;6988,92;83539,46
26;47405,17;15562,81;13595,11;6934,22;83497,31;47315,3;16078,48;13776,62;6913,38;84083,78;45645,17;15115,46;13348,91;6735,65;80845,18;47824,34;14887,64;13783,73;7009,62;83505,32
