;MLP_Seco;MLP_S;MLP_NE;MLP_N;MLP_SIN;LSTM_Seco;LSTM_S;LSTM_NE;LSTM_N;LSTM_SIN;GRU_Seco;GRU_S;GRU_NE;GRU_N;GRU_SIN;Prev_ONS_Seco;Prev_ONS_S;Prev_ONS_NE;Prev_ONS_N;Prev ONS_SIN
0;41750,57;12366,98;13907,32;7351,02;75375,88;42010,3;11976,78;13974,02;7309,85;75270,94;41745,05;12273,61;14111,72;7384,24;75514,61;40844,01;14621,2;14133,73;7380,73;76979,67
1;40347,01;11869,6;13666,6;7299,94;73183,15;40684,44;11522,73;13731,3;7269,83;73208,31;40362,74;11782,79;13881,49;7346,34;73373,37;39390,09;13908,99;13786,15;7318,5;74403,74
2;39041,77;11417,82;13430,38;7242,68;71132,65;39428,57;11119,83;13504,93;7227,32;71280,64;39048,62;11342,6;13666,5;7292,47;71350,18;38513,24;13527,91;13605,62;7317,89;72964,66
3;37916,12;11046,44;13203,63;7175,82;69342,0;38310,68;10805,36;13308,75;7179,78;69604,57;37872,21;10989,84;13477,41;7212,93;69552,39;37756,17;13260,6;13434,98;7208,9;71660,66
4;36983,0;10747,0;12993,21;7107,03;67830,24;37390,74;10561,21;13146,81;7124,52;68223,29;36908,41;10706,12;13306,59;7123,25;68044,37;36808,1;12986,08;13278,11;7128,51;70200,8
5;36239,2;10505,02;12805,26;7043,59;66593,06;36704,4;10360,2;13015,61;7060,07;67140,28;36207,67;10469,31;13144,34;7040,8;66862,12;36402,33;12657,9;13231,78;7051,73;69343,75
6;35684,91;10325,05;12641,25;6980,24;65631,45;36197,9;10194,39;12891,5;6989,9;66273,69;35717,25;10297,38;12991,12;6965,12;65970,87;35756,82;12422,56;13025,39;6980,82;68185,58
7;35315,58;10211,09;12505,28;6910,41;64942,37;35816,07;10064,04;12758,68;6918,68;65557,46;35374,24;10206,69;12854,61;6891,32;65326,87;35537,96;12363,66;12931,72;6929,39;67762,72
8;35103,98;10145,9;12416,71;6834,93;64501,52;35587,53;9982,76;12653,04;6850,78;65074,1;35178,34;10166,96;12761,27;6814,45;64921,03;35236,74;12325,61;12868,81;6878,99;67310,15
9;35028,9;10115,8;12377,05;6759,23;64280,98;35538,04;9965,84;12593,74;6790,86;64888,48;35134,51;10151,98;12714,61;6733,29;64734,39;35482,39;12266,69;12726,35;6822,92;67298,35
10;35115,81;10142,6;12301,32;6699,83;64259,57;35598,13;10021,82;12481,4;6744,88;64846,23;35206,25;10198,41;12607,42;6661,67;64673,76;35292,11;12316,97;12631,65;6781,74;67022,47
11;35388,07;10248,71;12111,14;6663,78;64411,71;35699,64;10148,54;12228,62;6709,23;64786,03;35358,52;10339,52;12347,67;6607,65;64653,37;36162,09;12646,1;12388,39;6718,78;67915,37
12;35814,01;10423,42;11840,94;6609,14;64687,5;35874,8;10307,96;11914,37;6640,76;64737,89;35603,37;10532,12;12014,74;6541,21;64691,43;37031,75;12865,29;11844,56;6688,47;68430,07
13;36373,89;10661,94;11569,84;6500,59;65106,26;36207,46;10491,2;11657,44;6509,52;64865,62;35994,68;10749,66;11726,56;6435,01;64905,91;37364,29;13266,91;11885,8;6509,78;69026,77
14;37150,85;11016,25;11442,89;6378,34;65988,34;36887,54;10841,98;11569,42;6377,9;65676,84;36706,68;11108,87;11583,76;6310,56;65709,87;37609,22;13677,0;11887,54;6272,8;69446,57
15;38221,83;11527,44;11578,59;6296,89;67624,75;38031,34;11466,47;11721,55;6318,52;67537,89;37852,34;11701,77;11652,97;6202,97;67410,05;39517,73;14484,2;12166,97;6293,95;72462,84
16;39536,17;12136,26;11923,3;6292,26;69888,0;39354,58;12168,19;12030,91;6352,59;69906,28;39179,39;12378,47;11881,9;6153,04;69592,8;41266,86;15180,97;12627,22;6434,9;75509,96
17;40977,52;12750,16;12374,65;6379,86;72482,19;40536,16;12721,8;12383,42;6472,23;72113,61;40387,89;12954,69;12182,95;6188,81;71714,33;43005,55;15791,96;13148,81;6626,37;78572,69
18;42294,38;13243,57;12807,38;6510,92;74856,25;41508,3;13089,28;12694,55;6604,54;73896,68;41352,5;13350,47;12446,12;6281,48;73430,58;43657,43;16051,62;13402,66;6717,1;79828,82
19;43279,16;13531,19;13124,08;6632,92;76567,35;42276,61;13300,08;12908,24;6681,51;75166,44;42032,18;13549,43;12589,34;6390,83;74561,78;44706,85;16125,54;13529,66;6853,98;81216,03
20;44035,07;13721,82;13361,45;6742,41;77860,74;42886,77;13466,31;13052,71;6719,54;76125,33;42548,63;13684,88;12664,57;6487,64;75385,72;44957,64;16348,87;13694,44;6951,03;81951,99
21;44694,44;13940,15;13570,9;6842,13;79047,62;43372,97;13689,03;13170,36;6748,36;76980,72;43010,41;13886,52;12738,49;6551,08;76186,5;45456,24;16697,25;13841,05;7017,8;83012,34
22;45195,29;14180,42;13728,6;6910,66;80014,97;43683,16;13942,58;13275,86;6766,54;77668,15;43310,78;14119,91;12802,6;6582,93;76816,22;45974,41;16964,75;13986,66;7091,69;84017,5
23;45441,83;14368,24;13799,84;6928,38;80538,29;43771,59;14137,73;13363,14;6764,93;78037,38;43334,67;14277,38;12830,29;6588,21;77030,55;45873,0;17244,55;14045,98;7067,09;84230,61
24;45397,26;14285,02;13781,6;6907,27;80371,15;43703,62;14057,63;13370,69;6734,7;77866,64;43148,93;14122,59;12797,77;6562,35;76631,63;45870,55;17067,3;14045,88;7070,59;84054,32
25;45117,14;13824,67;13696,94;6870,0;79508,75;43596,86;13602,63;13266,45;6678,17;77144,12;42901,13;13554,23;12709,16;6506,41;75670,93;45966,7;16443,91;13876,1;6937,48;83224,18
26;44967,5;13475,18;13641,39;6850,53;78934,6;43666,52;13269,33;13191,56;6642,02;76769,44;42879,67;13139,72;12677,5;6453,68;75150,57;45641,35;16398,93;13944,32;6931,81;82916,4
27;45259,22;13680,27;13698,85;6878,18;79516,52;44057,49;13506,08;13280,15;6669,79;77513,51;43285,97;13392,18;12800,37;6439,91;75918,43;46215,74;16805,21;14111,12;7085,14;84217,2
28;45772,05;14112,47;13834,05;6952,48;80671,05;44535,68;13972,09;13465,18;6748,19;78721,14;43832,61;13938,87;13004,65;6478,44;77254,57;47055,23;17194,45;14431,62;7218,4;85899,7
29;46199,81;14358,52;13986,13;7057,72;81602,18;44843,91;14241,44;13641,64;6847,3;79574,29;44197,34;14304,54;13192,87;6567,76;78262,51;46752,03;17141,77;14547,3;7271,05;85712,14
30;46423,77;14433,02;14111,18;7147,01;82114,98;45011,62;14336,92;13753,71;6927,56;80029,81;44407,37;14489,81;13340,78;6669,27;78907,23;46687,11;16941,94;14817,78;7288,75;85735,57
31;46412,92;14443,11;14171,23;7178,01;82205,27;45114,77;14375,22;13772,91;6956,66;80219,55;44553,66;14598,95;13442,44;6740,99;79336,04;46699,59;17051,03;14583,1;7329,34;85663,06
32;46299,51;14438,19;14135,37;7157,77;82030,84;45128,57;14399,85;13730,89;6941,12;80200,43;44632,87;14675,14;13491,79;6764,22;79564,02;46334,59;17146,31;14448,54;7264,07;85193,5
33;46173,32;14429,9;13982,36;7104,1;81689,68;44999,21;14421,91;13648,53;6893,67;79963,32;44600,89;14728,63;13472,43;6731,6;79533,54;45828,05;17093,41;14128,89;7166,63;84216,98
34;45790,94;14336,5;13722,71;7028,57;80878,71;44657,39;14395,86;13443,58;6812,97;79309,81;44345,09;14699,02;13326,82;6657,63;79028,56;45354,62;17060,99;13697,6;7066,8;83180,01
35;44985,1;14092,2;13401,91;6938,47;79417,68;44085,37;14266,06;13082,93;6700,88;78135,24;43816,23;14522,74;13050,44;6564,1;77953,52;44776,42;16565,95;13160,59;6921,34;81424,29
36;44226,29;13788,37;13173,87;6830,33;78018,86;43487,03;13993,07;12833,11;6586,06;76899,28;43287,21;14194,1;12891,88;6480,15;76853,34;44525,31;16020,57;13284,43;6747,46;80577,77
37;44009,71;13544,72;13167,28;6713,31;77435,02;43145,05;13604,12;12929,41;6506,18;76184,76;43093,03;13772,42;13058,86;6433,9;76358,2;43724,31;15451,61;13658,03;6590,48;79424,42
38;44291,7;13437,29;13301,78;6657,84;77688,62;43435,59;13376,97;13182,24;6508,03;76502,83;43494,94;13519,26;13342,41;6442,03;76798,63;44800,53;15816,12;13887,44;6886,1;81390,19
39;44863,61;13496,4;13455,61;6718,08;78533,69;44515,58;13534,73;13347,87;6613,83;78012,0;44544,5;13642,16;13492,84;6511,19;78190,7;46785,0;15761,94;13927,09;7041,1;83515,12
40;45395,75;13613,0;13550,59;6821,82;79381,16;45571,45;13831,31;13390,77;6738,32;79531,84;45528,27;13930,35;13514,23;6619,18;79592,03;47246,64;15740,38;13945,18;7160,97;84093,17
41;45610,38;13671,35;13556,66;6888,14;79726,54;45812,03;13978,12;13354,16;6797,79;79942,1;45772,97;14128,76;13487,29;6736,71;80125,73;46931,78;16038,98;13813,18;7155,38;83939,31
42;45558,52;13668,13;13592,71;6927,62;79746,98;45506,17;13985,61;13388,14;6822,12;79702,04;45531,12;14223,62;13545,43;6835,0;80135,18;46570,81;16077,87;13767,91;7154,78;83571,37
43;45334,66;13618,87;13761,83;6967,96;79683,33;45072,75;13924,35;13604,31;6858,77;79460,18;45173,55;14247,24;13776,3;6895,79;80092,88;45676,26;15931,31;14086,02;7195,36;82888,94
44;44878,3;13502,21;13955,03;7014,02;79349,56;44470,78;13806,22;13853,51;6911,87;79042,38;44618,61;14175,21;14031,5;6942,45;79767,77;44690,08;15929,69;14330,8;7271,92;82222,48
45;44134,38;13300,8;14048,83;7064,65;78548,65;43597,32;13633,84;13972,23;6975,03;78178,43;43736,65;13986,55;14153,49;7001,5;78878,2;44429,54;15707,52;14362,16;7344,6;81843,83
46;43224,57;13050,39;14073,68;7117,68;77466,32;42561,61;13431,63;14000,3;7043,06;77036,6;42658,62;13730,76;14183,95;7070,38;77643,72;43157,27;15475,48;14405,79;7304,66;80343,2
47;42314,76;12799,97;14098,53;7170,72;76383,99;41525,9;13229,42;14028,37;7111,09;75894,78;41580,6;13474,98;14214,41;7139,26;76409,25;41797,17;15115,96;14064,86;7253,68;78231,67
